actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-06T00:10:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-06T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-06T00:10:34.1Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2025-01-06T00:10:34Z,40000,False,,,0,,Jump Ball A. Davis vs. A. Sengun: Tip to M. Christie,"[1631108, 203076, 1630578]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Davis,203076.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-06T00:10:51.6Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,0,0,2025-01-06T00:10:59Z,70000,False,,,0,,A. Davis bad pass out-of-bounds TURNOVER (1 TO),[203076],1610612747.0,LAL,bad pass,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,1628954.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2025-01-06T00:11:14.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641708,93.38042049934296,48.03921568627451,1610612745,2,0,2025-01-06T00:11:19Z,80000,False,-10.0,10.0,1,right,A. Thompson alley-oop DUNK (2 PTS) (A. Sengun 1 AST),"[1641708, 1630578]",1610612745.0,HOU,alley-oop,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,1.38,Made,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,
10,PT10M58.00S,2025-01-06T00:11:41.0Z,1,REGULAR,2pt,Jump Shot,[],1630559,14.931011826544022,69.85294117647058,1610612747,2,0,2025-01-06T00:12:36Z,100000,False,-99.0,88.0,1,left,MISS A. Reaves 13' fadeaway Shot,[1630559],1610612747.0,LAL,fadeaway,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,,,13.26,Missed,,,,,,,,,,,,,,,,
11,PT10M57.00S,2025-01-06T00:11:42.0Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,2,0,2025-01-06T00:11:47Z,110000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M51.00S,2025-01-06T00:11:48.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1641708,90.3580814717477,40.19607843137255,1610612745,4,0,2025-01-06T00:12:57Z,120000,False,-49.0,38.0,1,right,A. Thompson 6' driving floating Jump Shot (4 PTS),[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,6.21,Made,4.0,,,,,,,,,,,,,,,
13,PT10M40.00S,2025-01-06T00:11:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,8.886333771353483,48.77450980392157,1610612747,4,2,2025-01-06T00:12:03Z,130000,False,6.0,31.0,1,left,A. Reaves driving floating Jump Shot (2 PTS),[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,3.16,Made,2.0,,,,,,,,,,,,,,,
14,PT10M13.00S,2025-01-06T00:12:25.7Z,1,REGULAR,3pt,Jump Shot,[],1630578,69.33311432325887,73.2843137254902,1610612745,4,2,2025-01-06T00:12:30Z,140000,False,116.0,236.0,1,right,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,26.3,Missed,,,,,,,,,,,,,,,,
15,PT10M12.00S,2025-01-06T00:12:26.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,2,2025-01-06T00:12:30Z,150000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M09.00S,2025-01-06T00:12:33.6Z,1,REGULAR,foul,personal,[],1630578,,,1610612747,4,2,2025-01-06T00:12:59Z,160000,False,,,0,,A. Sengun personal FOUL (1 PF),"[1630578, 203076]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,1628954.0,,,,,,,,,,,,1.0,0.0,Davis,203076.0,,,,
19,PT10M00.00S,2025-01-06T00:15:31.5Z,1,REGULAR,3pt,Jump Shot,[],1629060,30.436925098554536,70.83333333333334,1610612747,4,5,2025-01-06T00:15:36Z,190000,False,-104.0,234.0,1,left,R. Hachimura 25' 3PT  (3 PTS) (A. Davis 1 AST),"[1629060, 203076]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,25.58,Made,3.0,A. Davis,203076.0,1.0,,,,,,,,,,,,
21,PT09M50.00S,2025-01-06T00:15:41.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,87.33574244415243,44.85294117647059,1610612745,4,5,2025-01-06T00:15:47Z,210000,False,-26.0,67.0,1,right,MISS A. Thompson 7' driving floating Shot,[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,7.13,Missed,,,,,,,,,,,,,,,,
22,PT09M49.00S,2025-01-06T00:15:42.2Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,4,5,2025-01-06T00:15:47Z,220000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,
23,PT09M47.00S,2025-01-06T00:15:44.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641708,92.19776609724047,48.28431372549019,1610612745,6,5,2025-01-06T00:15:51Z,230000,False,-9.0,21.0,1,right,A. Thompson putback DUNK (6 PTS),[1641708],1610612745.0,HOU,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,2.25,Made,6.0,,,,,,,,,,,,,,,
24,PT09M25.00S,2025-01-06T00:16:06.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,15.982260183968464,58.57843137254902,1610612747,6,7,2025-01-06T00:16:11Z,240000,False,-43.0,98.0,1,left,A. Davis 10' turnaround Hook (2 PTS),[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,10.67,Made,2.0,,,,,,,,,,,,,,,
25,PT09M11.00S,2025-01-06T00:16:20.2Z,1,REGULAR,3pt,Jump Shot,[],1628415,82.07950065703022,95.83333333333334,1610612745,6,7,2025-01-06T00:16:27Z,250000,False,229.0,116.0,1,right,MISS D. Brooks 25' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,25.69,Missed,,,,,,,,,,,,,,,,
26,PT09M09.00S,2025-01-06T00:16:22.2Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,6,7,2025-01-06T00:16:27Z,260000,False,,,0,,A. Thompson REBOUND (Off:2 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.0,3.0,1.0,2.0,,,,,,,,
27,PT09M07.00S,2025-01-06T00:16:25.4Z,1,REGULAR,turnover,bad pass,[],1641708,,,1610612745,6,7,2025-01-06T00:16:29Z,270000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641708, 2544]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,1.0,,,,,,,,,,,,,,,James,2544.0,,
28,PT09M07.00S,2025-01-06T00:16:25.4Z,1,REGULAR,steal,,[],2544,,,1610612747,6,7,2025-01-06T00:16:26Z,280000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
29,PT09M01.00S,2025-01-06T00:16:31.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631108,5.075558475689881,95.83333333333334,1610612747,6,7,2025-01-06T00:16:39Z,290000,False,-229.0,-5.0,1,left,MISS M. Christie running 3PT,[1631108],1610612747.0,LAL,running,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,22.93,Missed,,,,,,,,,,,,,,,,
30,PT09M00.00S,2025-01-06T00:16:32.0Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,6,7,2025-01-06T00:16:39Z,300000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT08M52.00S,2025-01-06T00:16:42.2Z,1,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,6,7,2025-01-06T00:16:46Z,310000,False,,,0,,A. Sengun bad pass out-of-bounds TURNOVER (1 TO),[1630578],1610612745.0,HOU,bad pass,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,1628954.0,1.0,,,,,,,,,,,,,,,,,,
32,PT08M34.00S,2025-01-06T00:17:08.8Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,6,7,2025-01-06T00:17:12Z,320000,False,,,0,,A. Davis bad pass out-of-bounds TURNOVER (2 TO),[203076],1610612747.0,LAL,bad pass,,,Davis,A. Davis,,,,,Right Corner 3,24+ Right,1626300.0,2.0,,,,,,,,,,,,,,,,,,
33,PT08M16.00S,2025-01-06T00:17:34.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628415,83.26215505913272,42.8921568627451,1610612745,6,7,2025-01-06T00:17:39Z,330000,False,-36.0,105.0,1,right,MISS D. Brooks 11' fadeaway Shot,[1628415],1610612745.0,HOU,fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,11.06,Missed,,,,,,,,,,,,,,,,
34,PT08M15.00S,2025-01-06T00:17:35.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,6,7,2025-01-06T00:17:39Z,340000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,
35,PT08M03.00S,2025-01-06T00:17:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,15.588042049934298,52.94117647058824,1610612747,6,7,2025-01-06T00:17:54Z,350000,False,-15.0,94.0,1,left,MISS A. Reaves 9' fadeaway Shot,[1630559],1610612747.0,LAL,fadeaway,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,9.51,Missed,,,,,,,,,,,,,,,,
36,PT08M01.00S,2025-01-06T00:17:51.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,7,2025-01-06T00:17:54Z,360000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,
37,PT07M43.00S,2025-01-06T00:18:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.51182654402102,52.450980392156865,1610612745,8,7,2025-01-06T00:19:06Z,370000,False,12.0,8.0,1,right,A. Sengun Layup (2 PTS) (D. Brooks 1 AST),"[1630578, 1628415]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,1.5,Made,2.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,
39,PT07M33.00S,2025-01-06T00:18:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,6.521024967148489,53.92156862745098,1610612747,8,7,2025-01-06T00:18:22Z,390000,False,-20.0,9.0,1,left,MISS R. Hachimura Layup,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,2.15,Missed,,,,,,,,,,,,,,,,
40,PT07M32.00S,2025-01-06T00:18:18.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,8,7,2025-01-06T00:18:22Z,400000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT07M28.00S,2025-01-06T00:18:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,92.32917214191852,44.6078431372549,1610612745,10,7,2025-01-06T00:18:29Z,410000,False,-27.0,20.0,1,right,J. Green running Layup (2 PTS),[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,3.34,Made,2.0,,,,,,,,,,,,,,,
42,PT07M17.00S,2025-01-06T00:18:33.4Z,1,REGULAR,3pt,Jump Shot,[],1630559,16.245072273324574,95.58823529411765,1610612747,10,10,2025-01-06T00:18:37Z,420000,False,-228.0,100.0,1,left,A. Reaves 24' 3PT  (5 PTS) (M. Christie 1 AST),"[1630559, 1631108]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,24.9,Made,5.0,M. Christie,1631108.0,1.0,,,,,,,,,,,,
44,PT07M01.00S,2025-01-06T00:18:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.90998685939553,74.75490196078431,1610612745,13,10,2025-01-06T00:18:53Z,440000,False,124.0,221.0,1,right,J. Green 25' 3PT pullup (5 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,25.32,Made,5.0,,,,,,,,,,,,,,,
