actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-24T00:13:55.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-24T00:13:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-24T00:13:57.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-10-24T00:13:57Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Richards: Tip to J. Smith Jr.,"[1631095, 1630578, 1630208]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-10-24T00:14:12.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.17279894875165,23.284313725490197,1610612745,0,0,2024-10-24T00:14:20Z,70000,False,-134.0,218.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-10-24T00:14:14.9Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2024-10-24T00:14:20Z,80000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-10-24T00:14:29.3Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612766,0,0,2024-10-24T00:14:39Z,90000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Richards 2 FT),"[1630578, 1630208]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,202049.0,1.0,0.0,Richards,1630208.0,,,,,,,,,
11,PT11M26.00S,2024-10-24T00:14:59.8Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,0,0,2024-10-24T00:14:59Z,110000,False,,,0,,MISS N. Richards Free Throw 1 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2024-10-24T00:14:59.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,0,0,2024-10-24T00:14:59Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2024-10-24T00:14:59.8Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,0,0,2024-10-24T00:15:22Z,130000,False,,,0,,MISS N. Richards Free Throw 2 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M26.00S,2024-10-24T00:14:59.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2024-10-24T00:15:22Z,140000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M13.00S,2024-10-24T00:15:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.46057818659659,52.69607843137255,1610612745,0,0,2024-10-24T00:15:39Z,150000,False,13.0,18.0,1,right,MISS J. Green driving Layup - blocked,"[1630224, 1630208]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,Richards,1630208.0,,,,,,,
16,PT11M13.00S,2024-10-24T00:15:29.7Z,1,REGULAR,block,,[],1630208,,,1610612745,0,0,2024-10-24T00:15:32Z,160000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M12.00S,2024-10-24T00:15:30.7Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,0,0,2024-10-24T00:15:39Z,170000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT11M07.00S,2024-10-24T00:15:36.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628998,16.507884362680684,49.754901960784316,1610612766,0,0,2024-10-24T00:17:23Z,180000,False,1.0,103.0,1,left,MISS C. Martin 10' running pullup Shot,[1628998],1610612766.0,CHA,running pullup,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,10.27,Missed,,,,,,,,,,,,,,,,,,
19,PT11M07.00S,2024-10-24T00:15:36.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-10-24T00:15:48Z,190000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M59.00S,2024-10-24T00:15:44.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,78.53153745072274,9.313725490196079,1610612745,0,0,2024-10-24T01:14:38Z,200000,False,-203.0,149.0,1,right,MISS J. Smith Jr. 25' running 3PT,[1631095],1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,,,,,,,,,,,,,,,,,
21,PT10M59.00S,2024-10-24T00:15:44.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2024-10-24T00:15:57Z,210000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M50.00S,2024-10-24T00:15:53.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628415,80.23981603153744,94.36274509803921,1610612745,0,0,2024-10-24T00:18:26Z,220000,False,222.0,133.0,1,right,MISS D. Brooks 25' step back 3PT,[1628415],1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.87,Missed,,,,,,,,,,,,,,,,,,
23,PT10M49.00S,2024-10-24T00:15:54.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2024-10-24T00:16:02Z,230000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M42.00S,2024-10-24T00:16:01.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,25.443495400788436,87.00980392156863,1610612766,0,0,2024-10-24T00:16:09Z,240000,False,-185.0,187.0,1,left,MISS B. Miller 26' running 3PT,[1641706],1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
25,PT10M40.00S,2024-10-24T00:16:03.2Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-10-24T00:16:16Z,250000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,24.0,3.0,2.0,1.0,,,,,,,,,,,,,,
26,PT10M28.00S,2024-10-24T00:16:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.72339027595268,46.568627450980394,1610612745,0,0,2024-10-24T00:16:21Z,260000,False,-17.0,16.0,1,right,MISS A. Sengun driving Layup,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
27,PT10M28.00S,2024-10-24T00:16:15.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2024-10-24T00:16:21Z,270000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT10M21.00S,2024-10-24T00:16:22.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,29.911300919842315,17.15686274509804,1610612766,0,3,2024-10-24T00:16:30Z,280000,False,164.0,229.0,1,left,L. Ball 28' 3PT running (3 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,running,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,28.15,Made,,,,,,,,,,,,3.0,M. Bridges,1628970.0,1.0,,,
30,PT09M59.00S,2024-10-24T00:16:44.6Z,1,REGULAR,2pt,Jump Shot,[],1627832,80.50262812089356,68.13725490196079,1610612745,0,3,2024-10-24T00:16:53Z,300000,False,91.0,131.0,1,right,MISS F. VanVleet 15' pullup Shot - blocked,"[1627832, 1630163]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Right,15.92,Missed,,,,,,,,,,Ball,1630163.0,,,,,,,
31,PT09M59.00S,2024-10-24T00:16:44.6Z,1,REGULAR,block,,[],1630163,,,1610612745,0,3,2024-10-24T00:16:46Z,310000,False,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
32,PT09M56.00S,2024-10-24T00:16:47.6Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,3,2024-10-24T00:16:53Z,320000,False,,,0,,A. Sengun REBOUND (Off:2 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,30.0,4.0,2.0,2.0,,,,,,,,,,,,,,
33,PT09M54.00S,2024-10-24T00:16:49.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630578,89.56964520367937,50.73529411764706,1610612745,2,3,2024-10-24T00:16:57Z,330000,False,4.0,46.0,1,right,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.57,Made,,,,,,,,,,,,2.0,,,,,,
34,PT09M32.00S,2024-10-24T00:17:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,11.251642575558476,38.48039215686275,1610612766,2,3,2024-10-24T00:17:18Z,340000,False,58.0,53.0,1,left,MISS M. Bridges 7' driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,7.85,Missed,,,,,,,,,,,,,,,,,,
35,PT09M31.00S,2024-10-24T00:17:12.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,3,2024-10-24T00:17:18Z,350000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT09M24.00S,2024-10-24T00:17:20.5Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612745,2,3,2024-10-24T00:17:29Z,360000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Green 2 FT),"[1630208, 1630224]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,1628480.0,1.0,0.0,Green,1630224.0,,,,,,,,,
