actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-11T00:10:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-11T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-11T00:11:01.0Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2025-03-11T00:11:01Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Sengun: Tip to C. Anthony,"[1630175, 1628976, 1630578]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Carter Jr.,1628976.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-11T00:11:15.1Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612753,0,0,2025-03-11T00:11:20Z,70000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1630224]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,1.0,Green,1630224.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-11T00:11:15.1Z,1,REGULAR,steal,,[],1630224,,,1610612745,0,0,2025-03-11T00:11:17Z,80000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-03-11T00:11:21.8Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,0,0,2025-03-11T00:11:29Z,90000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,1199.0,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-03-11T00:11:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628976,6.783837056504599,45.34313725490196,1610612753,0,0,2025-03-11T00:11:46Z,100000,False,23.0,11.0,1,left,MISS W. Carter Jr. Layup - blocked,"[1628976, 1630578]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,2.59,Missed,Sengun,1630578.0,,,,,,,,,,,,
11,PT11M29.00S,2025-03-11T00:11:40.2Z,1,REGULAR,block,,[],1630578,,,1610612753,0,0,2025-03-11T00:11:42Z,110000,False,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2025-03-11T00:11:41.2Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,0,0,2025-03-11T00:11:46Z,120000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
13,PT11M16.00S,2025-03-11T00:11:53.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,85.23324572930355,15.686274509803921,1610612745,2,0,2025-03-11T00:11:57Z,130000,False,-172.0,86.0,1,right,J. Green 19' pullup Jump Shot (2 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left,,,,,19.21,Made,,,,,,,2.0,A. Sengun,1630578.0,1.0,,,,
14,PT11M02.00S,2025-03-11T00:12:06.5Z,1,REGULAR,3pt,Jump Shot,[],1631094,24.129434954007884,14.460784313725492,1610612753,2,3,2025-03-11T00:12:10Z,140000,False,178.0,174.0,1,left,P. Banchero 24' 3PT pullup (3 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,24.89,Made,,,,,,,3.0,,,,,,,
15,PT10M42.00S,2025-03-11T00:12:28.7Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,2,3,2025-03-11T00:12:34Z,150000,False,,,0,,J. Green bad pass out-of-bounds TURNOVER (2 TO),[1630224],1610612745.0,HOU,bad pass,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,2.0,,,2003.0,,,,,,,,,,,,,,,,
16,PT10M20.00S,2025-03-11T00:12:58.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630532,9.937582128777924,67.40196078431373,1610612753,2,5,2025-03-11T00:13:02Z,160000,False,-87.0,41.0,1,left,F. Wagner 9' driving floating bank Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating bank,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,,,9.61,Made,,,,,,,2.0,,,,,,,
17,PT10M08.00S,2025-03-11T00:13:11.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,89.17542706964521,48.03921568627451,1610612745,4,5,2025-03-11T00:13:14Z,170000,False,-10.0,49.0,1,right,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.03,Made,,,,,,,2.0,,,,,,,
18,PT09M56.00S,2025-03-11T00:13:22.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,29.38567674113009,72.30392156862744,1610612753,4,8,2025-03-11T00:13:27Z,180000,False,-112.0,224.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,24.99,Made,,,,,,,3.0,C. Anthony,1630175.0,1.0,,,,
20,PT09M38.00S,2025-03-11T00:13:40.5Z,1,REGULAR,2pt,Jump Shot,[],1628415,79.188567674113,28.676470588235293,1610612745,6,8,2025-03-11T00:13:44Z,200000,False,-107.0,143.0,1,right,D. Brooks 17' pullup Jump Shot (2 PTS) (J. Green 1 AST),"[1628415, 1630224]",1610612745.0,HOU,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left Center,,,,,17.84,Made,,,,,,,2.0,J. Green,1630224.0,1.0,,,,
22,PT09M24.00S,2025-03-11T00:13:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,17.16491458607096,38.72549019607843,1610612753,6,8,2025-03-11T00:14:00Z,220000,False,56.0,109.0,1,left,MISS F. Wagner 12' turnaround fadeaway Shot,[1630532],1610612753.0,ORL,turnaround fadeaway,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.26,Missed,,,,,,,,,,,,,,
23,PT09M23.00S,2025-03-11T00:13:55.8Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,6,8,2025-03-11T00:14:00Z,230000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M15.00S,2025-03-11T00:14:03.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631106,92.59198423127464,54.41176470588235,1610612745,6,8,2025-03-11T00:16:53Z,240000,False,22.0,17.0,1,right,MISS T. Eason running Layup,[1631106],1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,2.79,Missed,,,,,,,,,,,,,,
25,PT09M14.00S,2025-03-11T00:14:04.2Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,6,8,2025-03-11T00:14:10Z,250000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,
26,PT09M03.00S,2025-03-11T00:14:15.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,71.82982917214193,11.27450980392157,1610612745,6,8,2025-03-11T00:17:51Z,260000,False,-194.0,212.0,1,right,MISS J. Green 28' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,28.73,Missed,,,,,,,,,,,,,,
30,PT09M00.00S,2025-03-11T00:14:18.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,6,8,2025-03-11T00:21:08Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,26.0,,,,,,,,,,,
27,PT09M00.00S,2025-03-11T00:14:54.9Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,6,8,2025-03-11T00:18:33Z,280000,False,,,0,,Jump Ball A. Sengun vs. F. Wagner: Tip to J. Smith Jr.,"[1631095, 1630578, 1630532]",1610612745.0,HOU,heldball,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,,,,,,
31,PT08M50.00S,2025-03-11T00:14:59.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631095,91.5407358738502,68.13725490196079,1610612745,6,8,2025-03-11T00:15:05Z,310000,False,91.0,27.0,1,right,MISS J. Smith Jr. 9' turnaround fadeaway Shot,[1631095],1610612745.0,HOU,turnaround fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,9.46,Missed,,,,,,,,,,,,,,
32,PT08M49.00S,2025-03-11T00:15:00.0Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,6,8,2025-03-11T00:15:05Z,320000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT08M43.00S,2025-03-11T00:15:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,6.521024967148489,48.77450980392157,1610612753,6,8,2025-03-11T00:15:12Z,330000,False,6.0,9.0,1,left,MISS F. Wagner running Layup,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,1.07,Missed,,,,,,,,,,,,,,
34,PT08M42.00S,2025-03-11T00:15:07.5Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,6,8,2025-03-11T00:15:12Z,340000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,
35,PT08M40.00S,2025-03-11T00:15:09.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628976,7.966491458607096,48.03921568627451,1610612753,6,8,2025-03-11T00:30:00Z,350000,False,10.0,22.0,1,left,MISS W. Carter Jr. putback DUNK - blocked,"[1628976, 1631106]",1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,2.44,Missed,Eason,1631106.0,,,,,,,,,,,,
96,PT08M40.00S,2025-03-11T00:15:09.3Z,1,REGULAR,block,,[],1631106,,,1610612753,6,8,2025-03-11T00:29:04Z,355000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M39.00S,2025-03-11T00:15:10.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,6,8,2025-03-11T00:15:17Z,360000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,
37,PT08M39.00S,2025-03-11T00:15:13.2Z,1,REGULAR,foul,personal,[],1630532,,,1610612745,6,8,2025-03-11T00:15:22Z,370000,False,,,0,,F. Wagner personal FOUL (1 PF),"[1630532, 1631095]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,1627541.0,,,,,,,,,,,,,1.0,0.0,Smith Jr.,1631095.0
39,PT08M28.00S,2025-03-11T00:15:41.8Z,1,REGULAR,2pt,Layup,[],1630224,91.01511169513797,65.93137254901961,1610612745,6,8,2025-03-11T00:15:51Z,390000,False,80.0,32.0,1,right,MISS J. Green 8' driving Layup - blocked,"[1630224, 1631094]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,8.59,Missed,Banchero,1631094.0,,,,,,,,,,,,
40,PT08M28.00S,2025-03-11T00:15:41.8Z,1,REGULAR,block,,[],1631094,,,1610612745,6,8,2025-03-11T00:26:27Z,400000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
41,PT08M27.00S,2025-03-11T00:15:42.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,8,2025-03-11T00:26:27Z,410000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,
42,PT08M20.00S,2025-03-11T00:15:50.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.35676741130092,54.90196078431373,1610612753,6,8,2025-03-11T00:15:58Z,420000,False,-25.0,242.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,,24.35,Missed,,,,,,,,,,,,,,
43,PT08M17.00S,2025-03-11T00:15:53.1Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,6,8,2025-03-11T00:15:58Z,430000,False,,,0,,T. Eason REBOUND (Off:0 Def:2),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Center,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,
44,PT08M01.00S,2025-03-11T00:16:09.5Z,1,REGULAR,turnover,bad pass,[],1628415,,,1610612745,6,8,2025-03-11T00:25:19Z,440000,False,,,0,,D. Brooks bad pass TURNOVER (1 TO),"[1628415, 1630532]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2025-03-11T00:16:09.5Z,1,REGULAR,steal,,[],1630532,,,1610612753,6,8,2025-03-11T00:16:11Z,450000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
46,PT07M57.00S,2025-03-11T00:16:13.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631094,6.915243101182654,54.166666666666664,1610612753,6,10,2025-03-11T00:25:53Z,460000,False,-21.0,13.0,1,left,P. Banchero running alley-oop DUNK (5 PTS) (F. Wagner 1 AST),"[1631094, 1630532]",1610612753.0,ORL,running alley-oop,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,2.43,Made,,,,,,,5.0,F. Wagner,1630532.0,1.0,,,,
