actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-23T23:11:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-23T23:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-23T23:11:28.7Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2025-03-23T23:11:28Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Jordan: Tip to J. Green,"[1630224, 1630578, 201599]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-23T23:11:39.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,78.0059132720105,88.23529411764706,1610612745,0,0,2025-03-23T23:11:44Z,70000,False,191.0,154.0,1,right,MISS F. VanVleet 24' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,24.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-03-23T23:11:40.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,0,0,2025-03-23T23:11:44Z,80000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-03-23T23:11:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,9.017739816031538,54.41176470588235,1610612743,0,0,2025-03-23T23:12:03Z,90000,False,-22.0,32.0,1,left,MISS C. Braun driving finger roll Layup,[1631128],1610612743.0,DEN,driving finger roll,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-03-23T23:11:58.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-03-23T23:12:03Z,100000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2025-03-23T23:12:11.6Z,1,REGULAR,3pt,Jump Shot,[],1628415,73.66951379763469,81.61764705882352,1610612745,3,0,2025-03-23T23:12:16Z,110000,False,158.0,195.0,1,right,D. Brooks 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.1,Made,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,
13,PT10M50.00S,2025-03-23T23:12:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,15.588042049934298,49.26470588235294,1610612743,3,0,2025-03-23T23:12:41Z,130000,False,4.0,94.0,1,left,MISS J. Murray 9' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,9.41,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2025-03-23T23:12:35.3Z,1,REGULAR,rebound,offensive,[],201599,,,1610612743,3,0,2025-03-23T23:12:41Z,140000,False,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
15,PT10M49.00S,2025-03-23T23:12:37.8Z,1,REGULAR,turnover,out-of-bounds,[],201599,,,1610612743,3,0,2025-03-23T23:13:05Z,150000,False,,,0,,D. Jordan bad pass out-of-bounds TURNOVER (1 TO),[201599],1610612743.0,DEN,bad pass,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1662.0,1.0,,,,,,,,
17,PT10M38.00S,2025-03-23T23:13:02.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627832,77.4802890932983,49.01960784313725,1610612745,5,0,2025-03-23T23:13:08Z,170000,False,-5.0,159.0,1,right,F. VanVleet 15' pullup Jump Shot (2 PTS),[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Center,15.93,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M15.00S,2025-03-23T23:13:24.8Z,1,REGULAR,2pt,Jump Shot,[],1627750,23.73521681997372,61.029411764705884,1610612743,5,0,2025-03-23T23:13:29Z,180000,False,-55.0,171.0,1,left,MISS J. Murray 17' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,17.93,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2025-03-23T23:13:25.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,5,0,2025-03-23T23:13:29Z,190000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M04.00S,2025-03-23T23:13:36.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,87.86136662286465,97.79411764705883,1610612745,5,0,2025-03-23T23:13:40Z,200000,False,239.0,62.0,1,right,MISS F. VanVleet 24' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,24.68,Missed,,,,,,,,,,,,,,,,,,
21,PT10M02.00S,2025-03-23T23:13:38.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,0,2025-03-23T23:13:40Z,210000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M44.00S,2025-03-23T23:13:57.2Z,1,REGULAR,3pt,Jump Shot,[],203932,27.020367936925098,80.3921568627451,1610612743,5,0,2025-03-23T23:14:14Z,220000,False,-152.0,201.0,1,left,MISS A. Gordon 25' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
23,PT09M41.00S,2025-03-23T23:13:59.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,5,0,2025-03-23T23:13:59Z,230000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M33.00S,2025-03-23T23:14:07.7Z,1,REGULAR,2pt,Jump Shot,[],1628415,93.38042049934296,69.85294117647058,1610612745,7,0,2025-03-23T23:14:11Z,240000,False,99.0,10.0,1,right,D. Brooks 9' pullup Jump Shot (5 PTS),[1628415],1610612745.0,HOU,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,9.98,Made,,,,,5.0,,,,,,,,,,,,,
25,PT09M08.00S,2025-03-23T23:14:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.389618922470433,46.07843137254902,1610612743,7,2,2025-03-23T23:14:38Z,250000,False,20.0,8.0,1,left,J. Murray Layup (2 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.1,Made,,,,,2.0,,,,,,,,,,,,,
26,PT08M44.00S,2025-03-23T23:14:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,87.59855453350855,36.029411764705884,1610612745,9,2,2025-03-23T23:15:00Z,260000,False,-70.0,64.0,1,right,A. Sengun 9' turnaround fadeaway Jump Shot (2 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Left,9.48,Made,,,,,2.0,,,,,,,,,,,,,
