actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-22T00:41:16.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-22T00:41:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-01-22T00:41:21.6Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612749,0,0,2023-01-22T00:41:21Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Allen: Tip to G. Allen,"[1628960, 201572, 1628386]",1610612749.0,MIL,startperiod,G. Allen,1628960.0,Allen,G. Allen,Lopez,201572.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-22T00:41:32.3Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612749,0,0,2023-01-22T00:41:37Z,70000,False,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 1629636]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,1.0,Garland,1629636.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-22T00:41:32.3Z,1,REGULAR,steal,,[],1629636,,,1610612739,0,0,2023-01-22T00:41:34Z,80000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-01-22T00:41:35.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629636,7.30946123521682,51.71568627450981,1610612739,2,0,2023-01-22T00:41:41Z,90000,False,-9.0,16.0,1,left,D. Garland running Layup (2 PTS),[1629636],1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,1.83,Made,2.0,,,,,,,,,,,,,,
11,PT11M16.00S,2023-01-22T00:42:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,92.46057818659659,64.4607843137255,1610612749,2,2,2023-01-22T00:42:23Z,110000,False,72.0,18.0,1,right,B. Portis 7' driving floating bank Jump Shot (2 PTS),[1626171],1610612749.0,MIL,driving floating bank,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,7.46,Made,2.0,,,,,,,,,,,,,,
12,PT10M57.00S,2023-01-22T00:42:30.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,12.697109067017081,49.50980392156863,1610612739,2,2,2023-01-22T00:42:36Z,120000,False,2.0,67.0,1,left,MISS J. Allen 6' turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,6.69,Missed,,,,,,,,,,,,,,,
13,PT10M55.00S,2023-01-22T00:42:32.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,2,2,2023-01-22T00:42:36Z,130000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M49.00S,2023-01-22T00:42:39.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,93.77463863337714,50.98039215686274,1610612749,2,4,2023-01-22T00:42:44Z,140000,False,5.0,6.0,1,right,B. Lopez alley-oop DUNK (2 PTS) (P. Connaughton 1 AST),"[201572, 1626192]",1610612749.0,MIL,alley-oop,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,0.77,Made,2.0,,,,,P. Connaughton,1626192.0,1.0,,,,,,,
16,PT10M33.00S,2023-01-22T00:42:55.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,13.748357424441524,43.872549019607845,1610612739,4,4,2023-01-22T00:42:58Z,160000,False,31.0,77.0,1,left,E. Mobley 8' Hook (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,,8.26,Made,2.0,,,,,D. Garland,1629636.0,1.0,,,,,,,
