actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-24T00:40:38.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T00:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-12-24T00:40:42.6Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2022-12-24T00:40:42Z,40000,False,,,0,,Jump Ball J. Allen vs. S. Barnes: Tip to D. Mitchell,"[1628378, 1628386, 1630567]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2022-12-24T00:40:46.6Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,0,0,2022-12-24T00:40:51Z,70000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1628384]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2022-12-24T00:40:46.6Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,0,2022-12-24T00:49:30Z,80000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-12-24T00:41:07.5Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612761,0,0,2022-12-24T00:41:15Z,90000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Barnes 2 FT),"[1628386, 1630567]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,203591.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,,,
11,PT11M33.00S,2022-12-24T00:41:28.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630567,,,1610612761,0,1,2022-12-24T00:41:28Z,110000,False,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M33.00S,2022-12-24T00:41:40.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630567,,,1610612761,0,2,2022-12-24T00:41:40Z,120000,False,,,0,,S. Barnes Free Throw 2 of 2 (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
13,PT11M20.00S,2022-12-24T00:41:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,94.43166885676742,52.94117647058824,1610612739,0,2,2022-12-24T00:42:01Z,130000,False,15.0,0.0,1,right,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,1.47,,,,,,,,,
14,PT11M17.00S,2022-12-24T00:41:59.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,2,2022-12-24T00:41:59Z,140000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M14.00S,2022-12-24T00:42:02.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,19.92444152431012,8.823529411764707,1610612761,0,2,2022-12-24T00:43:33Z,150000,False,206.0,135.0,1,left,MISS O. Anunoby 24' running 3PT,[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,24.61,,,,,,,,,
16,PT11M11.00S,2022-12-24T00:42:05.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2022-12-24T00:42:08Z,160000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT11M01.00S,2022-12-24T00:42:15.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,92.46057818659659,50.245098039215684,1610612739,2,2,2022-12-24T00:43:52Z,170000,False,1.0,18.0,1,right,E. Mobley DUNK (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,1.84,,,,,D. Mitchell,1628378.0,1.0,,
19,PT10M39.00S,2022-12-24T00:42:38.1Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,2,2,2022-12-24T00:42:43Z,190000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1629636]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,1.0,Garland,1629636.0,,,,,,,,,,,,,,,,,
