actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-03T00:11:02.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T00:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-03T00:11:05.8Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2023-01-03T00:11:05Z,40000,False,,,0,,Jump Ball N. Vucevic vs. J. Allen: Tip to A. Dosunmu,"[1630245, 202696, 1628386]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-03T00:11:20.7Z,1,REGULAR,3pt,Jump Shot,[],201942,88.91261498028909,96.07843137254902,1610612741,0,3,2023-01-03T00:11:26Z,70000,False,230.0,52.0,1,right,D. DeRozan 3PT  (3 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Right Corner 3,24+ Right,23.61,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2023-01-03T00:11:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,12.040078843626807,51.470588235294116,1610612739,0,3,2023-01-03T00:11:48Z,80000,False,-7.0,61.0,1,left,MISS D. Mitchell 6' driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2023-01-03T00:11:46.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,3,2023-01-03T00:11:48Z,90000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M10.00S,2023-01-03T00:11:51.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630245,93.77463863337714,49.754901960784316,1610612741,0,3,2023-01-03T00:12:29Z,100000,False,-1.0,6.0,1,right,MISS A. Dosunmu running Layup,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2023-01-03T00:11:55.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,0,3,2023-01-03T00:11:58Z,110000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M05.00S,2023-01-03T00:11:59.8Z,1,REGULAR,foul,personal,['2freethrow'],1630172,,,1610612739,0,3,2023-01-03T00:12:06Z,120000,False,,,0,,P. Williams shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1630172, 1628378]",1610612741.0,CHI,shooting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,1146.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,
14,PT11M05.00S,2023-01-03T00:12:29.1Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,1,3,2023-01-03T00:13:06Z,140000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2023-01-03T00:12:29.1Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,1,3,2023-01-03T00:13:06Z,150000,False,,,0,,MISS D. Mitchell Free Throw 2 of 2,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2023-01-03T00:12:29.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,1,3,2023-01-03T00:13:06Z,155000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,
16,PT10M51.00S,2023-01-03T00:13:03.3Z,1,REGULAR,3pt,Jump Shot,[],203897,68.15045992115637,29.166666666666668,1610612741,1,3,2023-01-03T00:13:36Z,160000,False,-104.0,247.0,1,right,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,26.8,Missed,,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2023-01-03T00:13:04.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,1,3,2023-01-03T00:13:18Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Left Center,,,,16.0,,,,,,,,,,,,,,,,
20,PT10M38.00S,2023-01-03T00:13:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,7.30946123521682,51.71568627450981,1610612739,3,3,2023-01-03T00:13:45Z,190000,False,-9.0,16.0,1,left,J. Allen cutting Layup (2 PTS) (K. Love 1 AST),"[1628386, 201567]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.83,Made,2.0,,,,,,,,,,K. Love,201567.0,1.0,,,,,
22,PT10M38.00S,2023-01-03T00:13:27.6Z,1,REGULAR,foul,personal,['1freethrow'],201942,,,1610612739,3,3,2023-01-03T00:13:36Z,210000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Allen 1 FT),"[201942, 1628386]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,1627529.0,1.0,0.0,Allen,1628386.0,,,,,,,,
24,PT10M38.00S,2023-01-03T00:13:47.1Z,1,REGULAR,freethrow,1 of 1,[],1628386,,,1610612739,3,3,2023-01-03T00:13:47Z,230000,False,,,0,,MISS J. Allen Free Throw 1 of 1,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M36.00S,2023-01-03T00:13:49.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,3,2023-01-03T00:13:49Z,240000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,,
26,PT10M19.00S,2023-01-03T00:14:05.8Z,1,REGULAR,2pt,Jump Shot,[],201942,76.2976346911958,59.80392156862745,1610612741,3,5,2023-01-03T00:14:10Z,250000,False,49.0,170.0,1,right,D. DeRozan 17' pullup Jump Shot (5 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,17.72,Made,5.0,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2023-01-03T00:14:26.7Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,3,5,2023-01-03T00:16:34Z,260000,False,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 201942]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,DeRozan,201942.0,,
28,PT09M58.00S,2023-01-03T00:14:26.7Z,1,REGULAR,steal,,[],201942,,,1610612741,3,5,2023-01-03T00:14:29Z,270000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2023-01-03T00:14:30.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203897,93.51182654402102,50.98039215686274,1610612741,3,7,2023-01-03T00:14:38Z,280000,False,5.0,8.0,1,right,Z. LaVine running Layup (2 PTS) (D. DeRozan 1 AST),"[203897, 201942]",1610612741.0,CHI,running,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,,,,,,,,,,D. DeRozan,201942.0,1.0,,,,,
31,PT09M42.00S,2023-01-03T00:14:44.8Z,1,REGULAR,foul,personal,[],1630245,,,1610612739,3,7,2023-01-03T00:15:07Z,300000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1628378]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Left,,,,,,,,1627529.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,
33,PT09M33.00S,2023-01-03T00:15:15.2Z,1,REGULAR,3pt,Jump Shot,[],1627747,30.436925098554536,71.32352941176471,1610612739,3,7,2023-01-03T00:15:20Z,320000,False,-107.0,234.0,1,left,MISS C. LeVert 25' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2023-01-03T00:15:20.2Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,3,7,2023-01-03T00:15:20Z,330000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT09M19.00S,2023-01-03T00:15:29.3Z,1,REGULAR,2pt,Hook,[],202696,92.46057818659659,31.61764705882353,1610612741,3,9,2023-01-03T00:15:34Z,340000,False,-92.0,18.0,1,right,N. Vucevic 9' Hook (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,9.37,Made,2.0,,,,,,,,,,A. Dosunmu,1630245.0,1.0,,,,,
37,PT08M59.00S,2023-01-03T00:15:48.3Z,1,REGULAR,3pt,Jump Shot,[],1630205,9.280551905387648,4.166666666666666,1610612739,3,9,2023-01-03T00:15:52Z,360000,False,229.0,35.0,1,left,MISS L. Stevens 3PT,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
38,PT08M56.00S,2023-01-03T00:15:51.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,3,9,2023-01-03T00:15:52Z,370000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M51.00S,2023-01-03T00:16:12.5Z,1,REGULAR,3pt,Jump Shot,[],203897,89.96386333771353,3.6764705882352944,1610612741,3,9,2023-01-03T00:16:17Z,390000,False,-232.0,42.0,1,right,MISS Z. LaVine 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
41,PT08M47.00S,2023-01-03T00:16:16.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,9,2023-01-03T00:16:17Z,400000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
