actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-24T00:11:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-24T00:11:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-11-24T00:12:12.9Z,1,REGULAR,jumpball,recovered,[],1630596,,,0,0,0,2022-11-24T00:12:12Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Nurkic: Tip to E. Mobley,"[1630596, 1628386, 203994]",1610612739.0,CLE,heldball,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-24T00:12:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,94.03745072273325,49.754901960784316,1610612739,0,0,2022-11-24T00:12:25Z,70000,False,-1.0,4.0,1,right,MISS D. Mitchell cutting Layup,[1628378],1610612739.0,CLE,cutting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-24T00:12:19.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-11-24T00:12:25Z,80000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-24T00:12:23.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628404,7.30946123521682,47.549019607843135,1610612757,0,2,2022-11-24T00:13:03Z,90000,False,12.0,16.0,1,left,J. Hart running Layup (2 PTS) (J. Winslow 1 AST),"[1628404, 1626159]",1610612757.0,POR,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,2.03,Made,,,,,2.0,J. Winslow,1626159.0,1.0,,,,,,,,,,
11,PT11M16.00S,2022-11-24T00:12:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,92.85479632063075,52.69607843137255,1610612739,2,2,2022-11-24T00:12:50Z,110000,False,13.0,15.0,1,right,J. Allen driving floating bank Jump Shot (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,driving floating bank,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,
13,PT10M53.00S,2022-11-24T00:13:04.9Z,1,REGULAR,3pt,Jump Shot,[],1626159,12.171484888304862,97.30392156862744,1610612757,2,2,2022-11-24T00:13:11Z,130000,False,-237.0,62.0,1,left,MISS J. Winslow 24' 3PT,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Left Corner 3,24+ Left,24.45,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2022-11-24T00:13:07.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,2,2022-11-24T00:13:11Z,140000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M45.00S,2022-11-24T00:13:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,94.30026281208936,49.754901960784316,1610612739,4,2,2022-11-24T00:13:42Z,150000,False,-1.0,1.0,1,right,E. Mobley alley-oop Layup (2 PTS) (D. Garland 2 AST),"[1630596, 1629636]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,2.0,D. Garland,1629636.0,2.0,,,,,,,,,,
17,PT10M25.00S,2022-11-24T00:13:35.3Z,1,REGULAR,turnover,out-of-bounds,[],203924,,,1610612757,4,2,2022-11-24T00:13:46Z,170000,False,,,0,,J. Grant bad pass out-of-bounds TURNOVER (1 TO),[203924],1610612757.0,POR,bad pass,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1627962.0,1.0,,,,,,,,
