actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-09T17:10:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-09T17:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-09T17:10:50.9Z,1,REGULAR,jumpball,recovered,[],1630177,,,1610612766,0,0,2023-04-09T17:10:51Z,40000,False,,,0,,Jump Ball M. Williams vs. J. Allen: Tip to T. Maledon,"[1630177, 1631109, 1628386]",1610612766.0,CHA,startperiod,T. Maledon,1630177.0,Maledon,T. Maledon,Williams,1631109.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-04-09T17:11:07.5Z,1,REGULAR,3pt,Jump Shot,[],1631121,7.703679369250986,3.431372549019608,1610612766,0,0,2023-04-09T17:11:21Z,70000,False,233.0,20.0,1,left,MISS B. McGowens 3PT,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Right Corner 3,24+ Right,23.36,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-04-09T17:11:10.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2023-04-09T17:11:21Z,80000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-04-09T17:11:16.4Z,1,REGULAR,turnover,out-of-bounds,[],201937,,,1610612739,0,0,2023-04-09T17:11:27Z,90000,False,,,0,,R. Rubio bad pass out-of-bounds TURNOVER (1 TO),[201937],1610612739.0,CLE,bad pass,,,Rubio,R. Rubio,,,,,Mid-Range,8-16 Left,,,,,,,201246.0,1.0,,,,,,,,,,,,
10,PT11M16.00S,2023-04-09T17:11:38.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629004,38.18988173455979,50.98039215686274,1610612766,0,0,2023-04-09T17:11:43Z,100000,False,-5.0,306.0,1,left,MISS S. Mykhailiuk 30' 3PT,[1629004],1610612766.0,CHA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Center,30.65,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2023-04-09T17:11:42.1Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2023-04-09T17:11:43Z,110000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M57.00S,2023-04-09T17:11:56.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.51182654402102,49.26470588235294,1610612739,2,0,2023-04-09T17:12:04Z,120000,False,-4.0,8.0,1,right,J. Allen cutting DUNK (2 PTS) (R. Rubio 1 AST),"[1628386, 201937]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.93,Made,,,,,,,2.0,R. Rubio,201937.0,1.0,,,,,,,,
14,PT10M44.00S,2023-04-09T17:12:10.7Z,1,REGULAR,turnover,lost ball,[],1630177,,,1610612766,2,0,2023-04-09T17:12:16Z,140000,False,,,0,,T. Maledon lost ball TURNOVER (1 TO),"[1630177, 1626224]",1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,,,Osman,1626224.0,,,,,,
15,PT10M44.00S,2023-04-09T17:12:10.7Z,1,REGULAR,steal,,[],1626224,,,1610612739,2,0,2023-04-09T17:12:13Z,150000,False,,,0,,C. Osman STEAL (1 STL),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
