actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-07T00:10:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-07T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-07T00:10:44.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-03-07T00:10:44Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Muscala: Tip to D. Garland,"[1629636, 1628386, 203488]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Muscala,203488.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-03-07T00:11:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,91.67214191852825,51.9607843137255,1610612739,0,0,2023-03-07T00:11:06Z,70000,False,10.0,26.0,1,right,MISS J. Allen driving Layup - blocked,"[1628386, 203935]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.76,Missed,Smart,203935.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-07T00:11:00.0Z,1,REGULAR,block,,[],203935,,,1610612739,0,0,2023-03-07T00:11:02Z,80000,False,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-03-07T00:11:02.0Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,0,2023-03-07T00:11:06Z,90000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M38.00S,2023-03-07T00:11:08.5Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,0,0,2023-03-07T00:11:16Z,100000,False,,,0,,E. Mobley step out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,step,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,,,,,,1626301.0,1.0,,,,,,,,,,
11,PT11M23.00S,2023-03-07T00:11:28.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203488,26.231931668856767,12.254901960784313,1610612738,0,3,2023-03-07T00:11:33Z,110000,False,189.0,194.0,1,left,M. Muscala 27' 3PT  (3 PTS) (J. Brown 1 AST),"[203488, 1627759]",1610612738.0,BOS,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Right Center,27.07,Made,,,,,,,,,3.0,J. Brown,1627759.0,1.0,,,,,,
13,PT11M10.00S,2023-03-07T00:11:41.1Z,1,REGULAR,2pt,Jump Shot,[],1629636,79.05716162943496,48.28431372549019,1610612739,0,3,2023-03-07T00:11:54Z,130000,False,-9.0,144.0,1,right,MISS D. Garland 14' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,8-16 Center,14.47,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2023-03-07T00:11:43.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,3,2023-03-07T00:13:19Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Center,,,,,13.0,,,,,,,,,,,,,,,
15,PT11M08.00S,2023-03-07T00:11:49.8Z,1,REGULAR,foul,personal,[],1628386,,,1610612738,0,3,2023-03-07T00:12:07Z,150000,False,,,0,,J. Allen loose ball personal FOUL (1 PF),"[1628386, 201933]",1610612739.0,CLE,loose ball,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1146.0,,,,,,1.0,0.0,Griffin,201933.0,,
17,PT10M49.00S,2023-03-07T00:12:15.4Z,1,REGULAR,3pt,Jump Shot,[],203935,22.552562417871222,90.19607843137256,1610612738,0,3,2023-03-07T00:12:20Z,170000,False,-201.0,159.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2023-03-07T00:12:18.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,3,2023-03-07T00:12:20Z,180000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M39.00S,2023-03-07T00:12:27.2Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,0,3,2023-03-07T00:12:33Z,190000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,1146.0,1.0,,,,,,,,,,
20,PT10M26.00S,2023-03-07T00:12:46.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,32.53942181340342,27.696078431372552,1610612738,0,3,2023-03-07T00:12:51Z,200000,False,112.0,253.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,27.68,Missed,,,,,,,,,,,,,,,,,,
21,PT10M22.00S,2023-03-07T00:12:50.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,3,2023-03-07T00:12:51Z,210000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,
23,PT10M02.00S,2023-03-07T00:13:28.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630171,94.56307490144546,50.98039215686274,1610612739,2,3,2023-03-07T00:13:35Z,230000,False,5.0,-1.0,1,right,I. Okoro driving DUNK (2 PTS) (J. Allen 1 AST),"[1630171, 1628386]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,,,,,2.0,J. Allen,1628386.0,1.0,,,,,,
25,PT09M47.00S,2023-03-07T00:13:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.440867279894875,49.26470588235294,1610612738,2,5,2023-03-07T00:13:53Z,250000,False,4.0,17.0,1,left,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.78,Made,,,,,,,,,2.0,,,,,,,,,
26,PT09M39.00S,2023-03-07T00:13:51.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,78.40013140604468,5.637254901960785,1610612739,5,5,2023-03-07T00:13:57Z,260000,False,-222.0,151.0,1,right,D. Mitchell 26' 3PT  (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,26.8,Made,,,,,,,,,3.0,D. Garland,1629636.0,1.0,,,,,,
28,PT09M20.00S,2023-03-07T00:14:09.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,25.443495400788436,28.921568627450984,1610612738,5,5,2023-03-07T00:14:15Z,280000,False,105.0,187.0,1,left,MISS J. Brown 21' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,21.44,Missed,,,,,,,,,,,,,,,,,,
29,PT09M18.00S,2023-03-07T00:14:11.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,5,5,2023-03-07T00:14:15Z,290000,False,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,
30,PT09M13.00S,2023-03-07T00:14:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,82.86793692509855,40.44117647058824,1610612739,7,5,2023-03-07T00:14:24Z,300000,False,-48.0,109.0,1,right,D. Garland 11' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,11.86,Made,,,,,,,,,2.0,,,,,,,,,
32,PT08M56.00S,2023-03-07T00:14:33.8Z,1,REGULAR,3pt,Jump Shot,[],203488,15.850854139290407,5.637254901960785,1610612738,7,5,2023-03-07T00:14:39Z,320000,False,222.0,96.0,1,left,MISS M. Muscala 24' 3PT,[203488],1610612738.0,BOS,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Right Center,24.19,Missed,,,,,,,,,,,,,,,,,,
33,PT08M54.00S,2023-03-07T00:14:35.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,5,2023-03-07T00:14:39Z,330000,False,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,32.0,3.0,2.0,1.0,,,,,,,,,,,,
34,PT08M47.00S,2023-03-07T00:14:48.5Z,1,REGULAR,foul,offensive,[],1630596,,,1610612739,7,5,2023-03-07T00:15:03Z,340000,False,,,0,,E. Mobley offensive FOUL (1 PF),"[1630596, 203935]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1626301.0,,,,,,1.0,0.0,Smart,203935.0,,
36,PT08M47.00S,2023-03-07T00:14:48.5Z,1,REGULAR,turnover,offensive foul,[],1630596,,,1610612739,7,5,2023-03-07T00:14:48Z,360000,False,,,0,,E. Mobley offensive foul TURNOVER (2 TO),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1626301.0,2.0,,,,,,,,,,
37,PT08M31.00S,2023-03-07T00:15:12.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203488,10.200394218134035,3.6764705882352944,1610612738,7,5,2023-03-07T00:15:17Z,370000,False,232.0,43.0,1,left,MISS M. Muscala 3PT,[203488],1610612738.0,BOS,,,,Muscala,M. Muscala,,,,,Right Corner 3,24+ Right,23.56,Missed,,,,,,,,,,,,,,,,,,
38,PT08M28.00S,2023-03-07T00:15:15.6Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,7,5,2023-03-07T00:15:17Z,380000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,
