actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-26T23:12:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-26T23:12:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-26T23:12:32.7Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-10-26T23:12:32Z,40000,,,0,,Jump Ball W. Carter Jr. vs. J. Allen: Tip to C. Anthony,"[1630175, 1628976, 1628386]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Carter Jr.,1628976.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-10-26T23:12:50.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,5.206964520367937,96.81372549019608,1610612753,0,0,2022-10-26T23:12:56Z,70000,-234.0,-4.0,1,left,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-10-26T23:12:54.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2022-10-26T23:12:56Z,80000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-10-26T23:13:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,94.82588699080158,49.50980392156863,1610612739,0,0,2022-10-26T23:13:09Z,90000,-2.0,-4.0,1,right,MISS C. LeVert driving Layup - blocked,"[1627747, 1631094]",1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,0.46,Missed,,,,,Banchero,1631094.0,,,,,,,,,,,,
10,PT11M28.00S,2022-10-26T23:13:01.8Z,1,REGULAR,block,,[],1631094,,,1610612739,0,0,2022-10-26T23:13:05Z,100000,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-10-26T23:13:01.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2022-10-26T23:13:09Z,110000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-10-26T23:13:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628378,94.03745072273325,52.450980392156865,1610612739,0,0,2022-10-26T23:13:35Z,130000,12.0,4.0,1,right,MISS D. Mitchell driving Layup,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2022-10-26T23:13:33.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2022-10-26T23:13:35Z,140000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M09.00S,2022-10-26T23:13:39.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628386,93.51182654402102,55.88235294117647,1610612739,0,0,2022-10-26T23:13:46Z,150000,29.0,8.0,1,right,MISS J. Allen turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
