actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-05T00:11:18.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-05T00:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-05T00:11:20.7Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2023-01-05T00:11:20Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Ayton: Tip to E. Mobley,"[1630596, 1628386, 1629028]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-05T00:11:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,9.149145860709593,41.911764705882355,1610612739,0,0,2023-01-05T00:12:02Z,70000,False,40.0,34.0,1,left,MISS E. Mobley driving floating bank Shot,[1630596],1610612739.0,CLE,driving floating bank,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,5.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-01-05T00:11:35.3Z,1,REGULAR,rebound,defensive,[],203967,,,1610612756,0,0,2023-01-05T00:11:38Z,80000,False,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612756.0,PHX,,,,Saric,D. Saric,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2023-01-05T00:11:59.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612756,0,0,2023-01-05T00:12:07Z,90000,False,,,0,,PHX shot clock Team TURNOVER,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,1148.0,,,,,,,,,,,,,
10,PT11M05.00S,2023-01-05T00:12:22.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628386,7.440867279894875,3.6764705882352944,1610612739,0,0,2023-01-05T00:12:29Z,100000,False,232.0,17.0,1,left,MISS J. Allen 3PT,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,23.23,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2023-01-05T00:12:26.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,0,2023-01-05T00:12:29Z,110000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M46.00S,2023-01-05T00:12:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,82.47371879106439,95.09803921568627,1610612756,0,3,2023-01-05T00:12:46Z,120000,False,225.0,112.0,1,right,M. Bridges 25' 3PT  (3 PTS) (D. Saric 1 AST),"[1628969, 203967]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.19,Made,,,,,,3.0,D. Saric,203967.0,1.0,,,,,,,,,
14,PT10M27.00S,2023-01-05T00:13:00.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,27.020367936925098,79.65686274509804,1610612739,0,3,2023-01-05T00:13:04Z,140000,False,-148.0,201.0,1,left,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.02,Missed,,,,,,,,,,,,,,,,,,
15,PT10M24.00S,2023-01-05T00:13:03.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,3,2023-01-05T00:13:04Z,150000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
