actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-30T22:11:02.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T22:11:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2022-10-30T22:11:11.1Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-10-30T22:11:11Z,40000,,,0,,Jump Ball M. Robinson vs. J. Allen: Tip to J. Brunson,"[1628973, 1629011, 1628386]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-30T22:11:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,13.485545335085414,57.84313725490197,1610612752,0,0,2022-10-30T22:11:40Z,70000,-39.0,74.0,1,left,MISS J. Brunson 8' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,8.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-10-30T22:11:23.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2022-10-30T22:11:40Z,80000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2022-10-30T22:11:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,5.590000152587891,50.0,1610612752,0,0,2022-10-30T22:11:22Z,90000,0.0,0.0,1,left,MISS M. Robinson tip Layup,[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2022-10-30T22:11:23.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2022-10-30T22:11:23Z,100000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M28.00S,2022-10-30T22:11:33.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,70.90998685939553,12.990196078431374,1610612739,3,0,2022-10-30T22:11:38Z,110000,-185.0,221.0,1,right,D. Mitchell 28' 3PT  (3 PTS) (C. LeVert 1 AST),"[1628378, 1627747]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,28.81,Made,,,,,3.0,C. LeVert,1627747.0,1.0,,,,,,,,,,
13,PT11M19.00S,2022-10-30T22:11:45.5Z,1,REGULAR,foul,personal,[],1627747,,,1610612752,3,0,2022-10-30T22:11:51Z,130000,,,0,,C. LeVert personal FOUL (1 PF),"[1627747, 1628973]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202035.0,1.0,0.0,Brunson,1628973.0,,,,,
15,PT11M05.00S,2022-10-30T22:12:15.5Z,1,REGULAR,3pt,Jump Shot,[],203944,8.09789750328515,4.901960784313726,1610612752,3,0,2022-10-30T22:12:20Z,150000,225.0,24.0,1,left,MISS J. Randle 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-10-30T22:12:19.5Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,3,0,2022-10-30T22:12:20Z,160000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Right Corner 3,24+ Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
