actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-02T23:45:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-02T23:45:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-02T23:45:58.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-11-02T23:45:58Z,40000,,,0,,Jump Ball A. Horford vs. J. Allen: Tip to M. Smart,"[203935, 201143, 1628386]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-11-02T23:46:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,6.652431011826544,51.225490196078425,1610612738,0,2,2022-11-02T23:46:25Z,70000,-6.0,10.0,1,left,A. Horford driving reverse Layup (2 PTS),[201143],1610612738.0,BOS,driving reverse,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2022-11-02T23:46:40.5Z,1,REGULAR,2pt,Jump Shot,[],1628378,83.65637319316689,73.2843137254902,1610612739,0,2,2022-11-02T23:47:00Z,80000,116.0,101.0,1,right,MISS D. Mitchell 15' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,15.42,Missed,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2022-11-02T23:46:43.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2022-11-02T23:46:46Z,90000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M10.00S,2022-11-02T23:46:45.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,6.652431011826544,49.26470588235294,1610612738,0,4,2022-11-02T23:47:37Z,100000,4.0,10.0,1,left,J. Brown running reverse Layup (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,running reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.07,Made,2.0,,,,,D. White,1628401.0,1.0,,,,,,,,,,
12,PT10M49.00S,2022-11-02T23:47:06.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.24901445466492,51.470588235294116,1610612739,2,4,2022-11-02T23:47:29Z,120000,7.0,11.0,1,right,J. Allen cutting DUNK (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.33,Made,2.0,,,,,D. Garland,1629636.0,1.0,,,,,,,,,,
14,PT10M38.00S,2022-11-02T23:47:16.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,20.18725361366623,6.372549019607843,1610612738,2,4,2022-11-02T23:47:20Z,140000,218.0,137.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2022-11-02T23:47:18.4Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,4,2022-11-02T23:47:20Z,150000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M27.00S,2022-11-02T23:47:28.3Z,1,REGULAR,2pt,Jump Shot,[],1629636,77.87450722733246,48.77450980392157,1610612739,2,4,2022-11-02T23:48:22Z,160000,-6.0,155.0,1,right,MISS D. Garland 15' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,8-16 Center,15.56,Missed,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2022-11-02T23:47:31.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,4,2022-11-02T23:47:33Z,170000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M20.00S,2022-11-02T23:47:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,9.937582128777924,35.294117647058826,1610612738,2,4,2022-11-02T23:47:41Z,180000,74.0,41.0,1,left,MISS D. White 8' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,8.41,Missed,,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2022-11-02T23:47:37.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,4,2022-11-02T23:47:41Z,190000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Right,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M16.00S,2022-11-02T23:47:43.5Z,1,REGULAR,foul,personal,[],201143,,,1610612739,2,4,2022-11-02T23:47:53Z,200000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 1628378]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Mitchell,1628378.0,,,,,
22,PT10M08.00S,2022-11-02T23:48:06.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.41327201051249,26.47058823529412,1610612739,2,4,2022-11-02T23:48:15Z,220000,-118.0,244.0,1,right,MISS D. Mitchell 27' turnaround 3PT,[1628378],1610612739.0,CLE,turnaround,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,27.12,Missed,,,,,,,,,,,,,,,,,,
23,PT10M03.00S,2022-11-02T23:48:11.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,4,2022-11-02T23:48:15Z,230000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
