actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-21T00:11:45.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-21T00:11:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-21T00:11:49.0Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2022-11-21T00:11:49Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Allen: Tip to M. Strus,"[1629622, 1628389, 1628386]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Adebayo,1628389.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-21T00:11:57.6Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,0,0,2022-11-21T00:12:03Z,70000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1628378]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,1.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-11-21T00:11:57.6Z,1,REGULAR,steal,,[],1628378,,,1610612739,0,0,2022-11-21T00:12:01Z,80000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-21T00:12:11.9Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,0,0,2022-11-21T00:12:22Z,90000,False,,,0,,E. Mobley lost ball out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,lost ball,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,1.0,,,1162.0,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-11-21T00:12:35.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,7.30946123521682,20.833333333333336,1610612748,0,2,2022-11-21T00:12:39Z,100000,False,146.0,16.0,1,left,B. Adebayo 14' Jump Shot (2 PTS) (N. Jovic 1 AST),"[1628389, 1631107]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,14.67,Made,2.0,N. Jovic,1631107.0,1.0,,,,,,,,,,
12,PT10M52.00S,2022-11-21T00:12:59.4Z,1,REGULAR,3pt,Jump Shot,[],1629636,69.20170827858082,68.13725490196079,1610612739,0,2,2022-11-21T00:13:17Z,120000,False,91.0,237.0,1,right,MISS D. Garland 25' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,25.38,Missed,,,,,,,,,,,,,,
13,PT10M52.00S,2022-11-21T00:12:59.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,2,2022-11-21T00:13:04Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,12.0,,,,,,,,,
14,PT10M52.00S,2022-11-21T00:13:04.9Z,1,REGULAR,foul,personal,[],1631107,,,1610612739,0,2,2022-11-21T00:13:13Z,140000,False,,,0,,N. Jovic loose ball personal FOUL (1 PF),"[1631107, 1630205]",1610612748.0,MIA,loose ball,,,Jovic,N. Jovic,,,,,Mid-Range,8-16 Left,,,,1626301.0,,,,,,,,1.0,0.0,Stevens,1630205.0,,,,,
16,PT10M48.00S,2022-11-21T00:13:25.9Z,1,REGULAR,turnover,traveling,[],1628386,,,1610612739,0,2,2022-11-21T00:13:32Z,160000,False,,,0,,J. Allen traveling TURNOVER (1 TO),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,1.0,,,1162.0,,,,,,,,,,,,,,,,
