actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-22T00:10:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-22T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-22T00:10:33.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-12-22T00:10:33Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Allen: Tip to G. Antetokounmpo,"[203507, 201572, 1628386]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-12-22T00:10:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.56307490144546,50.98039215686274,1610612749,0,0,2022-12-22T00:10:52Z,70000,False,5.0,-1.0,1,right,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-12-22T00:10:47.2Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,0,2022-12-22T00:10:47Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M44.00S,2022-12-22T00:10:49.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,92.72339027595268,48.77450980392157,1610612749,0,2,2022-12-22T00:11:00Z,90000,False,-6.0,16.0,1,right,G. Antetokounmpo putback Layup (2 PTS),[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M44.00S,2022-12-22T00:10:56.8Z,1,REGULAR,foul,personal,['1freethrow'],1630596,,,1610612749,0,2,2022-12-22T00:11:40Z,100000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1630596, 203507]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,203592.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
12,PT11M44.00S,2022-12-22T00:11:15.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203507,,,1610612749,0,2,2022-12-22T00:11:15Z,120000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M43.00S,2022-12-22T00:11:16.4Z,1,REGULAR,rebound,offensive,[],1630699,,,1610612749,0,2,2022-12-22T00:11:21Z,130000,False,,,0,,M. Beauchamp REBOUND (Off:1 Def:0),[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M43.00S,2022-12-22T00:11:21.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1630699,92.06636005256242,65.44117647058823,1610612749,0,4,2022-12-22T00:11:57Z,140000,False,77.0,22.0,1,right,M. Beauchamp 8' floating Jump Shot (2 PTS),[1630699],1610612749.0,MIL,floating,,,Beauchamp,M. Beauchamp,,,,,In The Paint (Non-RA),0-8 Center,8.03,Made,,,,,2.0,,,,,,,,,,,,,
15,PT11M43.00S,2022-12-22T00:11:29.3Z,1,REGULAR,violation,defensive goaltending,[],1630596,,,1610612749,0,4,2022-12-22T00:11:40Z,150000,False,,,0,,E. Mobley defensive goaltending VIOLATION,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,202049.0,,,,,,,,,,,,
