actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,area,areaDetail,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-16T20:11:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-16T20:11:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-16T20:11:59.2Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-01-16T20:11:59Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Valanciunas: Tip to D. Garland,"[1629636, 1628386, 202685]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-16T20:12:11.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,6.783837056504599,51.470588235294116,1610612739,2,0,2023-01-16T20:12:30Z,70000,False,-7.0,11.0,1,left,E. Mobley alley-oop DUNK (2 PTS) (J. Allen 1 AST),"[1630596, 1628386]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,1.35,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,,,
9,PT11M23.00S,2023-01-16T20:12:31.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,66.83639947437582,56.372549019607845,1610612740,2,0,2023-01-16T20:14:44Z,90000,False,32.0,259.0,1,right,MISS N. Marshall 26' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,26.12,Missed,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,
10,PT11M19.00S,2023-01-16T20:12:36.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2023-01-16T20:12:36Z,100000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Above the Break 3,24+ Center,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2023-01-16T20:12:41.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628378,7.966491458607096,49.26470588235294,1610612739,4,0,2023-01-16T20:14:32Z,110000,False,4.0,22.0,1,left,D. Mitchell driving floating bank Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating bank,,,Mitchell,D. Mitchell,,,,,2.27,Made,2.0,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
12,PT10M56.00S,2023-01-16T20:12:58.3Z,1,REGULAR,2pt,Jump Shot,[],203468,77.7431011826544,22.54901960784314,1610612740,4,2,2023-01-16T20:14:48Z,120000,False,-137.0,157.0,1,right,C. McCollum 20' fadeaway Jump Shot (2 PTS),[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,20.83,Made,2.0,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,
13,PT10M47.00S,2023-01-16T20:13:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.915243101182654,50.73529411764706,1610612739,4,2,2023-01-16T20:36:48Z,130000,False,-4.0,13.0,1,left,MISS D. Mitchell driving reverse Layup,[1628378],1610612739.0,CLE,driving reverse,,,Mitchell,D. Mitchell,,,,,1.3,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
14,PT10M47.00S,2023-01-16T20:13:07.6Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,4,2,2023-01-16T20:16:05Z,140000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Restricted Area,0-8 Center,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M44.00S,2023-01-16T20:13:17.1Z,1,REGULAR,2pt,Hook,"['2ndchance', 'pointsinthepaint']",1628386,9.067017082785808,45.73376225490196,1610612739,6,2,2023-01-16T20:19:35Z,150000,False,21.0,33.0,1,left,J. Allen Hook (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,3.9,Made,2.0,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
16,PT10M25.00S,2023-01-16T20:13:31.9Z,1,REGULAR,turnover,out-of-bounds,[],1630530,,,1610612740,6,2,2023-01-16T20:15:39Z,160000,False,,,0,,T. Murphy III bad pass out-of-bounds TURNOVER (1 TO),[1630530],1610612740.0,NOP,bad pass,,,Murphy III,T. Murphy III,,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,1.0,,,,,,,,,
17,PT10M04.00S,2023-01-16T20:14:00.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,7.5722733245729295,4.901960784313726,1610612739,9,2,2023-01-16T20:14:59Z,170000,False,225.0,19.0,1,left,I. Okoro 3PT  (3 PTS) (J. Allen 2 AST),"[1630171, 1628386]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,22.63,Made,3.0,J. Allen,1628386.0,2.0,Right Corner 3,24+ Right,,,,,,,,,,,,,,
19,PT09M40.00S,2023-01-16T20:14:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.59198423127464,53.18627450980392,1610612740,9,2,2023-01-16T20:15:04Z,190000,False,16.0,17.0,1,right,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,2.33,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
