actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-18T01:10:26.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-18T01:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-18T01:10:28.8Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2022-12-18T01:10:28Z,40000,False,,,0,,Jump Ball J. Allen vs. C. Wood: Tip to E. Mobley,"[1630596, 1628386, 1626174]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-12-18T01:10:43.4Z,1,REGULAR,turnover,backcourt,[],1628378,,,1610612739,0,0,2022-12-18T01:10:54Z,70000,False,,,0,,D. Mitchell backcourt TURNOVER (1 TO),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-12-18T01:11:03.4Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612742,0,0,2022-12-18T01:11:10Z,80000,False,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 1630171]",1610612742.0,DAL,,,,Walker,K. Walker,,,,,Above the Break 3,24+ Right Center,1.0,Okoro,1630171.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-12-18T01:11:03.4Z,1,REGULAR,steal,,[],1630171,,,1610612739,0,0,2022-12-18T01:11:06Z,90000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-12-18T01:11:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630171,93.24901445466492,50.73529411764706,1610612739,2,0,2022-12-18T01:11:15Z,100000,False,4.0,11.0,1,right,I. Okoro running Layup (2 PTS),[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,1.16,Made,2.0,,,,,,,,,,,,,,
11,PT11M08.00S,2022-12-18T01:11:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,19.530223390275953,61.029411764705884,1610612742,2,0,2022-12-18T01:11:35Z,110000,False,-55.0,131.0,1,left,MISS T. Hardaway Jr. 14' turnaround fadeaway Shot,[203501],1610612742.0,DAL,turnaround fadeaway,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,14.22,Missed,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-12-18T01:11:35.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,2,0,2022-12-18T01:11:35Z,120000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M50.00S,2022-12-18T01:11:48.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,76.82325886990802,89.2156862745098,1610612739,2,0,2022-12-18T01:11:52Z,130000,False,196.0,165.0,1,right,MISS I. Okoro 25' 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,25.65,Missed,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-12-18T01:11:50.6Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,2,0,2022-12-18T01:11:52Z,140000,False,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
