actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-09T00:12:11.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-09T00:12:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-09T00:12:15.4Z,1,REGULAR,jumpball,recovered,[],1630171,,,1610612739,0,0,2023-02-09T00:12:15Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Duren: Tip to I. Okoro,"[1630171, 1628386, 1631105]",1610612739.0,CLE,startperiod,I. Okoro,1630171.0,Okoro,I. Okoro,Allen,1628386.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-02-09T00:12:34.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,13.485545335085414,55.14705882352941,1610612739,2,0,2023-02-09T00:12:46Z,70000,False,-26.0,74.0,1,left,E. Mobley 7' turnaround Hook (2 PTS) (R. Neto 1 AST),"[1630596, 203526]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.86,Made,2.0,R. Neto,203526.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-02-09T00:12:53.7Z,1,REGULAR,turnover,out-of-bounds,[],202711,,,1610612765,2,0,2023-02-09T00:13:03Z,90000,False,,,0,,B. Bogdanovic bad pass out-of-bounds TURNOVER (1 TO),[202711],1610612765.0,DET,bad pass,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627961.0,1.0,,,,,,,,,,,,
10,PT11M07.00S,2023-02-09T00:13:10.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628386,11.514454664914586,49.01960784313725,1610612739,4,0,2023-02-09T00:13:15Z,100000,False,5.0,56.0,1,left,J. Allen Hook (2 PTS) (C. LeVert 1 AST),"[1628386, 1627747]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,
12,PT10M52.00S,2023-02-09T00:13:24.1Z,1,REGULAR,2pt,Jump Shot,[],1630165,91.67214191852825,32.84313725490196,1610612765,4,2,2023-02-09T00:13:31Z,120000,False,-86.0,26.0,1,right,K. Hayes 8' driving floating Jump Shot (2 PTS),[1630165],1610612765.0,DET,driving floating,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Left,8.96,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M38.00S,2023-02-09T00:13:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,8.754927726675426,49.50980392156863,1610612739,4,2,2023-02-09T00:15:26Z,130000,False,2.0,30.0,1,left,MISS E. Mobley driving Layup - blocked,"[1630596, 1631105]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,Duren,1631105.0,,,,,,,,,,
14,PT10M38.00S,2023-02-09T00:13:40.6Z,1,REGULAR,block,,[],1631105,,,1610612739,4,2,2023-02-09T00:13:44Z,140000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M37.00S,2023-02-09T00:13:41.6Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,4,2,2023-02-09T00:16:14Z,150000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,
16,PT10M36.00S,2023-02-09T00:13:45.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630596,8.09789750328515,54.166666666666664,1610612739,4,2,2023-02-09T00:15:51Z,160000,False,-21.0,24.0,1,left,MISS E. Mobley Hook,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,3.15,Missed,,,,,,,,,,,,,,,,,,
