actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-20T00:10:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-20T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-20T00:10:34.0Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-12-20T00:10:34Z,40000,False,,,0,,Jump Ball J. Allen vs. W. Kessler: Tip to D. Garland,"[1629636, 1628386, 1631117]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-12-20T00:10:49.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,30.56833114323259,31.127450980392158,1610612739,0,0,2022-12-20T00:10:54Z,70000,False,94.0,235.0,1,left,MISS D. Mitchell 25' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-12-20T00:10:51.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2022-12-20T00:10:54Z,80000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M16.00S,2022-12-20T00:11:13.6Z,1,REGULAR,3pt,Jump Shot,[],201144,76.69185282522996,92.40196078431373,1610612762,0,0,2022-12-20T00:11:22Z,90000,False,212.0,167.0,1,right,MISS M. Conley 26' step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-12-20T00:11:16.6Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,0,2022-12-20T00:11:22Z,100000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2022-12-20T00:11:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628378,7.178055190538765,47.794117647058826,1610612739,2,0,2022-12-20T00:11:26Z,110000,False,11.0,15.0,1,left,D. Mitchell running Layup (2 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.86,Made,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,
13,PT10M45.00S,2022-12-20T00:11:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629020,95.22010512483574,2.941176470588235,1610612762,2,0,2022-12-20T00:11:54Z,130000,False,-235.0,-8.0,1,right,MISS J. Vanderbilt 3PT,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,23.54,Missed,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-12-20T00:11:47.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,0,2022-12-20T00:12:06Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M42.00S,2022-12-20T00:11:52.3Z,1,REGULAR,turnover,out-of-bounds,[],1628386,,,1610612739,2,0,2022-12-20T00:11:59Z,150000,False,,,0,,J. Allen bad pass out-of-bounds TURNOVER (1 TO),[1628386],1610612739.0,CLE,bad pass,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202901.0,1.0,,,,,,,,
16,PT10M39.00S,2022-12-20T00:12:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203903,91.5407358738502,3.1862745098039214,1610612762,2,3,2022-12-20T00:12:15Z,160000,False,-234.0,27.0,1,right,J. Clarkson 3PT turnaround (3 PTS) (M. Conley 1 AST),"[203903, 201144]",1610612762.0,UTA,turnaround,,,Clarkson,J. Clarkson,,,,,Left Corner 3,24+ Left,23.57,Made,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,,,
18,PT10M22.00S,2022-12-20T00:12:27.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,7.835085413929041,52.450980392156865,1610612739,2,3,2022-12-20T00:12:36Z,180000,False,-12.0,21.0,1,left,MISS J. Allen cutting DUNK - blocked,"[1628386, 1631117]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.44,Missed,,,,,,,,,,,Kessler,1631117.0,,,,,,
29,PT10M22.00S,2022-12-20T00:12:27.2Z,1,REGULAR,block,,[],1631117,,,1610612739,2,3,2022-12-20T00:13:49Z,185000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M20.00S,2022-12-20T00:12:29.2Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,2,3,2022-12-20T00:12:48Z,190000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M15.00S,2022-12-20T00:12:34.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,74.45795006570303,84.06862745098039,1610612762,2,3,2022-12-20T00:12:40Z,200000,False,170.0,188.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.34,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-12-20T00:12:34.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,3,2022-12-20T00:12:40Z,210000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M02.00S,2022-12-20T00:12:47.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.882391590013142,33.57843137254902,1610612739,5,3,2022-12-20T00:12:57Z,220000,False,82.0,247.0,1,left,D. Mitchell 26' 3PT step back (5 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,26.05,Made,,,,,5.0,,,,,,,,,,,,,
23,PT09M44.00S,2022-12-20T00:13:08.1Z,1,REGULAR,2pt,Jump Shot,[],203903,95.40078843626807,72.08180147058823,1610612762,5,3,2022-12-20T00:13:17Z,230000,False,110.0,-9.0,1,right,MISS J. Clarkson 11' fadeaway Shot,[203903],1610612762.0,UTA,fadeaway,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Right,11.08,Missed,,,,,,,,,,,,,,,,,,
24,PT09M40.00S,2022-12-20T00:13:12.1Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,5,3,2022-12-20T00:13:25Z,240000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Right,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT09M37.00S,2022-12-20T00:13:26.6Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612762,5,3,2022-12-20T00:13:39Z,260000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1628386, 1628374]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,,,,1.0,0.0,Markkanen,1628374.0,,
28,PT09M37.00S,2022-12-20T00:13:41.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628374,,,1610612762,5,4,2022-12-20T00:13:41Z,280000,False,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
30,PT09M37.00S,2022-12-20T00:13:41.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628374,,,1610612762,5,4,2022-12-20T00:14:00Z,290000,False,,,0,,MISS L. Markkanen Free Throw 2 of 2,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT09M34.00S,2022-12-20T00:13:44.3Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,5,4,2022-12-20T00:14:00Z,300000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M31.00S,2022-12-20T00:14:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,5.601182654402102,51.71568627450981,1610612739,7,4,2022-12-20T00:14:09Z,310000,False,-9.0,0.0,1,left,I. Okoro running Layup (2 PTS),[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,,,,,,,,,,,,,
33,PT09M23.00S,2022-12-20T00:14:10.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,92.46057818659659,52.450980392156865,1610612762,7,6,2022-12-20T00:14:15Z,320000,False,12.0,18.0,1,right,J. Vanderbilt cutting DUNK (2 PTS) (M. Conley 2 AST),"[1629020, 201144]",1610612762.0,UTA,cutting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,2.0,M. Conley,201144.0,2.0,,,,,,,,,,
35,PT09M01.00S,2022-12-20T00:14:32.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,27.54599211563732,80.14705882352942,1610612739,10,6,2022-12-20T00:14:37Z,340000,False,-151.0,206.0,1,left,D. Mitchell 25' 3PT  (8 PTS) (D. Garland 2 AST),"[1628378, 1629636]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.56,Made,,,,,8.0,D. Garland,1629636.0,2.0,,,,,,,,,,
