actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
18,PT10M37.00S,2022-10-23T23:15:26.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,4.944152431011826,97.30392156862744,1610612764,0,8,2022-10-23T23:15:29Z,180000,-237.0,-6.0,1,left,K. Porzingis 3PT  (6 PTS) (K. Kuzma 1 AST),"[204001, 1628398]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Left Corner 3,24+ Left,23.66,Made,6.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
20,PT10M12.00S,2022-10-23T23:15:51.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,87.72996057818659,54.41176470588235,1610612739,0,8,2022-10-23T23:15:55Z,200000,22.0,63.0,1,right,MISS E. Mobley 6' turnaround Hook,[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2022-10-23T23:15:53.3Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,8,2022-10-23T23:15:53Z,210000,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,
22,PT10M07.00S,2022-10-23T23:15:55.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628378,71.69842312746385,21.568627450980394,1610612739,3,8,2022-10-23T23:15:59Z,220000,-142.0,214.0,1,right,D. Mitchell 25' 3PT  (3 PTS) (E. Mobley 1 AST),"[1628378, 1630596]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.65,Made,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
24,PT09M55.00S,2022-10-23T23:16:08.0Z,1,REGULAR,3pt,Jump Shot,[],204001,36.21879106438896,25.0,1610612764,3,8,2022-10-23T23:16:11Z,240000,125.0,288.0,1,left,MISS K. Porzingis 31' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,31.4,Missed,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2022-10-23T23:16:10.0Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,3,8,2022-10-23T23:16:11Z,250000,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,
26,PT09M46.00S,2022-10-23T23:16:18.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,89.17542706964521,57.35294117647059,1610612739,3,8,2022-10-23T23:16:22Z,260000,37.0,49.0,1,right,MISS J. Allen 6' Hook,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2022-10-23T23:16:21.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,3,8,2022-10-23T23:16:22Z,270000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
28,PT09M35.00S,2022-10-23T23:16:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,14.011169513797633,39.21568627450981,1610612764,3,10,2022-10-23T23:16:32Z,280000,54.0,79.0,1,left,M. Morris 9' driving floating Jump Shot (2 PTS),[1628420],1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Right,9.58,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2022-10-23T23:16:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.19776609724047,49.50980392156863,1610612739,3,10,2022-10-23T23:16:39Z,290000,-2.0,21.0,1,right,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
