actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-03-15T23:46:01.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-15T23:46:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-15T23:46:04.9Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612755,0,0,2023-03-15T23:46:04Z,40000,False,,,0,,Jump Ball J. Embiid vs. E. Mobley: Tip to P. Tucker,"[200782, 203954, 1630596]",1610612755.0,PHI,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Embiid,203954.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-15T23:46:18.4Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612755,0,0,2023-03-15T23:46:29Z,70000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630596, 203954]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1204.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-03-15T23:46:43.9Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,1,2023-03-15T23:46:43Z,90000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2023-03-15T23:46:58.3Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,2,2023-03-15T23:46:58Z,100000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M27.00S,2023-03-15T23:47:17.6Z,1,REGULAR,3pt,Jump Shot,[],1630596,71.56701708278581,23.52941176470588,1610612739,0,2,2023-03-15T23:47:24Z,110000,False,-132.0,215.0,1,right,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.23,,,,,,,,,,,,
12,PT11M23.00S,2023-03-15T23:47:21.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,2,2023-03-15T23:47:24Z,120000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M17.00S,2023-03-15T23:47:31.9Z,1,REGULAR,foul,personal,['2freethrow'],1629636,,,1610612755,0,2,2023-03-15T23:47:46Z,130000,False,,,0,,D. Garland shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629636, 203954]",1610612739.0,CLE,shooting,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,101284.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
15,PT11M17.00S,2023-03-15T23:47:56.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,3,2023-03-15T23:47:56Z,150000,False,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
16,PT11M17.00S,2023-03-15T23:48:11.3Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,4,2023-03-15T23:48:11Z,160000,False,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
