actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-05T00:41:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-05T00:41:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-05T00:41:29.0Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2023-03-05T00:41:29Z,40000,False,,,0,,Jump Ball J. Wiseman vs. J. Allen: Tip to J. Ivey,"[1631093, 1630164, 1628386]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Wiseman,1630164.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M55.00S,2023-03-05T00:41:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,8.886333771353483,51.71568627450981,1610612765,0,0,2023-03-05T00:43:22Z,80000,False,-9.0,31.0,1,left,MISS J. Ivey driving Layup,[1631093],1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,,,,,,,,,,,,
9,PT11M54.00S,2023-03-05T00:41:47.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2023-03-05T00:43:22Z,90000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT11M50.00S,2023-03-05T00:41:49.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.64323258869908,48.03921568627451,1610612739,0,0,2023-03-05T00:43:59Z,95000,False,-10.0,7.0,1,right,MISS J. Allen alley-oop DUNK,[1628386],1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.22,Missed,,,,,,,,,,,,,,,,,,
24,PT11M49.00S,2023-03-05T00:41:50.3Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,0,0,2023-03-05T00:43:59Z,97500,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT11M46.00S,2023-03-05T00:41:50.6Z,1,REGULAR,turnover,bad pass,[],1630164,,,1610612765,0,0,2023-03-05T00:48:42Z,98750,False,,,0,,J. Wiseman bad pass TURNOVER (1 TO),"[1630164, 1628386]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Allen,1628386.0,,,,,,,,,,,
56,PT11M46.00S,2023-03-05T00:41:50.6Z,1,REGULAR,steal,,[],1628386,,,1610612739,0,0,2023-03-05T00:47:31Z,99375,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M42.00S,2023-03-05T00:41:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628378,92.46057818659659,50.245098039215684,1610612739,2,0,2023-03-05T00:47:31Z,100000,False,1.0,18.0,1,right,D. Mitchell driving Layup (2 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,2.0,,,,,,,,,,
11,PT11M14.00S,2023-03-05T00:42:11.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,14.011169513797633,40.44117647058824,1610612765,2,2,2023-03-05T00:42:17Z,110000,False,48.0,79.0,1,left,M. Bagley III 9' turnaround Jump Shot (2 PTS),[1628963],1610612765.0,DET,turnaround,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Center,9.25,Made,,,,,,,,2.0,,,,,,,,,,
12,PT10M52.00S,2023-03-05T00:42:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,86.15308804204993,40.44117647058824,1610612739,2,2,2023-03-05T00:50:42Z,120000,False,-48.0,78.0,1,right,MISS E. Mobley 9' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2023-03-05T00:42:34.7Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,2,2,2023-03-05T00:42:39Z,130000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:2),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
