actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T00:41:03.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T00:41:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-03T00:41:05.9Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-12-03T00:41:05Z,40000,False,,,0,,Jump Ball E. Mobley vs. B. Bol: Tip to D. Garland,"[1629636, 1630596, 1629626]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Mobley,1630596.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-12-03T00:41:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630205,73.53810775295663,84.06862745098039,1610612739,0,0,2022-12-03T00:41:24Z,70000,False,170.0,196.0,1,right,MISS L. Stevens 25' 3PT,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-12-03T00:41:22.4Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,0,0,2022-12-03T00:41:24Z,80000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-12-03T00:41:30.1Z,1,REGULAR,turnover,bad pass,[],1629626,,,1610612753,0,0,2022-12-03T00:41:34Z,90000,False,,,0,,B. Bol bad pass TURNOVER (1 TO),"[1629626, 1630596]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Mobley,1630596.0,,,,,,,,,,,
10,PT11M32.00S,2022-12-03T00:41:30.1Z,1,REGULAR,steal,,[],1630596,,,1610612739,0,0,2022-12-03T00:41:32Z,100000,False,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-12-03T00:41:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628378,94.30026281208936,53.92156862745098,1610612739,2,0,2022-12-03T00:41:45Z,110000,False,20.0,1.0,1,right,D. Mitchell driving Layup (2 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.96,Made,,,,,,,,2.0,,,,,,,,,,
12,PT10M58.00S,2022-12-03T00:42:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,10.988830486202366,43.872549019607845,1610612753,2,2,2022-12-03T00:42:09Z,120000,False,31.0,51.0,1,left,M. Fultz driving floating Jump Shot (2 PTS) (P. Banchero 1 AST),"[1628365, 1631094]",1610612753.0,ORL,driving floating,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,5.93,Made,,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,,
14,PT10M45.00S,2022-12-03T00:42:18.0Z,1,REGULAR,2pt,Jump Shot,[],1629636,87.33574244415243,33.82352941176471,1610612739,2,2,2022-12-03T00:42:26Z,140000,False,-81.0,67.0,1,right,MISS D. Garland 10' driving floating Shot,[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,10.47,Missed,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-12-03T00:42:19.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,2,2,2022-12-03T00:42:26Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Mid-Range,8-16 Left,,,14.0,,,,,,,,,,,,,,,,,
