actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-13T23:10:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-13T23:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-13T23:10:52.6Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2022-11-13T23:10:52Z,40000,False,,,0,,Jump Ball R. Gobert vs. E. Mobley: Tip to A. Edwards,"[1630162, 203497, 1630596]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2022-11-13T23:10:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.966491458607096,51.71568627450981,1610612750,0,2,2022-11-13T23:11:00Z,70000,False,-9.0,22.0,1,left,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.4,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-11-13T23:11:06.9Z,1,REGULAR,3pt,Jump Shot,[],201567,65.1281208935611,23.52941176470588,1610612739,0,2,2022-11-13T23:11:12Z,90000,False,-132.0,275.0,1,right,MISS K. Love 30' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,30.55,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2022-11-13T23:11:10.9Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,2,2022-11-13T23:11:12Z,100000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M24.00S,2022-11-13T23:11:23.5Z,1,REGULAR,3pt,Jump Shot,[],1630183,22.552562417871222,90.68627450980392,1610612750,0,2,2022-11-13T23:11:29Z,110000,False,-203.0,159.0,1,left,MISS J. McDaniels 25' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2022-11-13T23:11:27.5Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,0,2,2022-11-13T23:11:29Z,120000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Above the Break 3,24+ Left Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M08.00S,2022-11-13T23:11:39.5Z,1,REGULAR,3pt,Jump Shot,[],201567,67.09921156373193,63.970588235294116,1610612739,0,2,2022-11-13T23:13:14Z,130000,False,70.0,257.0,1,right,MISS K. Love 26' pullup 3PT,[201567],1610612739.0,CLE,pullup,,,Love,K. Love,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2022-11-13T23:11:42.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,2,2022-11-13T23:11:44Z,140000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M54.00S,2022-11-13T23:11:53.1Z,1,REGULAR,3pt,Jump Shot,[],1626157,30.56833114323259,70.09803921568627,1610612750,0,2,2022-11-13T23:12:00Z,150000,False,-100.0,235.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
