actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-03T00:46:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-03T00:46:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-03T00:46:29.8Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-02-03T00:46:29Z,40000,False,,,0,,Jump Ball J. Allen vs. S. Aldama: Tip to D. Garland,"[1629636, 1628386, 1630583]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Aldama,1630583.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-02-03T00:46:45.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,7.30946123521682,3.431372549019608,1610612739,3,0,2023-02-03T00:46:54Z,70000,False,233.0,16.0,1,left,D. Garland 3PT  (3 PTS) (J. Allen 1 AST),"[1629636, 1628386]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,23.34,Made,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-02-03T00:47:02.0Z,1,REGULAR,2pt,Jump Shot,[],1628415,76.82325886990802,61.51960784313726,1610612763,3,2,2023-02-03T00:47:11Z,90000,False,58.0,165.0,1,right,D. Brooks 17' pullup Jump Shot (2 PTS) (X. Tillman 1 AST),"[1628415, 1630214]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,17.51,Made,2.0,X. Tillman,1630214.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2023-02-03T00:47:17.8Z,1,REGULAR,2pt,Jump Shot,[],1629636,22.158344283837057,37.99019607843137,1610612739,5,2,2023-02-03T00:47:22Z,110000,False,60.0,156.0,1,left,D. Garland 16' pullup Jump Shot (5 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right Center,16.7,Made,5.0,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2023-02-03T00:47:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,80.76544021024968,93.87254901960785,1610612763,5,5,2023-02-03T00:47:32Z,120000,False,219.0,128.0,1,right,D. Bane 25' 3PT step back (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,25.42,Made,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
14,PT10M41.00S,2023-02-03T00:47:44.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,12.434296977660972,44.36274509803921,1610612739,5,5,2023-02-03T00:47:49Z,140000,False,28.0,64.0,1,left,MISS E. Mobley 7' driving Hook,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.03,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-02-03T00:47:47.2Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,5,5,2023-02-03T00:47:47Z,150000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M33.00S,2023-02-03T00:47:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630583,92.32917214191852,54.166666666666664,1610612763,5,5,2023-02-03T00:48:57Z,160000,False,21.0,20.0,1,right,MISS S. Aldama reverse Layup,[1630583],1610612763.0,MEM,reverse,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2023-02-03T00:47:54.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,5,5,2023-02-03T00:48:10Z,170000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M19.00S,2023-02-03T00:48:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.389618922470433,51.71568627450981,1610612739,5,5,2023-02-03T00:48:18Z,180000,False,-9.0,8.0,1,left,MISS D. Garland driving Layup,[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.15,Missed,,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2023-02-03T00:48:08.2Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,5,5,2023-02-03T00:48:18Z,190000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M15.00S,2023-02-03T00:48:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,5,5,2023-02-03T00:55:00Z,200000,False,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627964.0,1.0,,,,,,,,
21,PT10M00.00S,2023-02-03T00:48:35.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628386,19.136005256241788,49.50980392156863,1610612739,5,5,2023-02-03T00:50:23Z,210000,False,2.0,127.0,1,left,MISS J. Allen 12' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,12.74,Missed,,,,,,,,,,,,,,,,,,
22,PT09M58.00S,2023-02-03T00:48:37.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,5,5,2023-02-03T00:48:37Z,220000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
