actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-19T00:42:20.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T00:42:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-19T00:42:22.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-11-19T00:42:22Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Plumlee: Tip to D. Garland,"[1629636, 1628386, 203486]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-19T00:42:34.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.51182654402102,50.49019607843137,1610612739,2,0,2022-11-19T00:42:43Z,70000,False,2.0,8.0,1,right,J. Allen DUNK (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-11-19T00:42:53.2Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,2,0,2022-11-19T00:43:00Z,90000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1629636]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,Garland,1629636.0,,,,,,,,,,,
10,PT11M26.00S,2022-11-19T00:42:53.2Z,1,REGULAR,steal,,[],1629636,,,1610612739,2,0,2022-11-19T00:43:27Z,100000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-11-19T00:42:58.6Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,2,0,2022-11-19T00:43:07Z,110000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1629023]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Washington,1629023.0,,,,,,,,,,,
12,PT11M20.00S,2022-11-19T00:42:58.6Z,1,REGULAR,steal,,[],1629023,,,1610612766,2,0,2022-11-19T00:43:20Z,120000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
850,PT11M18.00S,2022-11-19T00:43:01.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626162,8.09789750328515,43.627450980392155,1610612766,2,0,2022-11-19T05:33:44Z,125000,False,32.0,24.0,1,left,MISS K. Oubre Jr. running Layup,[1626162],1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,,,,,
851,PT11M16.00S,2022-11-19T00:43:03.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,2,0,2022-11-19T05:33:44Z,127500,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,850.0,,,,,,,,,,
13,PT11M16.00S,2022-11-19T00:43:04.5Z,1,REGULAR,foul,personal,[],1628378,,,1610612766,2,0,2022-11-19T05:34:23Z,130000,False,,,0,,D. Mitchell loose ball personal FOUL (1 PF),"[1628378, 203486]",1610612739.0,CLE,loose ball,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2005.0,1.0,0.0,Plumlee,203486.0,,,,,
15,PT10M55.00S,2022-11-19T00:43:32.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626179,12.959921156373195,34.068627450980394,1610612766,2,0,2022-11-19T05:33:44Z,150000,False,80.0,69.0,1,left,MISS T. Rozier 10' driving floating Shot,[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,10.56,Missed,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2022-11-19T00:43:34.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2022-11-19T00:43:43Z,160000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,15.0,,,,,,1.0,1.0,0.0,,
17,PT10M38.00S,2022-11-19T00:43:53.1Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612739,2,0,2022-11-19T00:44:13Z,170000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1626162, 1628378]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,2005.0,1.0,0.0,Mitchell,1628378.0,,,,,
19,PT10M38.00S,2022-11-19T00:44:19.4Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,3,0,2022-11-19T00:44:19Z,190000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT10M38.00S,2022-11-19T00:44:37.3Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,4,0,2022-11-19T00:44:37Z,200000,False,,,0,,D. Mitchell Free Throw 2 of 2 (2 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2022-11-19T00:44:58.7Z,1,REGULAR,3pt,Jump Shot,[],202330,20.97568988173456,93.62745098039215,1610612766,4,0,2022-11-19T00:45:07Z,210000,False,-218.0,145.0,1,left,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
22,PT10M17.00S,2022-11-19T00:44:59.7Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,4,0,2022-11-19T00:45:07Z,220000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,21.0,,,,,,1.0,0.0,1.0,,
23,PT10M17.00S,2022-11-19T00:45:03.3Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612766,4,0,2022-11-19T00:45:18Z,230000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1628386, 203486]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2005.0,1.0,0.0,Plumlee,203486.0,,,,,
25,PT10M17.00S,2022-11-19T00:45:25.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203486,,,1610612766,4,1,2022-11-19T00:45:25Z,250000,False,,,0,,M. Plumlee Free Throw 1 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2022-11-19T00:45:39.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203486,,,1610612766,4,2,2022-11-19T00:45:39Z,260000,False,,,0,,M. Plumlee Free Throw 2 of 2 (2 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2022-11-19T00:45:58.7Z,1,REGULAR,turnover,traveling,[],1629636,,,1610612739,4,2,2022-11-19T00:46:12Z,270000,False,,,0,,D. Garland traveling TURNOVER (1 TO),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,,,,1662.0,,,,,,,,,
28,PT09M47.00S,2022-11-19T00:46:25.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,29.6484888304862,26.225490196078432,1610612766,4,5,2022-11-19T00:46:35Z,280000,False,119.0,226.0,1,left,P. Washington 25' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1629023, 203486]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.55,Made,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
30,PT09M41.00S,2022-11-19T00:46:32.2Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,4,5,2022-11-19T00:46:42Z,300000,False,,,0,,D. Mitchell lost ball TURNOVER (2 TO),"[1628378, 1626162]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,2.0,Oubre Jr.,1626162.0,,,,,,,,,,,
31,PT09M41.00S,2022-11-19T00:46:32.2Z,1,REGULAR,steal,,[],1626162,,,1610612766,4,5,2022-11-19T00:46:34Z,310000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2022-11-19T00:46:42.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629023,18.084756898817346,83.33333333333334,1610612766,4,7,2022-11-19T00:46:50Z,320000,False,-167.0,117.0,1,left,P. Washington 20' pullup Jump Shot (5 PTS),[1629023],1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left,20.39,Made,5.0,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2022-11-19T00:46:58.4Z,1,REGULAR,2pt,Jump Shot,[],1629636,74.58935611038108,49.754901960784316,1610612739,6,7,2022-11-19T00:47:05Z,330000,False,-1.0,186.0,1,right,D. Garland 18' pullup Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,18.64,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
35,PT08M48.00S,2022-11-19T00:47:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,7.703679369250986,50.98039215686274,1610612766,6,7,2022-11-19T00:47:30Z,350000,False,-5.0,20.0,1,left,MISS M. Plumlee Layup - blocked,"[203486, 1628386]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.05,Missed,,,,,,,,,,,,,,,,,Allen,1628386.0
39,PT08M48.00S,2022-11-19T00:47:24.0Z,1,REGULAR,block,,[],1628386,,,1610612766,6,7,2022-11-19T00:47:49Z,355000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M44.00S,2022-11-19T00:47:28.0Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,7,2022-11-19T00:47:30Z,360000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,35.0,,,,,,2.0,2.0,0.0,,
37,PT08M40.00S,2022-11-19T00:47:32.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628386,94.69448094612353,50.49019607843137,1610612739,8,7,2022-11-19T00:48:51Z,370000,False,2.0,-3.0,1,right,J. Allen running DUNK (4 PTS) (E. Mobley 2 AST),"[1628386, 1630596]",1610612739.0,CLE,running,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.36,Made,4.0,E. Mobley,1630596.0,2.0,,,,,,,,,,,,,,
40,PT08M22.00S,2022-11-19T00:47:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,16.770696452036795,52.20588235294118,1610612766,8,7,2022-11-19T00:47:57Z,390000,False,-11.0,105.0,1,left,MISS K. Oubre Jr. 10' driving floating Shot,[1626162],1610612766.0,CHA,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.57,Missed,,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2022-11-19T00:47:53.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,8,7,2022-11-19T00:47:53Z,400000,False,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,40.0,,,,,,3.0,3.0,0.0,,
42,PT08M17.00S,2022-11-19T00:47:57.7Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,8,7,2022-11-19T00:48:16Z,410000,False,,,0,,D. Garland bad pass out-of-bounds TURNOVER (2 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,,,,2.0,,,,1155.0,,,,,,,,,
43,PT07M59.00S,2022-11-19T00:48:24.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,29.77989487516426,27.205882352941174,1610612766,8,7,2022-11-19T00:48:31Z,420000,False,114.0,227.0,1,left,MISS P. Washington 25' step back 3PT,[1629023],1610612766.0,CHA,step back,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.44,Missed,,,,,,,,,,,,,,,,,,
44,PT07M56.00S,2022-11-19T00:48:27.3Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,8,7,2022-11-19T00:48:31Z,430000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,43.0,,,,,,1.0,1.0,0.0,,
45,PT07M46.00S,2022-11-19T00:48:36.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.70499342969777,64.70588235294117,1610612739,11,7,2022-11-19T00:48:45Z,440000,False,74.0,260.0,1,right,D. Mitchell 27' 3PT pullup (5 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,27.07,Made,5.0,,,,,,,,,,,,,,,,,
46,PT07M19.00S,2022-11-19T00:49:04.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,7.5722733245729295,4.166666666666666,1610612766,11,7,2022-11-19T00:49:09Z,450000,False,229.0,19.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.0,Missed,,,,,,,,,,,,,,,,,,
47,PT07M17.00S,2022-11-19T00:49:06.0Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,11,7,2022-11-19T00:49:09Z,460000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Right Corner 3,24+ Right,,,,,,,,,,46.0,,,,,,1.0,1.0,0.0,,
48,PT07M09.00S,2022-11-19T00:49:14.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,84.44480946123521,64.95098039215686,1610612739,13,7,2022-11-19T00:49:20Z,470000,False,75.0,94.0,1,right,D. Garland 11' driving floating Jump Shot (4 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Right,11.99,Made,4.0,,,,,,,,,,,,,,,,,
49,PT07M03.00S,2022-11-19T00:49:25.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,13,7,2022-11-19T00:49:25Z,480000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M03.00S,2022-11-19T00:50:15.4Z,1,REGULAR,substitution,out,[],1629636,,,1610612766,13,7,2022-11-19T00:52:19Z,490000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2022-11-19T00:50:15.4Z,1,REGULAR,substitution,in,[],1627747,,,1610612766,13,7,2022-11-19T00:52:19Z,500000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M54.00S,2022-11-19T00:52:36.1Z,1,REGULAR,3pt,Jump Shot,[],202330,29.122864651773984,22.54901960784314,1610612766,13,10,2022-11-19T00:52:45Z,510000,False,137.0,221.0,1,left,G. Hayward 26' 3PT  (3 PTS) (P. Washington 1 AST),"[202330, 1629023]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,26.04,Made,3.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,
54,PT06M39.00S,2022-11-19T00:52:53.9Z,1,REGULAR,foul,personal,[],1626162,,,1610612739,13,10,2022-11-19T00:53:08Z,530000,False,,,0,,K. Oubre Jr. personal FOUL (2 PF),"[1626162, 1628378]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2005.0,2.0,0.0,Mitchell,1628378.0,,,,,
56,PT06M30.00S,2022-11-19T00:53:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,94.43166885676742,49.754901960784316,1610612739,15,10,2022-11-19T00:53:22Z,550000,False,-1.0,0.0,1,right,J. Allen alley-oop Layup (6 PTS) (E. Mobley 3 AST),"[1628386, 1630596]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.12,Made,6.0,E. Mobley,1630596.0,3.0,,,,,,,,,,,,,,
58,PT06M17.00S,2022-11-19T00:53:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,9.149145860709593,50.73529411764706,1610612766,15,10,2022-11-19T00:54:25Z,570000,False,-4.0,34.0,1,left,MISS T. Rozier driving Layup - blocked,"[1626179, 1628386]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,,,,,,Allen,1628386.0
59,PT06M17.00S,2022-11-19T00:53:28.9Z,1,REGULAR,block,,[],1628386,,,1610612766,15,10,2022-11-19T00:53:32Z,580000,False,,,0,,J. Allen BLOCK (2 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
60,PT06M14.00S,2022-11-19T00:53:31.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,15,10,2022-11-19T00:53:44Z,590000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,58.0,,,,,,1.0,1.0,0.0,,
61,PT06M00.00S,2022-11-19T00:53:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,85.89027595269383,44.11764705882353,1610612739,17,10,2022-11-19T00:55:51Z,600000,False,-29.0,80.0,1,right,D. Mitchell 8' driving floating Jump Shot (7 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,8.53,Made,7.0,,,,,,,,,,,,,,,,,
62,PT05M38.00S,2022-11-19T00:54:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,17.95335085413929,46.07843137254902,1610612766,17,10,2022-11-19T00:54:15Z,610000,False,20.0,116.0,1,left,MISS G. Hayward 11' turnaround fadeaway Shot,[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,11.79,Missed,,,,,,,,,,,,,,,,,,
63,PT05M35.00S,2022-11-19T00:54:11.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,17,10,2022-11-19T00:54:15Z,620000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,62.0,,,,,,2.0,2.0,0.0,,
64,PT05M30.00S,2022-11-19T00:54:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.46057818659659,51.71568627450981,1610612739,19,10,2022-11-19T00:55:38Z,630000,False,9.0,18.0,1,right,D. Mitchell driving Layup (9 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.03,Made,9.0,,,,,,,,,,,,,,,,,
65,PT05M15.00S,2022-11-19T00:54:31.8Z,1,REGULAR,3pt,Jump Shot,[],1626179,27.414586070959263,78.67647058823529,1610612766,19,10,2022-11-19T00:54:38Z,640000,False,-143.0,205.0,1,left,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
66,PT05M12.00S,2022-11-19T00:54:34.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,19,10,2022-11-19T00:54:38Z,650000,False,,,0,,E. Mobley REBOUND (Off:0 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,65.0,,,,,,4.0,4.0,0.0,,
67,PT05M01.00S,2022-11-19T00:54:45.2Z,1,REGULAR,2pt,Jump Shot,[],1628386,83.65637319316689,32.59803921568628,1610612739,19,10,2022-11-19T00:54:54Z,660000,False,-87.0,101.0,1,right,MISS J. Allen 13' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,13.34,Missed,,,,,,,,,,,,,,,,,,
68,PT05M00.00S,2022-11-19T00:54:46.2Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,19,10,2022-11-19T00:54:54Z,670000,False,,,0,,E. Mobley REBOUND (Off:1 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,,,,,,,67.0,,,,,,5.0,4.0,1.0,,
70,PT05M00.00S,2022-11-19T00:54:52.7Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,19,10,2022-11-19T00:55:17Z,690000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M00.00S,2022-11-19T00:54:52.7Z,1,REGULAR,substitution,out,[],1630205,,,1610612739,19,10,2022-11-19T00:55:17Z,700000,False,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M00.00S,2022-11-19T00:54:52.7Z,1,REGULAR,substitution,out,[],1626179,,,1610612739,19,10,2022-11-19T00:55:17Z,710000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M00.00S,2022-11-19T00:54:52.7Z,1,REGULAR,substitution,out,[],202330,,,1610612739,19,10,2022-11-19T00:55:17Z,720000,False,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
