shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-07T00:33:06.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-07T00:33:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55,4,PT11M55.00S,2022-12-07T00:33:10.7Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-12-07T00:33:10Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Davis: Tip to D. Garland,"[1629636, 1628386, 203076]",10,1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
11:37,7,PT11M37.00S,2022-12-07T00:33:28.2Z,1,REGULAR,2pt,Jump Shot,[],1630596,25.837713534822605,56.61764705882353,1610612739,2,0,2022-12-07T00:33:33Z,70000,False,-33.0,190.0,1,left,E. Mobley 19' pullup Jump Shot (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",4,1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Center,19.33,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,
11:17,9,PT11M17.00S,2022-12-07T00:33:48.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,93.9060446780552,49.26470588235294,1610612747,2,2,2022-12-07T00:33:54Z,90000,False,-4.0,5.0,1,right,L. James cutting DUNK (2 PTS) (A. Davis 1 AST),"[2544, 203076]",6,1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
11:06,11,PT11M06.00S,2022-12-07T00:34:00.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,8.886333771353483,50.0,1610612739,4,2,2022-12-07T00:34:05Z,110000,False,0.0,31.0,1,left,J. Allen cutting DUNK (2 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",31,1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,3.1,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
10:52,13,PT10M52.00S,2022-12-07T00:34:13.4Z,1,REGULAR,3pt,Jump Shot,[],1629022,95.3515111695138,96.81372549019608,1610612747,4,2,2022-12-07T00:34:18Z,130000,False,234.0,-9.0,1,right,MISS L. Walker IV 3PT,[1629022],4,1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Right Corner 3,24+ Right,23.43,Missed,,,,,,,,,,,,,,,,,,
10:50,14,PT10M50.00S,2022-12-07T00:34:15.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,2,2022-12-07T00:34:18Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],31,1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
10:45,15,PT10M45.00S,2022-12-07T00:34:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630205,7.178055190538765,52.69607843137255,1610612739,6,2,2022-12-07T00:34:30Z,150000,False,-13.0,15.0,1,left,L. Stevens running Layup (2 PTS) (D. Garland 2 AST),"[1630205, 1629636]",8,1610612739.0,CLE,running,,,Stevens,L. Stevens,,,,,Restricted Area,0-8 Center,2.02,Made,2.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,,,
10:33,17,PT10M33.00S,2022-12-07T00:34:32.1Z,1,REGULAR,2pt,Jump Shot,[],203471,79.45137976346912,21.813725490196077,1610612747,6,2,2022-12-07T00:34:36Z,170000,False,-141.0,141.0,1,right,MISS D. Schroder 19' pullup Shot,[203471],17,1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Left Center,19.91,Missed,,,,,,,,,,,,,,,,,,
10:31,18,PT10M31.00S,2022-12-07T00:34:34.1Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,6,2,2022-12-07T00:34:36Z,180000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],8,1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Mid-Range,16-24 Left Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
