actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-10T00:10:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-10T00:10:39.9Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-03-10T00:10:40Z,40000,False,,,0,,Jump Ball N. Claxton vs. N. Richards: Tip to D. Schroder,"[203471, 1629651, 1630208]",1610612751.0,BKN,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Claxton,1629651.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-10T00:10:54.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,8.229303547963205,53.18627450980392,1610612751,0,0,2024-03-10T00:25:36Z,70000,False,-16.0,25.0,1,left,MISS N. Claxton Hook,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-03-10T00:10:58.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2024-03-10T00:25:36Z,80000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2024-03-10T00:10:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,5.590000152587891,50.0,1610612751,0,2,2024-03-10T00:10:58Z,90000,False,0.0,0.0,1,left,N. Claxton putback Layup (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2024-03-10T00:11:15.0Z,1,REGULAR,3pt,Jump Shot,[],1641706,69.20170827858082,27.450980392156865,1610612766,0,2,2024-03-10T00:11:30Z,100000,False,-113.0,237.0,1,right,MISS B. Miller 26' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.24,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2024-03-10T00:11:17.0Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,0,2,2024-03-10T00:11:19Z,110000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M08.00S,2024-03-10T00:11:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,14.799605781865965,46.07843137254902,1610612751,0,4,2024-03-10T00:12:02Z,120000,False,20.0,87.0,1,left,C. Thomas 8' driving floating Jump Shot (2 PTS),[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,8.88,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M48.00S,2024-03-10T00:11:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,86.94152431011827,51.225490196078425,1610612766,2,4,2024-03-10T00:12:38Z,130000,False,6.0,70.0,1,right,B. Miller 7' driving floating Jump Shot (2 PTS),[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,7.05,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M24.00S,2024-03-10T00:12:12.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,16.770696452036795,18.872549019607842,1610612751,2,6,2024-03-10T00:13:07Z,140000,False,156.0,105.0,1,left,C. Thomas 18' Jump Shot (4 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,18.78,Made,,,,,4.0,,,,,,,,,,,,,
