actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-01T23:10:15.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-01T23:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-01T23:10:18.5Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-04-01T23:10:18Z,40000,False,,,0,,Jump Ball K. Porzingis vs. G. Williams: Tip to D. White,"[1628401, 204001, 1629684]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Williams,1629684.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-04-01T23:10:33.8Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612738,0,0,2024-04-01T23:10:44Z,70000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1629684, 204001]",1610612766.0,CHA,shooting,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,1628171.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-04-01T23:10:54.7Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,0,1,2024-04-01T23:10:54Z,90000,False,,,0,,K. Porzingis Free Throw 1 of 2 (1 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M43.00S,2024-04-01T23:11:11.7Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,0,2,2024-04-01T23:11:11Z,100000,False,,,0,,K. Porzingis Free Throw 2 of 2 (2 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M17.00S,2024-04-01T23:11:38.2Z,1,REGULAR,3pt,Jump Shot,[],1628970,71.69842312746385,81.61764705882352,1610612766,3,2,2024-04-01T23:11:42Z,110000,False,158.0,214.0,1,right,M. Bridges 26' 3PT  (3 PTS) (V. Micic 1 AST),"[1628970, 203995]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,26.57,V. Micic,203995.0,1.0,,,,,,,,,
13,PT11M09.00S,2024-04-01T23:11:47.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,27.020367936925098,80.14705882352942,1610612738,3,2,2024-04-01T23:11:52Z,130000,False,-151.0,201.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.16,,,,,,,,,,,,
14,PT11M07.00S,2024-04-01T23:11:49.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,3,2,2024-04-01T23:11:52Z,140000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M58.00S,2024-04-01T23:11:57.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,92.85479632063075,52.69607843137255,1610612766,5,2,2024-04-01T23:12:30Z,150000,False,13.0,15.0,1,right,M. Bridges driving Hook (5 PTS),[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,2.0,,,,,,,,,,,,
16,PT10M46.00S,2024-04-01T23:12:10.2Z,1,REGULAR,3pt,Jump Shot,[],201950,28.597240473061763,21.813725490196077,1610612738,5,2,2024-04-01T23:12:15Z,160000,False,141.0,216.0,1,left,MISS J. Holiday 25' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.81,,,,,,,,,,,,
17,PT10M43.00S,2024-04-01T23:12:12.4Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,5,2,2024-04-01T23:12:12Z,170000,False,,,0,,V. Micic REBOUND (Off:0 Def:1),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M27.00S,2024-04-01T23:12:28.1Z,1,REGULAR,2pt,Jump Shot,[],1629684,84.31340341655716,69.11764705882352,1610612766,7,2,2024-04-01T23:12:34Z,180000,False,96.0,95.0,1,right,G. Williams 13' turnaround fadeaway Jump Shot (2 PTS) (V. Micic 2 AST),"[1629684, 203995]",1610612766.0,CHA,turnaround fadeaway,,,Williams,G. Williams,,,,,Mid-Range,8-16 Right,,,,,,Made,2.0,13.48,V. Micic,203995.0,2.0,,,,,,,,,
19,PT10M16.00S,2024-04-01T23:12:39.7Z,1,REGULAR,3pt,Jump Shot,[],201950,6.915243101182654,96.81372549019608,1610612738,7,2,2024-04-01T23:12:43Z,190000,False,-234.0,13.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.44,,,,,,,,,,,,
20,PT10M13.00S,2024-04-01T23:12:42.7Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,2,2024-04-01T23:12:43Z,200000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,
21,PT10M06.00S,2024-04-01T23:12:50.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,68.9388961892247,74.26470588235294,1610612766,10,2,2024-04-01T23:12:53Z,210000,False,121.0,239.0,1,right,B. Miller 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,26.85,M. Bridges,1628970.0,1.0,,,,,,,,,
23,PT09M44.00S,2024-04-01T23:13:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.991458607095925,76.22549019607843,1610612738,10,5,2024-04-01T23:13:54Z,230000,False,-131.0,220.0,1,left,J. Tatum 25' 3PT step back (3 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.61,,,,,,,,,,,,
24,PT09M27.00S,2024-04-01T23:13:27.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.20170827858082,24.264705882352942,1610612766,10,5,2024-04-01T23:13:31Z,240000,False,-129.0,237.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.97,,,,,,,,,,,,
25,PT09M25.00S,2024-04-01T23:13:29.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,10,5,2024-04-01T23:13:31Z,250000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,
26,PT09M15.00S,2024-04-01T23:13:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.436925098554536,28.676470588235293,1610612738,10,5,2024-04-01T23:14:25Z,260000,False,107.0,234.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.68,,,,,,,,,,,,
27,PT09M12.00S,2024-04-01T23:13:43.7Z,1,REGULAR,rebound,offensive,[],201950,,,1610612738,10,5,2024-04-01T23:13:43Z,270000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,
28,PT09M08.00S,2024-04-01T23:13:47.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201143,17.0335085413929,4.901960784313726,1610612738,10,5,2024-04-01T23:13:53Z,280000,False,225.0,108.0,1,left,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,24.99,,,,,,,,,,,,
29,PT09M03.00S,2024-04-01T23:13:51.9Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,10,5,2024-04-01T23:13:51Z,290000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,
