actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-16T00:10:42.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-16T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-16T00:10:46.2Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2023-12-16T00:10:46Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Richards: Tip to C. McCollum,"[203468, 202685, 1630208]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-12-16T00:11:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,87.20433639947439,45.09803921568628,1610612740,0,0,2023-12-16T00:11:15Z,70000,False,-25.0,68.0,1,right,MISS C. McCollum 7' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-12-16T00:11:07.1Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2023-12-16T00:11:07Z,80000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M15.00S,2023-12-16T00:11:29.6Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,0,0,2023-12-16T00:11:43Z,90000,False,,,0,,M. Bridges lost ball out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,lost ball,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,1204.0,1.0,,,,,,,,,,,,
10,PT11M03.00S,2023-12-16T00:11:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,91.27792378449409,44.6078431372549,1610612740,0,0,2023-12-16T00:11:56Z,100000,False,-27.0,29.0,1,right,MISS J. Valanciunas driving Layup - blocked,"[202685, 1630208]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,Richards,1630208.0,,,,,,,,,,
11,PT11M03.00S,2023-12-16T00:11:47.7Z,1,REGULAR,block,,[],1630208,,,1610612740,0,0,2023-12-16T00:11:50Z,110000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2023-12-16T00:11:50.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,0,0,2023-12-16T00:11:56Z,120000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M54.00S,2023-12-16T00:11:56.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202330,13.222733245729303,46.568627450980394,1610612766,0,0,2023-12-16T00:13:12Z,130000,False,17.0,72.0,1,left,MISS G. Hayward 7' running pullup Shot,[202330],1610612766.0,CHA,running pullup,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,7.38,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2023-12-16T00:11:59.8Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,0,0,2023-12-16T00:11:59Z,140000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
