actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-01T00:10:28.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-01T00:10:32.0Z,1,REGULAR,jumpball,recovered,[],1628998,,,1610612766,0,0,2024-02-01T00:10:32Z,40000,False,,,0,,Jump Ball N. Richards vs. N. Vucevic: Tip to C. Martin,"[1628998, 1630208, 202696]",1610612766.0,CHA,startperiod,C. Martin,1628998.0,Martin,C. Martin,Richards,1630208.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-02-01T00:10:48.5Z,1,REGULAR,3pt,Jump Shot,[],1628970,32.013797634691194,41.911764705882355,1610612766,0,0,2024-02-01T00:10:52Z,70000,False,40.0,248.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,25.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-02-01T00:10:48.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,0,2024-02-01T00:10:52Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-02-01T00:11:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,86.41590013140605,50.49019607843137,1610612741,0,2,2024-02-01T00:11:16Z,100000,False,2.0,75.0,1,right,N. Vucevic 7' floating Jump Shot (2 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.52,Made,,2.0,C. White,1629632.0,1.0,,,,,,,,,,,,,
12,PT11M11.00S,2024-02-01T00:11:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,7.5722733245729295,50.0,1610612766,0,2,2024-02-01T00:12:00Z,120000,False,0.0,19.0,1,left,MISS C. Martin driving finger roll Layup,[1628998],1610612766.0,CHA,driving finger roll,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2024-02-01T00:11:26.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2024-02-01T00:11:28Z,130000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT11M04.00S,2024-02-01T00:11:31.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630245,91.80354796320631,4.166666666666666,1610612741,0,2,2024-02-01T00:11:37Z,140000,False,-229.0,25.0,1,right,MISS A. Dosunmu running 3PT,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2024-02-01T00:11:34.8Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612766,0,2,2024-02-01T00:11:37Z,150000,False,,,0,,B. McGowens REBOUND (Off:0 Def:1),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Left Corner 3,24+ Left,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,,
16,PT10M57.00S,2024-02-01T00:11:38.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641706,36.87582128777924,40.68627450980392,1610612766,3,2,2024-02-01T00:11:47Z,160000,False,47.0,294.0,1,left,B. Miller 29' 3PT running (3 PTS) (B. McGowens 1 AST),"[1641706, 1631121]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,29.78,Made,,3.0,B. McGowens,1631121.0,1.0,,,,,,,,,,,,,
18,PT10M44.00S,2024-02-01T00:11:51.0Z,1,REGULAR,2pt,Jump Shot,[],201942,71.42945137976346,31.368719362745097,1610612741,3,4,2024-02-01T00:12:01Z,180000,False,-93.0,216.0,1,right,D. DeRozan 23' Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[201942, 1630245]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,23.53,Made,,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,
