actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-11T00:10:25.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-11T00:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-11T00:10:27.2Z,1,REGULAR,jumpball,recovered,[],1629723,,,1610612763,0,0,2024-02-11T00:10:27Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Richards: Tip to J. Konchar,"[1629723, 1628991, 1630208]",1610612763.0,MEM,startperiod,J. Konchar,1629723.0,Konchar,J. Konchar,Jackson Jr.,1628991.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-11T00:10:40.3Z,1,REGULAR,3pt,Jump Shot,[],1631246,66.04796320630749,46.07843137254902,1610612763,0,3,2024-02-11T00:10:44Z,70000,False,-20.0,267.0,1,right,V. Williams Jr. 26' 3PT  (3 PTS) (J. Gilyard 1 AST),"[1631246, 1631367]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,26.73,Made,3.0,J. Gilyard,1631367.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-11T00:11:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628998,28.728646517739815,76.7156862745098,1610612766,0,3,2024-02-11T00:15:35Z,90000,False,-134.0,218.0,1,left,MISS C. Martin 25' 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,25.53,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-02-11T00:11:02.8Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,0,3,2024-02-11T00:15:35Z,100000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
36,PT11M23.00S,2024-02-11T00:11:04.9Z,1,REGULAR,turnover,out-of-bounds,[],1630208,,,1610612766,0,3,2024-02-11T00:15:45Z,105000,False,,,0,,N. Richards lost ball out-of-bounds TURNOVER (1 TO),[1630208],1610612766.0,CHA,lost ball,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,,,,,,,,,101284.0,1.0,,,,,,,,
12,PT11M07.00S,2024-02-11T00:11:23.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,82.21090670170827,50.0,1610612763,0,3,2024-02-11T01:06:09Z,120000,False,0.0,115.0,1,right,MISS J. Jackson Jr. 11' floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.47,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2024-02-11T00:11:25.1Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,3,2024-02-11T00:11:28Z,130000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,
14,PT10M57.00S,2024-02-11T00:11:34.0Z,1,REGULAR,3pt,Jump Shot,[],1630544,23.209592641261498,87.25490196078431,1610612766,3,3,2024-02-11T00:11:38Z,140000,False,-186.0,166.0,1,left,T. Mann 24' 3PT  (3 PTS) (B. Miller 1 AST),"[1630544, 1641706]",1610612766.0,CHA,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,24.93,Made,3.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,,
16,PT10M39.00S,2024-02-11T00:11:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.06636005256242,49.26470588235294,1610612763,3,5,2024-02-11T00:11:56Z,160000,False,-4.0,22.0,1,right,J. Jackson Jr. driving Layup (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.24,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2024-02-11T00:12:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,7.046649145860711,48.529411764705884,1610612766,5,5,2024-02-11T00:12:19Z,170000,False,7.0,14.0,1,left,T. Mann floating Jump Shot (5 PTS) (N. Richards 1 AST),"[1630544, 1630208]",1610612766.0,CHA,floating,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,1.56,Made,5.0,N. Richards,1630208.0,1.0,,,,,,,,,,,,,,
19,PT10M10.00S,2024-02-11T00:12:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,91.27792378449409,49.754901960784316,1610612763,5,5,2024-02-11T00:13:49Z,190000,False,-1.0,29.0,1,right,MISS J. Jackson Jr. Jump Shot - blocked,"[1628991, 1630208]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,,,Richards,1630208.0,,,,,,
20,PT10M10.00S,2024-02-11T00:12:22.1Z,1,REGULAR,block,,[],1630208,,,1610612763,5,5,2024-02-11T00:12:25Z,200000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M09.00S,2024-02-11T00:12:23.1Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,5,5,2024-02-11T00:13:49Z,210000,False,,,0,,J. Konchar REBOUND (Off:1 Def:0),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,
