actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-15T00:10:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T00:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-15T00:10:15.6Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2024-02-15T00:10:15Z,40000,False,,,0,,Jump Ball N. Richards vs. B. Fernando: Tip to M. Bridges,"[1628970, 1630208, 1628981]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Richards,1630208.0,Fernando,1628981.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-02-15T00:10:33.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,70.25295663600527,18.137254901960784,1610612766,0,0,2024-02-15T00:10:40Z,70000,False,-159.0,227.0,1,right,MISS B. Miller 27' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,27.74,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-02-15T00:10:38.4Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,0,0,2024-02-15T00:16:47Z,80000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-15T00:10:42.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,68.9388961892247,19.607843137254903,1610612766,0,0,2024-02-15T00:10:47Z,90000,False,-152.0,239.0,1,right,MISS M. Bridges 28' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,28.37,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-02-15T00:10:46.3Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612737,0,0,2024-02-15T00:10:47Z,100000,False,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-02-15T00:11:04.8Z,1,REGULAR,3pt,Jump Shot,[],1630552,26.231931668856767,83.33333333333334,1610612737,0,0,2024-02-15T00:11:09Z,110000,False,-167.0,194.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-02-15T00:11:07.8Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612766,0,0,2024-02-15T00:11:09Z,120000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M54.00S,2024-02-15T00:11:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,91.80354796320631,54.65686274509803,1610612766,0,0,2024-02-15T00:14:47Z,130000,False,23.0,25.0,1,right,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2024-02-15T00:11:21.6Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,0,0,2024-02-15T00:14:47Z,140000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT10M51.00S,2024-02-15T00:11:24.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628970,94.40999984741211,50.0,1610612766,2,0,2024-02-15T00:14:53Z,150000,False,0.0,0.0,1,right,M. Bridges putback Layup (2 PTS),[1628970],1610612766.0,CHA,putback,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M35.00S,2024-02-15T00:11:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,7.30946123521682,55.14705882352941,1610612737,2,0,2024-02-15T00:11:44Z,160000,False,-26.0,16.0,1,left,MISS B. Fernando Layup - blocked,"[1628981, 1628970]",1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,Bridges,1628970.0,,,,,,,,,,,
17,PT10M35.00S,2024-02-15T00:11:38.9Z,1,REGULAR,block,,[],1628970,,,1610612737,2,0,2024-02-15T00:11:41Z,170000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M35.00S,2024-02-15T00:11:38.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,2,0,2024-02-15T00:11:44Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,16.0,,,,,,,,,,,,,,,,,
20,PT10M30.00S,2024-02-15T00:11:57.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,7.30946123521682,76.9607843137255,1610612737,2,2,2024-02-15T00:15:45Z,200000,False,-135.0,16.0,1,left,D. Murray 13' pullup Jump Shot (2 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,13.58,Made,,,,,2.0,,,T. Young,1629027.0,1.0,,,,,,,,
22,PT10M15.00S,2024-02-15T00:12:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,87.72996057818659,50.98039215686274,1610612766,4,2,2024-02-15T00:12:20Z,220000,False,5.0,63.0,1,right,M. Bridges 6' driving floating Jump Shot (4 PTS) (T. Mann 1 AST),"[1628970, 1630544]",1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,6.3,Made,,,,,4.0,,,T. Mann,1630544.0,1.0,,,,,,,,
24,PT10M03.00S,2024-02-15T00:12:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,6.258212877792378,48.03921568627451,1610612737,4,4,2024-02-15T00:12:28Z,240000,False,10.0,6.0,1,left,J. Johnson Layup (2 PTS) (T. Young 2 AST),"[1630552, 1629027]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,2.0,,,T. Young,1629027.0,2.0,,,,,,,,
26,PT09M57.00S,2024-02-15T00:12:34.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628998,90.09526938239159,52.20588235294118,1610612766,4,4,2024-02-15T01:05:08Z,260000,False,11.0,41.0,1,right,MISS C. Martin driving DUNK - blocked,"[1628998, 1628981]",1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,Fernando,1628981.0,,,,,,,,,,,
33,PT09M57.00S,2024-02-15T00:12:34.5Z,1,REGULAR,block,,[],1628981,,,1610612766,4,4,2024-02-15T00:13:25Z,265000,False,,,0,,B. Fernando BLOCK (1 BLK),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M54.00S,2024-02-15T00:12:37.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,4,4,2024-02-15T00:18:12Z,270000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
