actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-08T00:10:34.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-08T00:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-08T00:10:38.5Z,1,REGULAR,jumpball,recovered,[],1628998,,,1610612766,0,0,2024-02-08T00:10:38Z,40000,False,,,0,,Jump Ball N. Richards vs. J. Poeltl: Tip to C. Martin,"[1628998, 1630208, 1627751]",1610612766.0,CHA,startperiod,C. Martin,1628998.0,Martin,C. Martin,Richards,1630208.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-02-08T00:11:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,5.469776609724048,55.63725490196079,1610612766,2,0,2024-02-08T00:11:33Z,80000,False,-28.0,-1.0,1,left,C. Martin driving reverse Layup (2 PTS),[1628998],1610612766.0,CHA,driving reverse,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.82,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M07.00S,2024-02-08T00:11:45.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,92.72339027595268,55.14705882352941,1610612761,2,0,2024-02-08T00:16:37Z,90000,False,26.0,16.0,1,right,MISS G. Trent Jr. driving floating bank Shot,[1629018],1610612761.0,TOR,driving floating bank,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,3.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2024-02-08T00:11:48.1Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,2,0,2024-02-08T00:16:32Z,100000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M54.00S,2024-02-08T00:12:01.5Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612766,2,0,2024-02-08T00:12:09Z,110000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Bridges 2 FT),"[1630567, 1628970]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,1162.0,1.0,0.0,Bridges,1628970.0,,,,,,,,
13,PT10M54.00S,2024-02-08T00:12:21.9Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,3,0,2024-02-08T00:12:21Z,130000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2024-02-08T00:12:34.9Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,4,0,2024-02-08T00:12:34Z,140000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2024-02-08T00:12:50.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,75.90341655716163,10.294117647058822,1610612761,4,3,2024-02-08T00:12:53Z,150000,False,-199.0,174.0,1,right,G. Trent Jr. 26' 3PT  (3 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,26.4,Made,3.0,,,,,,,,,,S. Barnes,1630567.0,1.0,,,,,
17,PT10M33.00S,2024-02-08T00:13:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,30.436925098554536,30.392156862745097,1610612766,7,3,2024-02-08T00:13:04Z,170000,False,98.0,234.0,1,left,M. Bridges 25' 3PT  (5 PTS) (C. Martin 1 AST),"[1628970, 1628998]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.33,Made,5.0,,,,,,,,,,C. Martin,1628998.0,1.0,,,,,
