actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-18T23:10:17.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-18T23:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-18T23:10:20.3Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-11-18T23:10:20Z,40000,False,,,0,,Jump Ball M. Robinson vs. M. Williams: Tip to J. Brunson,"[1628973, 1629011, 1631109]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-18T23:10:37.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,18.2161629434954,28.186274509803923,1610612752,0,2,2023-11-18T23:11:06Z,70000,False,109.0,119.0,1,left,J. Brunson 16' step back Jump Shot (2 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,16.12,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2023-11-18T23:10:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631109,84.05059132720105,49.50980392156863,1610612766,0,2,2023-11-18T23:11:59Z,80000,False,-2.0,97.0,1,right,MISS M. Williams 9' floating Shot,[1631109],1610612766.0,CHA,floating,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,9.74,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2023-11-18T23:10:59.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,2,2023-11-18T23:11:08Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT10M58.00S,2023-11-18T23:11:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,10.988830486202366,47.794117647058826,1610612752,0,2,2023-11-18T23:11:35Z,110000,False,11.0,51.0,1,left,MISS J. Randle fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,5.2,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2023-11-18T23:11:29.9Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,0,2,2023-11-18T23:11:35Z,120000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M49.00S,2023-11-18T23:11:36.5Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,0,2,2023-11-18T23:11:45Z,130000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1628978]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,
14,PT10M49.00S,2023-11-18T23:11:36.5Z,1,REGULAR,steal,,[],1628978,,,1610612752,0,2,2023-11-18T23:11:39Z,140000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-11-18T23:11:47.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628978,5.732588699080158,54.41176470588235,1610612752,0,4,2023-11-18T23:11:53Z,150000,False,-22.0,1.0,1,left,D. DiVincenzo cutting Layup (2 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612752.0,NYK,cutting,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,,,,,,,,J. Randle,203944.0,1.0,,,,,,,
17,PT10M22.00S,2023-11-18T23:12:03.5Z,1,REGULAR,2pt,Jump Shot,[],1641706,81.42247043363994,28.676470588235293,1610612766,2,4,2023-11-18T23:13:09Z,170000,False,-107.0,122.0,1,right,B. Miller 16' pullup Jump Shot (2 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,16.21,Made,2.0,,,,,,,,L. Ball,1630163.0,1.0,,,,,,,
