actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-25T23:11:05.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-25T23:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-25T23:11:08.0Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2023-10-25T23:11:08Z,40000,False,,,0,,Jump Ball M. Williams vs. C. Capela: Tip to P. Washington,"[1629023, 1631109, 203991]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Williams,1631109.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-10-25T23:11:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,81.15965834428384,39.950980392156865,1610612766,0,0,2023-10-25T23:11:23Z,70000,False,-50.0,125.0,1,right,MISS L. Ball 13' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,13.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-10-25T23:11:21.9Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,0,0,2023-10-25T23:11:23Z,80000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2023-10-25T23:11:29.9Z,1,REGULAR,2pt,Jump Shot,[],1629027,20.97568988173456,25.735294117647058,1610612737,0,2,2023-10-25T23:11:40Z,90000,False,121.0,145.0,1,left,T. Young 18' pullup Jump Shot (2 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,18.88,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M29.00S,2023-10-25T23:11:41.2Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,0,2,2023-10-25T23:11:48Z,110000,False,,,0,,L. Ball bad pass out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,bad pass,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,203177.0,1.0,,,,,,,,,,,
12,PT11M15.00S,2023-10-25T23:12:00.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,30.305519053876477,71.07843137254902,1610612737,0,2,2023-10-25T23:12:04Z,120000,False,-105.0,232.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2023-10-25T23:12:03.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,2,2023-10-25T23:12:04Z,130000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M04.00S,2023-10-25T23:12:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,91.5407358738502,49.26470588235294,1610612766,2,2,2023-10-25T23:12:16Z,140000,False,-4.0,27.0,1,right,M. Williams Layup (2 PTS) (G. Hayward 1 AST),"[1631109, 202330]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.73,Made,,,,,2.0,,,G. Hayward,202330.0,1.0,,,,,,,,
16,PT11M03.00S,2023-10-25T23:12:18.5Z,1,REGULAR,turnover,out-of-bounds,[],203991,,,1610612737,2,2,2023-10-25T23:15:43Z,160000,False,,,0,,C. Capela step out-of-bounds TURNOVER (1 TO),[203991],1610612737.0,ATL,step,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,,,203177.0,1.0,,,,,,,,,,,
