actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-20T00:11:13.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-20T00:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-20T00:11:14.9Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2024-01-20T00:11:14Z,40000,False,,,0,,Jump Ball Z. Collins vs. P. Washington: Tip to T. Jones,"[1630200, 1628380, 1629023]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Collins,1628380.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-20T00:11:28.9Z,1,REGULAR,turnover,lost ball,[],1628380,,,1610612759,0,0,2024-01-20T00:11:34Z,70000,False,,,0,,Z. Collins lost ball TURNOVER (1 TO),"[1628380, 1641706]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,1.0,Miller,1641706.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-20T00:11:28.9Z,1,REGULAR,steal,,[],1641706,,,1610612766,0,0,2024-01-20T00:11:32Z,80000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-01-20T00:11:33.6Z,1,REGULAR,foul,personal,[],1628380,,,1610612766,0,0,2024-01-20T00:12:00Z,90000,False,,,0,,Z. Collins personal FOUL (1 PF),"[1628380, 1641706]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Center,,,,203593.0,1.0,0.0,Miller,1641706.0,,,,,,,,,,,,
11,PT11M23.00S,2024-01-20T00:11:59.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,30.17411300919842,69.85294117647058,1610612766,3,0,2024-01-20T00:12:03Z,110000,False,-99.0,231.0,1,left,B. Miller 25' 3PT  (3 PTS) (T. Rozier 1 AST),"[1641706, 1626179]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.15,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,
13,PT11M08.00S,2024-01-20T00:12:14.9Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612759,3,0,2024-01-20T00:12:24Z,130000,False,,,0,,Z. Collins bad pass TURNOVER (2 TO),"[1628380, 1641706]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,2.0,Miller,1641706.0,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2024-01-20T00:12:14.9Z,1,REGULAR,steal,,[],1641706,,,1610612766,3,0,2024-01-20T00:12:19Z,140000,False,,,0,,B. Miller STEAL (2 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2024-01-20T00:12:22.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626179,7.5722733245729295,49.50980392156863,1610612766,5,0,2024-01-20T00:14:19Z,150000,False,2.0,19.0,1,left,T. Rozier floating Jump Shot (2 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,floating,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,1.89,Made,2.0,L. Ball,1630163.0,1.0,,,,,,
17,PT10M46.00S,2024-01-20T00:12:36.3Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,5,0,2024-01-20T00:12:40Z,170000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1629023]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,1.0,Washington,1629023.0,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2024-01-20T00:12:36.3Z,1,REGULAR,steal,,[],1629023,,,1610612766,5,0,2024-01-20T00:12:38Z,180000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2024-01-20T00:12:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629023,5.469776609724048,47.549019607843135,1610612766,7,0,2024-01-20T00:15:20Z,190000,False,12.0,-1.0,1,left,P. Washington cutting Layup (2 PTS) (L. Ball 2 AST),"[1629023, 1630163]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,1.23,Made,2.0,L. Ball,1630163.0,2.0,,,,,,
21,PT10M39.00S,2024-01-20T00:12:57.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,7,0,2024-01-20T00:12:57Z,210000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2024-01-20T00:15:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,91.80354796320631,49.01960784313725,1610612759,7,0,2024-01-20T00:16:01Z,220000,False,-5.0,25.0,1,right,MISS Z. Collins driving Layup,[1628380],1610612759.0,SAS,driving,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,2.5,Missed,,,,,,,,,,
23,PT10M16.00S,2024-01-20T00:16:00.6Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,7,0,2024-01-20T00:16:01Z,230000,False,,,0,,Z. Collins REBOUND (Off:1 Def:0),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,
24,PT10M16.00S,2024-01-20T00:16:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628380,94.40999984741211,50.0,1610612759,7,2,2024-01-20T00:16:00Z,240000,False,0.0,0.0,1,right,Z. Collins tip Layup (2 PTS),[1628380],1610612759.0,SAS,tip,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Left,,,,,,,,,0.0,Made,2.0,,,,,,,,,
25,PT10M04.00S,2024-01-20T00:16:12.3Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,7,2,2024-01-20T00:16:19Z,250000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1630200]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Center,1.0,Jones,1630200.0,,,,,,,,,,,,,,,,,
