actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-17T00:10:45.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-12-17T00:10:50.5Z,1,REGULAR,jumpball,recovered,[],1629001,,,1610612755,0,0,2023-12-17T00:10:50Z,40000,False,,,0,,Jump Ball J. Embiid vs. N. Richards: Tip to D. Melton,"[1629001, 203954, 1630208]",1610612755.0,PHI,startperiod,D. Melton,1629001.0,Melton,D. Melton,Embiid,203954.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-12-17T00:10:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,10.200394218134035,51.225490196078425,1610612755,0,0,2023-12-17T00:11:05Z,70000,False,-6.0,43.0,1,left,MISS J. Embiid Layup - blocked,"[203954, 1641706]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,4.38,Missed,Miller,1641706.0,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-12-17T00:10:59.6Z,1,REGULAR,block,,[],1641706,,,1610612755,0,0,2023-12-17T00:11:03Z,80000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2023-12-17T00:10:59.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2023-12-17T00:11:05Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M41.00S,2023-12-17T00:11:22.9Z,1,REGULAR,foul,personal,[],1630208,,,1610612755,0,0,2023-12-17T00:11:31Z,110000,False,,,0,,N. Richards personal FOUL (1 PF),"[1630208, 203954]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1627526.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
13,PT11M33.00S,2023-12-17T00:11:44.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203954,12.171484888304862,27.205882352941174,1610612755,0,2,2023-12-17T00:11:51Z,130000,False,114.0,62.0,1,left,J. Embiid 12' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,12.97,Made,,,,,,,,,2.0,,,,,,,,,
14,PT11M16.00S,2023-12-17T00:12:01.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,94.30026281208936,97.54901960784314,1610612766,0,2,2023-12-17T00:12:05Z,140000,False,238.0,1.0,1,right,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2023-12-17T00:12:03.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,2,2023-12-17T00:12:05Z,150000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,,14.0,,,,,,,1.0,1.0,0.0,,,,,,
16,PT11M01.00S,2023-12-17T00:12:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.92444152431012,50.0,1610612755,0,4,2023-12-17T00:12:51Z,160000,False,0.0,135.0,1,left,J. Embiid 13' pullup Jump Shot (4 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.48,Made,,,,,,,,,4.0,,,,,,,,,
