actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-21T00:10:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-21T00:10:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-21T00:10:10.9Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-01-21T00:10:10Z,40000,False,,,0,,Jump Ball J. Embiid vs. P. Washington: Tip to T. Maxey,"[1630178, 203954, 1629023]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-01-21T00:10:28.8Z,1,REGULAR,2pt,Jump Shot,[],203954,8.623521681997373,74.26470588235294,1610612755,0,0,2024-01-21T00:10:34Z,70000,False,-121.0,29.0,1,left,MISS J. Embiid 12' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,12.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-01-21T00:10:31.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2024-01-21T00:10:34Z,80000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-01-21T00:10:45.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,71.43561103810775,78.67647058823529,1610612766,0,0,2024-01-21T00:10:49Z,90000,False,143.0,216.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,25.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-01-21T00:10:45.4Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,0,2024-01-21T00:10:49Z,100000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M00.00S,2024-01-21T00:11:08.4Z,1,REGULAR,2pt,Jump Shot,[],1630178,17.427726675427067,66.91176470588235,1610612755,0,0,2024-01-21T00:11:20Z,110000,False,-85.0,111.0,1,left,MISS T. Maxey 13' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Left,13.98,Missed,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2024-01-21T00:11:10.6Z,1,REGULAR,rebound,offensive,[],201587,,,1610612755,0,0,2024-01-21T00:11:10Z,120000,False,,,0,,N. Batum REBOUND (Off:1 Def:0),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Mid-Range,8-16 Left,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M55.00S,2024-01-21T00:11:13.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201587,4.155716162943495,97.30392156862744,1610612755,0,0,2024-01-21T00:11:23Z,130000,False,-237.0,-13.0,1,left,MISS N. Batum 3PT,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,23.69,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2024-01-21T00:11:15.6Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2024-01-21T00:11:23Z,140000,False,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M45.00S,2024-01-21T00:11:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,66.70499342969777,57.35294117647059,1610612766,0,0,2024-01-21T00:11:27Z,150000,False,37.0,260.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2024-01-21T00:11:25.6Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,0,0,2024-01-21T00:11:25Z,160000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M41.00S,2024-01-21T00:11:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,92.06636005256242,49.50980392156863,1610612766,0,0,2024-01-21T00:12:16Z,170000,False,-2.0,22.0,1,right,MISS M. Bridges driving Layup - blocked,"[1628970, 203954]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,Embiid,203954.0,,,,,,,,,,,,
