actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-11T00:10:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-11T00:10:49.2Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2024-01-11T00:10:49Z,40000,False,,,0,,Jump Ball N. Richards vs. D. Sabonis: Tip to T. Rozier,"[1626179, 1630208, 1627734]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Richards,1630208.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-11T00:11:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641706,92.06636005256242,45.588235294117645,1610612766,2,0,2024-01-11T00:11:15Z,70000,False,-22.0,22.0,1,right,B. Miller driving Layup (2 PTS),[1641706],1610612766.0,CHA,driving,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,3.13,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-01-11T00:11:23.6Z,1,REGULAR,2pt,Jump Shot,[],1631099,17.296320630749015,71.56862745098039,1610612758,2,0,2024-01-11T00:11:29Z,90000,False,-108.0,110.0,1,left,MISS K. Murray 15' fadeaway Shot,[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,15.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-01-11T00:11:25.6Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612766,2,0,2024-01-11T00:11:29Z,100000,False,,,0,,B. McGowens REBOUND (Off:0 Def:1),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Mid-Range,8-16 Left,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M19.00S,2024-01-11T00:11:30.5Z,1,REGULAR,foul,personal,[],1628989,,,1610612766,2,0,2024-01-11T00:12:50Z,110000,False,,,0,,K. Huerter take personal FOUL (1 PF),"[1628989, 1631121]",1610612758.0,SAC,take,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,,,,1627529.0,1.0,0.0,McGowens,1631121.0,,,,,,,,
13,PT11M19.00S,2024-01-11T00:11:55.3Z,1,REGULAR,substitution,out,[],1628989,,,1610612766,2,0,2024-01-11T00:12:07Z,130000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2024-01-11T00:11:55.3Z,1,REGULAR,substitution,in,[],1630537,,,1610612766,2,0,2024-01-11T00:12:07Z,140000,False,,,0,,SUB in: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2024-01-11T00:12:11.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,2,0,2024-01-11T00:12:17Z,150000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,2530.0,,,,,,,,,,,,
16,PT10M54.00S,2024-01-11T00:12:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630208,83.52496714848883,44.85294117647059,1610612766,4,0,2024-01-11T00:12:42Z,160000,False,-26.0,102.0,1,right,N. Richards 10' Jump Shot (2 PTS) (B. McGowens 1 AST),"[1630208, 1631121]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,10.56,Made,2.0,,,,,,,,,,B. McGowens,1631121.0,1.0,,,,,
