actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-09T00:10:48.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-09T00:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-09T00:10:51.3Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2023-12-09T00:10:51Z,40000,False,,,0,,Jump Ball J. Poeltl vs. M. Williams: Tip to P. Siakam,"[1627783, 1627751, 1631109]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Poeltl,1627751.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-09T00:11:00.3Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,0,2023-12-09T00:11:04Z,70000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1628970]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,1.0,Bridges,1628970.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2023-12-09T00:11:00.3Z,1,REGULAR,steal,,[],1628970,,,1610612766,0,0,2023-12-09T00:11:02Z,80000,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-12-09T00:11:07.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,6.1268068331143235,55.14705882352941,1610612766,0,0,2023-12-09T00:11:13Z,90000,False,-26.0,5.0,1,left,MISS T. Rozier driving reverse Layup,[1626179],1610612766.0,CHA,driving reverse,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,2.62,Missed,,,,,,,,,,,,,,,
10,PT11M38.00S,2023-12-09T00:11:09.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2023-12-09T00:11:13Z,100000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M29.00S,2023-12-09T00:11:21.4Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,0,0,2023-12-09T00:11:30Z,110000,False,,,0,,S. Barnes step out-of-bounds TURNOVER (2 TO),[1630567],1610612761.0,TOR,step,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,2.0,,,,,,,,,2004.0,,,,,,,,,,
12,PT11M07.00S,2023-12-09T00:11:51.0Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,0,0,2023-12-09T00:11:56Z,120000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1630567]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,1.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2023-12-09T00:11:51.0Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,0,2023-12-09T00:11:53Z,130000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-12-09T00:11:56.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,93.11760840998686,51.71568627450981,1610612761,0,2,2023-12-09T00:12:03Z,140000,False,9.0,12.0,1,right,S. Barnes running DUNK (2 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,1.49,Made,,,,,,2.0,,,,,,,,,
15,PT10M43.00S,2023-12-09T00:12:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.559132720105126,51.470588235294116,1610612766,2,2,2023-12-09T00:12:18Z,150000,False,-7.0,113.0,1,left,T. Rozier 11' pullup Jump Shot (2 PTS) (G. Hayward 1 AST),"[1626179, 202330]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,11.28,Made,,,,,,2.0,G. Hayward,202330.0,1.0,,,,,,
