actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-24T00:10:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-24T00:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-24T00:10:57.0Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612766,0,0,2023-12-24T00:10:57Z,40000,False,,,0,,Jump Ball N. Richards vs. N. Jokic: Tip to G. Hayward,"[202330, 1630208, 203999]",1610612766.0,CHA,startperiod,G. Hayward,202330.0,Hayward,G. Hayward,Richards,1630208.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-24T00:11:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,92.85479632063075,52.20588235294118,1610612766,2,0,2023-12-24T00:11:18Z,70000,False,11.0,15.0,1,right,G. Hayward driving Layup (2 PTS),[202330],1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2023-12-24T00:11:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,7.835085413929041,51.225490196078425,1610612743,2,0,2023-12-24T00:12:19Z,80000,False,-6.0,21.0,1,left,MISS K. Caldwell-Pope driving finger roll Layup - blocked,"[203484, 1630208]",1610612743.0,DEN,driving finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,2.2,Missed,,Richards,1630208.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2023-12-24T00:11:34.3Z,1,REGULAR,block,,[],1630208,,,1610612743,2,0,2023-12-24T00:11:37Z,90000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-12-24T00:11:36.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,0,2023-12-24T00:12:19Z,100000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2023-12-24T00:11:41.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,2,0,2023-12-24T00:11:50Z,110000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201638.0,,,,,,,,,,
12,PT10M54.00S,2023-12-24T00:12:12.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,91.67214191852825,49.01960784313725,1610612766,4,0,2023-12-24T00:12:17Z,120000,False,-5.0,26.0,1,right,M. Bridges driving finger roll Layup (2 PTS) (G. Hayward 1 AST),"[1628970, 202330]",1610612766.0,CHA,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.63,Made,2.0,,,,,,,,G. Hayward,202330.0,1.0,,,,,,,
14,PT10M30.00S,2023-12-24T00:12:37.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,16.63929040735874,61.76470588235294,1610612743,4,0,2023-12-24T00:12:46Z,140000,False,-59.0,104.0,1,left,MISS A. Gordon 11' Jump Shot,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,11.94,Missed,,,,,,,,,,,,,,,,,,
15,PT10M26.00S,2023-12-24T00:12:40.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,4,0,2023-12-24T00:12:40Z,150000,False,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
