actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-06T00:10:47.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-06T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-06T00:10:50.0Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612747,0,0,2024-02-06T00:10:50Z,40000,False,,,0,,Jump Ball A. Davis vs. N. Richards: Tip to R. Hachimura,"[1629060, 203076, 1630208]",1610612747.0,LAL,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Davis,203076.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-06T00:11:04.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,6.783837056504599,50.73529411764706,1610612747,0,2,2024-02-06T00:11:10Z,70000,False,-4.0,11.0,1,left,D. Russell driving Layup (2 PTS),[1626156],1610612747.0,LAL,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.19,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2024-02-06T00:11:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202397,84.31340341655716,49.01960784313725,1610612766,2,2,2024-02-06T00:11:26Z,80000,False,-5.0,95.0,1,right,I. Smith 9' pullup Jump Shot (2 PTS),[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,In The Paint (Non-RA),8-16 Center,9.51,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-02-06T00:11:29.0Z,1,REGULAR,2pt,Jump Shot,[],1626156,7.966491458607096,20.588235294117645,1610612747,2,2,2024-02-06T00:12:20Z,90000,False,147.0,22.0,1,left,MISS D. Russell 14' turnaround fadeaway Shot,[1626156],1610612747.0,LAL,turnaround fadeaway,,,Russell,D. Russell,,,,,Mid-Range,8-16 Right,14.88,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2024-02-06T00:11:32.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,2,2,2024-02-06T00:11:40Z,100000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M09.00S,2024-02-06T00:11:37.5Z,1,REGULAR,2pt,Jump Shot,[],202397,76.5604467805519,56.372549019607845,1610612766,4,2,2024-02-06T00:11:45Z,110000,False,32.0,168.0,1,right,I. Smith 17' pullup Jump Shot (4 PTS),[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,Mid-Range,16-24 Center,17.08,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2024-02-06T00:11:55.0Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,4,2,2024-02-06T00:12:01Z,120000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1641706]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Miller,1641706.0,,,,,,,,,,
13,PT10M51.00S,2024-02-06T00:11:55.0Z,1,REGULAR,steal,,[],1641706,,,1610612766,4,2,2024-02-06T00:21:13Z,130000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2024-02-06T00:12:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202397,91.80354796320631,50.49019607843137,1610612766,6,2,2024-02-06T00:12:11Z,140000,False,2.0,25.0,1,right,I. Smith running Layup (6 PTS),[202397],1610612766.0,CHA,running,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,2.46,Made,6.0,,,,,,,,,,,,,,,,,
15,PT10M26.00S,2024-02-06T00:12:20.5Z,1,REGULAR,3pt,Jump Shot,[],1630559,39.24113009198423,32.59803921568628,1610612747,6,2,2024-02-06T00:12:25Z,150000,False,87.0,316.0,1,left,MISS A. Reaves 32' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,32.81,Missed,,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2024-02-06T00:12:24.5Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,6,2,2024-02-06T00:12:25Z,160000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M16.00S,2024-02-06T00:12:30.2Z,1,REGULAR,2pt,Jump Shot,[],1641706,87.46714848883047,75.98039215686273,1610612766,8,2,2024-02-06T00:12:35Z,170000,False,130.0,65.0,1,right,B. Miller 14' pullup Jump Shot (2 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,14.54,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M05.00S,2024-02-06T00:12:42.7Z,1,REGULAR,foul,personal,['2freethrow'],202397,,,1610612747,8,2,2024-02-06T00:12:51Z,180000,False,,,0,,I. Smith shooting personal FOUL (1 PF) (Russell 2 FT),"[202397, 1626156]",1610612766.0,CHA,shooting,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1146.0,1.0,0.0,Russell,1626156.0,,,,,
20,PT10M05.00S,2024-02-06T00:13:05.9Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612747,8,3,2024-02-06T00:13:05Z,200000,False,,,0,,D. Russell Free Throw 1 of 2 (3 PTS),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
21,PT10M05.00S,2024-02-06T00:13:16.6Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612747,8,4,2024-02-06T00:13:16Z,210000,False,,,0,,D. Russell Free Throw 2 of 2 (4 PTS),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2024-02-06T00:13:33.2Z,1,REGULAR,3pt,Jump Shot,[],1641706,68.54467805519053,73.2843137254902,1610612766,11,4,2024-02-06T00:13:39Z,220000,False,116.0,243.0,1,right,B. Miller 26' 3PT step back (5 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,step back,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,26.96,Made,5.0,,,,,,,,,,,,,M. Bridges,1628970.0,1.0,,
24,PT09M42.00S,2024-02-06T00:13:47.5Z,1,REGULAR,foul,personal,[],1641706,,,1610612747,11,4,2024-02-06T00:13:56Z,240000,False,,,0,,B. Miller personal FOUL (1 PF),"[1641706, 1630559]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1146.0,1.0,0.0,Reaves,1630559.0,,,,,
