actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-29T23:10:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-29T23:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-29T23:10:40.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612744,0,0,2024-03-29T23:10:40Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. N. Richards: Tip to C. Paul,"[101108, 1631218, 1630208]",1610612744.0,GSW,startperiod,C. Paul,101108.0,Paul,C. Paul,Jackson-Davis,1631218.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-03-29T23:10:51.5Z,1,REGULAR,3pt,Jump Shot,[],203952,78.13731931668858,8.823529411764707,1610612744,0,3,2024-03-29T23:10:56Z,70000,False,-206.0,153.0,1,right,A. Wiggins 25' 3PT  (3 PTS) (C. Paul 1 AST),"[203952, 101108]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.65,Made,3.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-03-29T23:11:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,6.1268068331143235,51.225490196078425,1610612766,2,3,2024-03-29T23:11:14Z,90000,False,-6.0,5.0,1,left,N. Richards Layup (2 PTS) (V. Micic 1 AST),"[1630208, 203995]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,V. Micic,203995.0,1.0,,,,,,,,,,,,,,
11,PT11M05.00S,2024-03-29T23:11:31.9Z,1,REGULAR,turnover,out-of-bounds,[],101108,,,1610612744,2,3,2024-03-29T23:11:39Z,110000,False,,,0,,C. Paul bad pass out-of-bounds TURNOVER (1 TO),[101108],1610612744.0,GSW,bad pass,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,,,,,,,1151.0,1.0,,,,,,,,,,,,
12,PT10M50.00S,2024-03-29T23:11:53.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203995,27.677398160315374,21.568627450980394,1610612766,5,3,2024-03-29T23:11:57Z,120000,False,142.0,208.0,1,left,V. Micic 25' 3PT pullup (3 PTS),[203995],1610612766.0,CHA,pullup,,,Micic,V. Micic,,,,,Above the Break 3,24+ Right Center,25.17,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M37.00S,2024-03-29T23:12:06.4Z,1,REGULAR,3pt,Jump Shot,[],203952,79.71419185282524,8.088235294117647,1610612744,5,3,2024-03-29T23:12:10Z,130000,False,-210.0,138.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.11,Missed,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2024-03-29T23:12:09.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,3,2024-03-29T23:12:10Z,140000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M26.00S,2024-03-29T23:12:20.3Z,1,REGULAR,3pt,Jump Shot,[],1641706,32.802233902759525,38.970588235294116,1610612766,5,3,2024-03-29T23:12:43Z,150000,False,55.0,256.0,1,left,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
16,PT10M24.00S,2024-03-29T23:12:22.3Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,5,3,2024-03-29T23:12:43Z,160000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
