actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-31T22:10:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-31T22:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-31T22:10:23.4Z,1,REGULAR,jumpball,recovered,[],203995,,,1610612766,0,0,2024-03-31T22:10:23Z,40000,False,,,0,,Jump Ball N. Richards vs. I. Zubac: Tip to V. Micic,"[203995, 1630208, 1627826]",1610612766.0,CHA,startperiod,V. Micic,203995.0,Micic,V. Micic,Richards,1630208.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-31T22:10:36.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,5.995400788436268,49.50980392156863,1610612766,2,0,2024-03-31T22:10:42Z,70000,False,2.0,4.0,1,left,N. Richards alley-oop DUNK (2 PTS) (V. Micic 1 AST),"[1630208, 203995]",1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,V. Micic,203995.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-03-31T22:10:51.3Z,1,REGULAR,turnover,traveling,[],1627826,,,1610612746,2,0,2024-03-31T22:11:02Z,90000,False,,,0,,I. Zubac traveling TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,,,,,1193.0,1.0,,,,,,,,,,,,
10,PT11M20.00S,2024-03-31T22:11:11.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203995,29.517082785808146,22.54901960784314,1610612766,2,0,2024-03-31T22:11:48Z,100000,False,137.0,225.0,1,left,MISS V. Micic 26' pullup 3PT,[203995],1610612766.0,CHA,pullup,,,Micic,V. Micic,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2024-03-31T22:11:13.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,2,0,2024-03-31T22:11:15Z,110000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M08.00S,2024-03-31T22:11:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,86.5473061760841,50.73529411764706,1610612746,2,2,2024-03-31T22:13:29Z,120000,False,4.0,74.0,1,right,I. Zubac 7' floating Jump Shot (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,7.41,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
14,PT10M55.00S,2024-03-31T22:11:36.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,19.530223390275953,92.8921568627451,1610612766,5,2,2024-03-31T22:11:44Z,140000,False,-214.0,131.0,1,left,B. Miller 25' 3PT  (3 PTS) (V. Micic 2 AST),"[1641706, 203995]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,25.14,Made,3.0,V. Micic,203995.0,2.0,,,,,,,,,,,,,,
16,PT10M30.00S,2024-03-31T22:12:01.5Z,1,REGULAR,3pt,Jump Shot,[],1629611,70.12155059132719,75.73529411764706,1610612746,5,5,2024-03-31T22:12:05Z,160000,False,129.0,228.0,1,right,T. Mann 26' 3PT  (3 PTS) (P. George 1 AST),"[1629611, 202331]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,26.22,Made,3.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
18,PT10M14.00S,2024-03-31T22:12:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641706,7.5722733245729295,52.94117647058824,1610612766,5,5,2024-03-31T22:12:24Z,180000,False,-15.0,19.0,1,left,MISS B. Miller cutting Layup,[1641706],1610612766.0,CHA,cutting,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
