actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-21T00:10:45.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-21T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-21T00:10:47.9Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2023-11-21T00:10:48Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Williams: Tip to J. Brown,"[1627759, 204001, 1631109]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Porzingis,204001.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-21T00:11:02.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,23.209592641261498,50.245098039215684,1610612738,0,2,2023-11-21T00:11:08Z,70000,False,-1.0,166.0,1,left,J. Tatum 16' Jump Shot (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,16.57,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2023-11-21T00:11:16.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,86.5473061760841,50.49019607843137,1610612766,0,2,2023-11-21T00:11:44Z,80000,False,2.0,74.0,1,right,MISS G. Hayward 7' driving floating Shot,[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2023-11-21T00:11:18.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2023-11-21T00:11:21Z,90000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M15.00S,2023-11-21T00:11:36.8Z,1,REGULAR,foul,technical,['1freethrow'],1641706,,,1610612738,0,2,2023-11-21T00:11:45Z,100000,False,,,0,,B. Miller defensive-3-second technical FOUL (1 Tech),[1641706],1610612766.0,CHA,defensive-3-second,,,Miller,B. Miller,,,,,,,,,,,,,,1179.0,0.0,1.0,,,,,,,,,,
11,PT11M15.00S,2023-11-21T00:11:53.7Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,0,3,2023-11-21T00:11:53Z,110000,False,,,0,,J. Tatum technical Free Throw 1 of 1 (3 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2023-11-21T00:12:16.8Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,0,3,2023-11-21T00:12:21Z,120000,False,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1641706]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,24+ Left Center,,,,,,,,,,,1.0,Miller,1641706.0,,,,,,,
13,PT11M05.00S,2023-11-21T00:12:16.8Z,1,REGULAR,steal,,[],1641706,,,1610612766,0,3,2023-11-21T00:12:19Z,130000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2023-11-21T00:12:24.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,71.69842312746385,19.607843137254903,1610612766,0,3,2023-11-21T00:12:32Z,140000,False,-152.0,214.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.21,Missed,,,,,,,,,,,,,,,,,,
