actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
22,PT09M50.00S,2024-01-30T00:13:05.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628973,30.305519053876477,26.225490196078432,1610612752,5,5,2024-01-30T00:17:00Z,220000,False,119.0,232.0,1,left,MISS J. Brunson 26' running 3PT,[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,26.1,Missed,,,,,,,,,,,,,
23,PT09M46.00S,2024-01-30T00:13:08.6Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,5,5,2024-01-30T00:13:08Z,230000,False,,,0,,B. Miller REBOUND (Off:0 Def:2),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,
24,PT09M40.00S,2024-01-30T00:13:14.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,92.72339027595268,51.470588235294116,1610612766,7,5,2024-01-30T00:25:08Z,240000,False,7.0,16.0,1,right,N. Richards DUNK (2 PTS) (M. Bridges 1 AST),"[1630208, 1628970]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,1.75,Made,,,,,,,2.0,M. Bridges,1628970.0,1.0,,,
26,PT09M15.00S,2024-01-30T00:13:40.7Z,1,REGULAR,3pt,Jump Shot,[],1628978,25.04927726675427,85.5392156862745,1610612752,7,5,2024-01-30T00:16:48Z,260000,False,-178.0,183.0,1,left,MISS D. DiVincenzo 25' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,25.51,Missed,,,,,,,,,,,,,
27,PT09M11.00S,2024-01-30T00:13:44.1Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,7,5,2024-01-30T00:13:44Z,270000,False,,,0,,B. Miller REBOUND (Off:0 Def:3),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,
28,PT09M02.00S,2024-01-30T00:13:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,87.07293035479631,43.627450980392155,1610612766,9,5,2024-01-30T00:26:01Z,280000,False,-32.0,69.0,1,right,B. Miller 7' floating Jump Shot (4 PTS),[1641706],1610612766.0,CHA,floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.6,Made,,,,,,,4.0,,,,,,
29,PT08M54.00S,2024-01-30T00:14:05.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,9,5,2024-01-30T00:14:05Z,290000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M42.00S,2024-01-30T00:17:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,16.245072273324574,55.88235294117647,1610612752,9,5,2024-01-30T00:17:21Z,300000,False,-29.0,100.0,1,left,MISS J. Brunson 10' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.44,Missed,,,,,,,,,,,,,
32,PT08M39.00S,2024-01-30T00:17:18.3Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,9,5,2024-01-30T00:17:21Z,320000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,
33,PT08M36.00S,2024-01-30T00:17:20.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630173,4.812746386333772,75.73529411764706,1610612752,9,5,2024-01-30T00:27:20Z,330000,False,-129.0,-7.0,1,left,MISS P. Achiuwa 12' turnaround Shot,[1630173],1610612752.0,NYK,turnaround,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Left,,,,,,12.89,Missed,,,,,,,,,,,,,
