actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-02T22:10:30.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-02T22:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-02T22:10:32.4Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2023-12-02T22:10:32Z,40000,False,,,0,,Jump Ball M. Williams vs. R. Gobert: Tip to T. Rozier,"[1626179, 1631109, 203497]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Williams,1631109.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-02T22:10:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,86.5473061760841,50.49019607843137,1610612766,0,0,2023-12-02T22:10:52Z,70000,False,2.0,74.0,1,right,MISS G. Hayward 7' turnaround fadeaway Shot,[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-02T22:10:48.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-12-02T22:10:53Z,80000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-12-02T22:11:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,10.200394218134035,38.970588235294116,1610612750,0,2,2023-12-02T22:11:39Z,90000,False,55.0,43.0,1,left,K. Towns 7' driving floating bank Jump Shot (2 PTS) (M. Conley 1 AST),"[1626157, 201144]",1610612750.0,MIN,driving floating bank,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,7.01,Made,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,,,,
11,PT11M15.00S,2023-12-02T22:11:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.9862023653088,49.754901960784316,1610612766,0,2,2023-12-02T22:11:19Z,110000,False,-1.0,13.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2023-12-02T22:11:15.5Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612750,0,2,2023-12-02T22:11:19Z,120000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M09.00S,2023-12-02T22:11:21.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,7.178055190538765,50.0,1610612750,0,4,2023-12-02T22:13:16Z,130000,False,0.0,15.0,1,left,R. Gobert reverse DUNK (2 PTS) (T. Brown Jr. 1 AST),"[203497, 1628972]",1610612750.0,MIN,reverse,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,2.0,T. Brown Jr.,1628972.0,1.0,,,,,,,,,,
15,PT10M49.00S,2023-12-02T22:11:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,87.99277266754271,50.98039215686274,1610612766,0,4,2023-12-02T22:14:54Z,150000,False,5.0,60.0,1,right,MISS B. Miller 6' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2023-12-02T22:11:42.6Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,0,4,2023-12-02T22:11:42Z,160000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
