actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,descriptor,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-27T00:10:44.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-27T00:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2024-01-27T00:11:01.4Z,1,REGULAR,violation,jumpball,[],1630578,,,0,0,0,2024-01-27T00:11:01Z,40000,False,,,0,,A. Sengun jumpball VIOLATION,[1630578],1610612745.0,HOU,1148.0,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M51.00S,2024-01-27T00:11:16.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,5.206964520367937,97.54901960784314,1610612766,3,0,2024-01-27T00:11:24Z,50000,False,-238.0,-4.0,1,left,B. Miller 3PT  (3 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,,Miller,B. Miller,Left Corner 3,24+ Left,23.77,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-01-27T00:11:36.7Z,1,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,3,0,2024-01-27T00:11:50Z,70000,False,,,0,,A. Sengun bad pass out-of-bounds TURNOVER (1 TO),[1630578],1610612745.0,HOU,1201.0,Sengun,A. Sengun,Right Corner 3,24+ Right,,,,,,,bad pass,1.0,,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-01-27T00:11:55.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630208,6.783837056504599,50.245098039215684,1610612766,5,0,2024-01-27T01:21:13Z,80000,False,-1.0,11.0,1,left,N. Richards cutting Layup (2 PTS) (L. Ball 2 AST),"[1630208, 1630163]",1610612766.0,CHA,,Richards,N. Richards,Restricted Area,0-8 Center,1.14,Made,2.0,L. Ball,1630163.0,2.0,cutting,,,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2024-01-27T00:12:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,84.83902759526939,48.77450980392157,1610612745,5,2,2024-01-27T00:12:38Z,100000,False,-6.0,90.0,1,right,J. Green 9' pullup Jump Shot (2 PTS),[1630224],1610612745.0,HOU,,Green,J. Green,In The Paint (Non-RA),8-16 Center,9.02,Made,2.0,,,,pullup,,,,,,,,,,,,,,,,,,,
11,PT10M49.00S,2024-01-27T00:12:25.8Z,1,REGULAR,3pt,Jump Shot,[],1628998,5.601182654402102,95.83333333333334,1610612766,5,2,2024-01-27T00:12:29Z,110000,False,-229.0,0.0,1,left,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,Martin,C. Martin,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M46.00S,2024-01-27T00:12:28.4Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,5,2,2024-01-27T00:12:28Z,120000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,Richards,N. Richards,Left Corner 3,24+ Left,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M41.00S,2024-01-27T00:12:34.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628998,7.440867279894875,58.82352941176471,1610612766,5,2,2024-01-27T00:13:13Z,130000,False,-44.0,17.0,1,left,MISS C. Martin bank Shot,[1628998],1610612766.0,CHA,,Martin,C. Martin,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,bank,,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2024-01-27T00:12:36.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,5,2,2024-01-27T00:12:39Z,140000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,Sengun,A. Sengun,In The Paint (Non-RA),0-8 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M27.00S,2024-01-27T00:12:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,73.80091984231275,85.29411764705883,1610612745,5,2,2024-01-27T00:12:55Z,150000,False,176.0,194.0,1,right,MISS J. Green 26' step back 3PT,[1630224],1610612745.0,HOU,,Green,J. Green,Above the Break 3,24+ Right Center,26.21,Missed,,,,,step back,,,,,,,,,,,,,,,,,,,
16,PT10M23.00S,2024-01-27T00:12:53.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,5,2,2024-01-27T00:12:55Z,160000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,Richards,N. Richards,Above the Break 3,24+ Right Center,,,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M07.00S,2024-01-27T00:13:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,5.469776609724048,50.73529411764706,1610612766,7,2,2024-01-27T00:14:29Z,170000,False,-4.0,-1.0,1,left,C. Martin driving reverse Layup (2 PTS),[1628998],1610612766.0,CHA,,Martin,C. Martin,Restricted Area,0-8 Center,0.39,Made,2.0,,,,driving reverse,,,,,,,,,,,,,,,,,,,
18,PT10M07.00S,2024-01-27T00:13:12.9Z,1,REGULAR,foul,personal,['1freethrow'],201145,,,1610612766,7,2,2024-01-27T00:21:17Z,180000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Martin 1 FT),"[201145, 1628998]",1610612745.0,HOU,1201.0,Green,J. Green,Restricted Area,0-8 Center,,,,,,,shooting,,,,,,1.0,0.0,Martin,1628998.0,,,,,,,,,,
20,PT10M07.00S,2024-01-27T00:13:38.8Z,1,REGULAR,freethrow,1 of 1,[],1628998,,,1610612766,7,2,2024-01-27T00:13:38Z,200000,False,,,0,,MISS C. Martin Free Throw 1 of 1,[1628998],1610612766.0,CHA,,Martin,C. Martin,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2024-01-27T00:13:40.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,7,2,2024-01-27T00:13:40Z,210000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,Sengun,A. Sengun,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT09M51.00S,2024-01-27T00:13:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,92.32917214191852,50.98039215686274,1610612745,7,4,2024-01-27T00:14:01Z,220000,False,5.0,20.0,1,right,D. Brooks Layup (2 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,,Brooks,D. Brooks,Restricted Area,0-8 Center,2.02,Made,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2024-01-27T00:13:59.1Z,1,REGULAR,foul,personal,['1freethrow'],1641706,,,1610612745,7,4,2024-01-27T00:14:09Z,240000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (Brooks 1 FT),"[1641706, 1628415]",1610612766.0,CHA,1201.0,Miller,B. Miller,Restricted Area,0-8 Center,,,,,,,shooting,,,,,,1.0,0.0,Brooks,1628415.0,,,,,,,,,,
26,PT09M51.00S,2024-01-27T00:14:26.3Z,1,REGULAR,freethrow,1 of 1,[],1628415,,,1610612745,7,5,2024-01-27T00:14:26Z,260000,False,,,0,,D. Brooks Free Throw 1 of 1 (3 PTS),[1628415],1610612745.0,HOU,,Brooks,D. Brooks,,,,Made,3.0,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2024-01-27T00:14:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,10.726018396846255,47.549019607843135,1610612766,7,5,2024-01-27T00:16:35Z,270000,False,12.0,48.0,1,left,MISS B. Miller turnaround Shot,[1641706],1610612766.0,CHA,,Miller,B. Miller,In The Paint (Non-RA),0-8 Center,4.98,Missed,,,,,turnaround,,,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2024-01-27T00:14:47.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,7,5,2024-01-27T00:32:21Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
28,PT09M28.00S,2024-01-27T00:15:39.9Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612745,7,5,2024-01-27T00:15:39Z,290000,False,,,0,,Jump Ball A. Sengun vs. N. Richards: Tip to F. VanVleet,"[1627832, 1630578, 1630208]",1610612745.0,HOU,,VanVleet,F. VanVleet,,,,,,,,,heldball,,,,,,,,,,F. VanVleet,1627832.0,Sengun,1630578.0,Richards,1630208.0,,,,
32,PT09M19.00S,2024-01-27T00:15:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,87.86136662286465,48.77450980392157,1610612745,7,5,2024-01-27T00:17:27Z,320000,False,-6.0,62.0,1,right,MISS D. Brooks 6' driving floating Shot,[1628415],1610612745.0,HOU,,Brooks,D. Brooks,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2024-01-27T00:15:50.6Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,7,5,2024-01-27T00:15:54Z,330000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,Ball,L. Ball,In The Paint (Non-RA),0-8 Center,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M14.00S,2024-01-27T00:15:54.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,33.196452036793694,40.44117647058824,1610612766,7,5,2024-01-27T00:17:51Z,340000,False,48.0,260.0,1,left,MISS L. Ball 26' running pullup 3PT,[1630163],1610612766.0,CHA,,Ball,L. Ball,Above the Break 3,24+ Center,26.39,Missed,,,,,running pullup,,,,,,,,,,,,,,,,,,,
