actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-06T00:10:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-06T00:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2024-03-06T00:10:20.7Z,1,REGULAR,jumpball,recovered,[],203995,,,1610612766,0,0,2024-03-06T00:10:20Z,40000,False,,,0,,Jump Ball N. Richards vs. W. Carter Jr.: Tip to V. Micic,"[203995, 1630208, 1628976]",1610612766.0,CHA,startperiod,V. Micic,203995.0,Micic,V. Micic,Richards,1630208.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-03-06T00:10:34.7Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.46452036793693,26.225490196078432,1610612766,0,0,2024-03-06T00:10:40Z,70000,False,-119.0,235.0,1,right,MISS M. Bridges 26' step back 3PT,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.29,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-03-06T00:10:37.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2024-03-06T00:10:40Z,80000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-03-06T00:10:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,15.719448094612352,45.34313725490196,1610612753,0,0,2024-03-06T00:11:16Z,90000,False,23.0,95.0,1,left,MISS F. Wagner 9' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,9.81,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-03-06T00:10:47.6Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,0,0,2024-03-06T00:10:58Z,100000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2024-03-06T00:10:58.6Z,1,REGULAR,3pt,Jump Shot,[],1641706,65.1281208935611,64.2156862745098,1610612766,0,0,2024-03-06T00:11:42Z,110000,False,71.0,275.0,1,right,MISS B. Miller 28' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,28.43,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2024-03-06T00:11:01.6Z,1,REGULAR,rebound,offensive,[],203995,,,1610612766,0,0,2024-03-06T00:11:04Z,120000,False,,,0,,V. Micic REBOUND (Off:1 Def:0),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Above the Break 3,24+ Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M06.00S,2024-03-06T00:11:06.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203995,85.75886990801577,53.67647058823529,1610612766,2,0,2024-03-06T00:11:58Z,130000,False,18.0,81.0,1,right,V. Micic 8' pullup Jump Shot (2 PTS),[203995],1610612766.0,CHA,pullup,,,Micic,V. Micic,,,,,In The Paint (Non-RA),8-16 Center,8.35,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M43.00S,2024-03-06T00:11:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,10.85742444152431,47.30392156862745,1610612753,2,2,2024-03-06T00:11:35Z,140000,False,13.0,50.0,1,left,J. Suggs turnaround Jump Shot (2 PTS),[1630591],1610612753.0,ORL,turnaround,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,5.14,Made,,,,,2.0,,,,,,,,,,,,,
