actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-27T00:10:40.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-27T00:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-27T00:10:42.5Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2024-11-27T00:10:42Z,40000,False,,,0,,Jump Ball A. Sarr vs. N. Vučević: Tip to K. George,"[1642273, 1642259, 202696]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Sarr,1642259.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-27T00:10:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,14.931011826544022,42.40196078431372,1610612764,2,0,2024-11-27T00:11:14Z,70000,False,38.0,88.0,1,left,K. Kuzma 9' driving floating Jump Shot (2 PTS) (A. Sarr 1 AST),"[1628398, 1642259]",1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,9.58,Made,2.0,A. Sarr,1642259.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-11-27T00:11:13.8Z,1,REGULAR,2pt,Jump Shot,[],1629632,89.56964520367937,75.49019607843137,1610612741,2,0,2024-11-27T00:11:52Z,90000,False,127.0,46.0,1,right,MISS C. White 13' pullup bank Shot,[1629632],1610612741.0,CHI,pullup bank,,,White,C. White,,,,,Mid-Range,8-16 Right,13.54,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-11-27T00:11:16.8Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612764,2,0,2024-11-27T00:11:52Z,100000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612764.0,WAS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Right,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2024-11-27T00:11:26.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,20.581471747700395,6.127450980392156,1610612764,5,0,2024-11-27T00:11:34Z,110000,False,219.0,141.0,1,left,K. Kuzma 26' 3PT  (5 PTS) (B. Coulibaly 1 AST),"[1628398, 1641731]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,26.08,Made,5.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,,,,,
13,PT10M53.00S,2024-11-27T00:11:45.8Z,1,REGULAR,3pt,Jump Shot,[],203897,73.40670170827858,11.029411764705882,1610612741,5,0,2024-11-27T00:11:52Z,130000,False,-195.0,197.0,1,right,MISS Z. LaVine 27' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,27.75,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2024-11-27T00:11:48.8Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612764,5,0,2024-11-27T00:11:52Z,140000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:2),[1627763],1610612764.0,WAS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,
15,PT10M48.00S,2024-11-27T00:11:52.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,24.392247043363994,87.99019607843137,1610612764,5,0,2024-11-27T00:12:52Z,150000,False,-190.0,177.0,1,left,MISS K. Kuzma 25' running 3PT,[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,25.95,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2024-11-27T00:11:54.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,0,2024-11-27T00:13:00Z,160000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M35.00S,2024-11-27T00:12:04.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,83.65637319316689,47.30392156862745,1610612741,5,2,2024-11-27T00:12:10Z,170000,False,-13.0,101.0,1,right,N. Vučević 10' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,10.2,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2024-11-27T00:12:21.7Z,1,REGULAR,3pt,Jump Shot,[],1642273,37.00722733245729,29.65686274509804,1610612764,5,2,2024-11-27T00:13:38Z,180000,False,102.0,295.0,1,left,MISS K. George 31' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,31.24,Missed,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2024-11-27T00:12:23.7Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,5,2,2024-11-27T00:13:38Z,190000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
