actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-14T00:11:36.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-14T00:11:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-14T00:11:52.4Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-01-14T00:11:52Z,40000,False,,,0,,Jump Ball A. Sarr vs. R. Gobert: Tip to C. Carrington,"[1642267, 1642259, 203497]",1610612764.0,WAS,startperiod,C. Carrington,1642267.0,Carrington,C. Carrington,Sarr,1642259.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-14T00:12:04.3Z,1,REGULAR,turnover,bad pass,[],1642259,,,1610612764,0,0,2025-01-14T00:12:09Z,70000,False,,,0,,A. Sarr bad pass TURNOVER (1 TO),"[1642259, 203497]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,1.0,Gobert,203497.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-01-14T00:12:04.3Z,1,REGULAR,steal,,[],203497,,,1610612750,0,0,2025-01-14T00:12:06Z,80000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-01-14T00:12:32.5Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612750,0,0,2025-01-14T00:12:40Z,100000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612750.0,MIN,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,1.0,,,1830.0,,,,,,,,,,,,,,,,
11,PT11M07.00S,2025-01-14T00:12:56.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642259,3.7614980289093296,96.32352941176471,1610612764,3,0,2025-01-14T00:13:01Z,110000,False,-232.0,-17.0,1,left,A. Sarr 3PT  (3 PTS) (B. Coulibaly 1 AST),"[1642259, 1641731]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Left Corner 3,24+ Left,,,,,23.22,Made,3.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,
13,PT10M55.00S,2025-01-14T00:13:08.5Z,1,REGULAR,3pt,Jump Shot,[],203944,81.8166885676741,95.83333333333334,1610612750,3,0,2025-01-14T00:13:12Z,130000,False,229.0,118.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,25.8,Missed,,,,,,,,,,,,,,
14,PT10M53.00S,2025-01-14T00:13:10.5Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,3,0,2025-01-14T00:13:12Z,140000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M47.00S,2025-01-14T00:13:17.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,35.29894875164258,51.225490196078425,1610612764,3,0,2025-01-14T00:13:21Z,150000,False,-6.0,279.0,1,left,MISS J. Poole 27' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,27.94,Missed,,,,,,,,,,,,,,
16,PT10M44.00S,2025-01-14T00:13:20.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,0,2025-01-14T00:13:21Z,160000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
