actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-23T00:11:00.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-23T00:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-23T00:11:05.8Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2024-11-23T00:11:05Z,40000,False,,,0,,Jump Ball A. Sarr vs. N. Queta: Tip to J. Poole,"[1629673, 1642259, 1629674]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Sarr,1642259.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-11-23T00:11:13.3Z,1,REGULAR,foul,offensive,[],1628398,,,1610612764,0,0,2024-11-23T00:11:25Z,70000,False,,,0,,K. Kuzma offensive FOUL (1 PF),"[1628398, 1628401]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,2530.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2024-11-23T00:11:13.3Z,1,REGULAR,turnover,offensive foul,[],1628398,,,1610612764,0,0,2024-11-23T00:11:13Z,90000,False,,,0,,K. Kuzma offensive foul TURNOVER (1 TO),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,2530.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M31.00S,2024-11-23T00:11:44.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,17.427726675427067,95.58823529411765,1610612738,0,3,2024-11-23T00:11:48Z,100000,False,-228.0,111.0,1,left,J. Holiday 25' 3PT  (3 PTS) (J. Brown 1 AST),"[201950, 1627759]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,25.36,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,
12,PT11M16.00S,2024-11-23T00:11:58.8Z,1,REGULAR,3pt,Jump Shot,[],1641731,67.62483574244416,18.627450980392158,1610612764,3,3,2024-11-23T00:12:03Z,120000,False,-157.0,252.0,1,right,B. Coulibaly 29' 3PT  (3 PTS) (A. Sarr 1 AST),"[1641731, 1642259]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,,,,29.67,Made,3.0,A. Sarr,1642259.0,1.0,,,,,,,,
14,PT10M56.00S,2024-11-23T00:12:18.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,17.427726675427067,73.0392156862745,1610612738,3,5,2024-11-23T00:12:44Z,140000,False,-115.0,111.0,1,left,J. Brown 16' turnaround Jump Shot (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,16.02,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,
16,PT10M44.00S,2024-11-23T00:12:32.6Z,1,REGULAR,turnover,out-of-bounds,[],1627763,,,1610612764,3,5,2024-11-23T00:12:38Z,160000,False,,,0,,M. Brogdon bad pass out-of-bounds TURNOVER (1 TO),[1627763],1610612764.0,WAS,bad pass,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Left Center,201245.0,,,,,1.0,,,,,,,,,,,,,,
17,PT10M34.00S,2024-11-23T00:12:50.7Z,1,REGULAR,foul,personal,[],1627763,,,1610612738,3,5,2024-11-23T00:12:56Z,170000,False,,,0,,M. Brogdon personal FOUL (1 PF),"[1627763, 1627759]",1610612764.0,WAS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,2530.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
19,PT10M29.00S,2024-11-23T00:13:08.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,30.305519053876477,21.07843137254902,1610612738,3,5,2024-11-23T00:13:13Z,190000,False,145.0,232.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,27.37,Missed,,,,,,,,,,,,
20,PT10M26.00S,2024-11-23T00:13:11.5Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,3,5,2024-11-23T00:13:13Z,200000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,
21,PT10M22.00S,2024-11-23T00:13:19.7Z,1,REGULAR,foul,personal,['2freethrow'],1629674,,,1610612764,3,5,2024-11-23T00:13:26Z,210000,False,,,0,,N. Queta shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1629674, 1641731]",1610612738.0,BOS,shooting,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,2530.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,,,,,,,,
23,PT10M22.00S,2024-11-23T00:13:41.6Z,1,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,4,5,2024-11-23T00:14:01Z,230000,False,,,0,,B. Coulibaly Free Throw 1 of 2 (4 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,
24,PT10M22.00S,2024-11-23T00:13:41.6Z,1,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,4,5,2024-11-23T00:14:01Z,240000,False,,,0,,MISS B. Coulibaly Free Throw 2 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
25,PT10M20.00S,2024-11-23T00:13:43.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,5,2024-11-23T00:14:01Z,250000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT10M02.00S,2024-11-23T00:14:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.521024967148489,44.6078431372549,1610612738,4,7,2024-11-23T00:14:54Z,260000,False,27.0,9.0,1,left,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,2.84,Made,2.0,,,,,,,,,,,
27,PT09M52.00S,2024-11-23T00:14:28.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612764,4,7,2024-11-23T00:14:36Z,270000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1629673]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,201245.0,1.0,0.0,Poole,1629673.0,,,,,,,,,,,,,,,
29,PT09M47.00S,2024-11-23T00:14:50.9Z,1,REGULAR,2pt,Jump Shot,[],1628398,85.89027595269383,76.9607843137255,1610612764,6,7,2024-11-23T00:14:56Z,290000,False,135.0,80.0,1,right,K. Kuzma 15' pullup Jump Shot (2 PTS),[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,,,,,,,15.68,Made,2.0,,,,,,,,,,,
31,PT09M29.00S,2024-11-23T00:15:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,18.084756898817346,40.68627450980392,1610612738,6,7,2024-11-23T00:15:13Z,310000,False,47.0,117.0,1,left,MISS J. Brown 12' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.64,Missed,,,,,,,,,,,,
32,PT09M27.00S,2024-11-23T00:15:10.5Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,6,7,2024-11-23T00:15:13Z,320000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,
63,PT09M23.00S,2024-11-23T00:15:14.4Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612764,6,7,2024-11-23T00:19:21Z,325000,False,,,0,,J. Poole lost ball TURNOVER (1 TO),"[1629673, 201950]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,,,,,,1.0,,,,,,,,,,,Holiday,201950.0,,
64,PT09M23.00S,2024-11-23T00:15:14.4Z,1,REGULAR,steal,,[],201950,,,1610612738,6,7,2024-11-23T00:19:21Z,327500,False,,,0,,J. Holiday STEAL (1 STL),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
33,PT09M19.00S,2024-11-23T00:15:20.3Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,6,7,2024-11-23T00:16:14Z,330000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612738.0,BOS,bad pass,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,1.0,,,,,,,,,,,,,,
34,PT09M08.00S,2024-11-23T00:15:43.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641731,81.02825229960578,5.637254901960785,1610612764,6,7,2024-11-23T00:16:16Z,340000,False,-222.0,126.0,1,right,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,,,,25.5,Missed,,,,,,,,,,,,
35,PT09M05.00S,2024-11-23T00:15:46.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,7,2024-11-23T00:15:46Z,350000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,
