actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-13T00:11:52.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T00:11:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-13T00:11:55.5Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2025-02-13T00:11:55Z,40000,False,,,0,,Jump Ball T. Bryant vs. A. Sarr: Tip to A. Nembhard,"[1629614, 1628418, 1642259]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Bryant,1628418.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2025-02-13T00:11:58.4Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,0,0,2025-02-13T00:12:02Z,70000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 1642273]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Left,1.0,George,1642273.0,,,,,,,,,,,,,,,,,
8,PT11M53.00S,2025-02-13T00:11:58.4Z,1,REGULAR,steal,,[],1642273,,,1610612764,0,0,2025-02-13T00:12:00Z,80000,False,,,0,,K. George STEAL (1 STL),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-02-13T00:12:19.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641731,31.225361366622867,20.098039215686274,1610612764,0,0,2025-02-13T00:12:23Z,90000,False,150.0,241.0,1,left,MISS B. Coulibaly 28' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,28.36,Missed,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-02-13T00:12:23.1Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,0,2025-02-13T00:12:23Z,100000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M12.00S,2025-02-13T00:12:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,81.02825229960578,35.294117647058826,1610612754,0,0,2025-02-13T00:12:42Z,110000,False,-74.0,126.0,1,right,MISS P. Siakam 14' step back Shot,[1627783],1610612754.0,IND,step back,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,14.57,Missed,,,,,,,,,,,,,,,
12,PT11M11.00S,2025-02-13T00:12:39.9Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2025-02-13T00:12:42Z,120000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M07.00S,2025-02-13T00:13:00.0Z,1,REGULAR,foul,personal,[],1629614,,,1610612764,0,0,2025-02-13T00:13:05Z,140000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 1629673]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,1628487.0,1.0,0.0,Poole,1629673.0,,,,,,
16,PT10M53.00S,2025-02-13T00:13:32.2Z,1,REGULAR,2pt,Jump Shot,[],1642267,24.392247043363994,28.186274509803923,1610612764,2,0,2025-02-13T00:13:36Z,160000,False,109.0,177.0,1,left,B. Carrington 20' pullup Jump Shot (2 PTS) (K. George 1 AST),"[1642267, 1642273]",1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,,,,20.78,Made,,,,,,,,,,2.0,K. George,1642273.0,1.0,,
18,PT10M34.00S,2025-02-13T00:13:51.0Z,1,REGULAR,3pt,Jump Shot,[],1628418,94.69448094612353,97.30392156862744,1610612754,2,0,2025-02-13T00:14:07Z,180000,False,237.0,-3.0,1,right,MISS T. Bryant pullup 3PT,[1628418],1610612754.0,IND,pullup,,,Bryant,T. Bryant,,,,,Right Corner 3,24+ Right,,,,23.65,Missed,,,,,,,,,,,,,,,
19,PT10M31.00S,2025-02-13T00:13:54.0Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,2,0,2025-02-13T00:13:54Z,190000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Right Corner 3,24+ Right,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M19.00S,2025-02-13T00:14:06.2Z,1,REGULAR,2pt,Jump Shot,[],1629673,22.28975032851511,73.77450980392157,1610612764,4,0,2025-02-13T00:14:26Z,200000,False,-119.0,157.0,1,left,J. Poole 19' step back Jump Shot (2 PTS),[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Mid-Range,16-24 Left Center,,,,19.69,Made,,,,,,,,,,2.0,,,,,
21,PT10M08.00S,2025-02-13T00:14:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,93.77463863337714,48.529411764705884,1610612754,4,2,2025-02-13T00:14:50Z,210000,False,-7.0,6.0,1,right,P. Siakam Layup (2 PTS) (T. Bryant 1 AST),"[1627783, 1628418]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,0.95,Made,,,,,,,,,,2.0,T. Bryant,1628418.0,1.0,,
23,PT09M52.00S,2025-02-13T00:14:33.0Z,1,REGULAR,turnover,lost ball,[],1641731,,,1610612764,4,2,2025-02-13T00:14:36Z,230000,False,,,0,,B. Coulibaly lost ball TURNOVER (1 TO),"[1641731, 1627783]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),8-16 Center,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2025-02-13T00:14:33.0Z,1,REGULAR,steal,,[],1627783,,,1610612754,4,2,2025-02-13T00:17:22Z,240000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2025-02-13T00:14:55.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629614,94.56307490144546,3.9215686274509802,1610612754,4,5,2025-02-13T00:14:59Z,260000,False,-230.0,-1.0,1,right,A. Nembhard 3PT  (3 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Left Corner 3,24+ Left,,,,23.04,Made,,,,,,,,,,3.0,T. Haliburton,1630169.0,1.0,,
28,PT09M34.00S,2025-02-13T00:15:07.0Z,1,REGULAR,3pt,Jump Shot,[],1642267,16.113666228646515,2.450980392156863,1610612764,7,5,2025-02-13T00:15:11Z,280000,False,238.0,99.0,1,left,B. Carrington 25' 3PT  (5 PTS) (J. Poole 1 AST),"[1642267, 1629673]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,25.75,Made,,,,,,,,,,5.0,J. Poole,1629673.0,1.0,,
30,PT09M14.00S,2025-02-13T00:15:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,87.33574244415243,41.17647058823529,1610612754,7,5,2025-02-13T00:16:09Z,300000,False,-44.0,67.0,1,right,MISS A. Nembhard 7' pullup Shot - blocked,"[1629614, 1642259]",1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,7.98,Missed,,,,,,,,,,,,,,Sarr,1642259.0
31,PT09M14.00S,2025-02-13T00:15:29.0Z,1,REGULAR,block,,[],1642259,,,1610612754,7,5,2025-02-13T00:15:31Z,310000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M12.00S,2025-02-13T00:15:31.0Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,7,5,2025-02-13T00:16:09Z,320000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M08.00S,2025-02-13T00:15:33.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629673,5.863994743758213,43.38235294117647,1610612764,7,5,2025-02-13T00:15:39Z,330000,False,33.0,3.0,1,left,MISS J. Poole running Layup - blocked,"[1629673, 1630174]",1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,3.32,Missed,,,,,,,,,,,,,,Nesmith,1630174.0
34,PT09M08.00S,2025-02-13T00:15:33.7Z,1,REGULAR,block,,[],1630174,,,1610612764,7,5,2025-02-13T00:15:36Z,340000,False,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M08.00S,2025-02-13T00:15:33.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,7,5,2025-02-13T00:15:39Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,33.0,,,,,,,,,,,,,,
37,PT09M02.00S,2025-02-13T00:15:55.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641731,9.017739816031538,2.2058823529411766,1610612764,7,5,2025-02-13T00:16:00Z,370000,False,239.0,32.0,1,left,MISS B. Coulibaly 24' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,,,,24.12,Missed,,,,,,,,,,,,,,,
38,PT08M58.00S,2025-02-13T00:15:59.7Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612754,7,5,2025-02-13T00:16:00Z,380000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,Right Corner 3,24+ Right,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,
39,PT08M53.00S,2025-02-13T00:16:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,91.80354796320631,59.55882352941176,1610612754,7,5,2025-02-13T00:16:11Z,390000,False,48.0,25.0,1,right,MISS P. Siakam running Layup,[1627783],1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,5.37,Missed,,,,,,,,,,,,,,,
40,PT08M51.00S,2025-02-13T00:16:06.2Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,7,5,2025-02-13T00:16:11Z,400000,False,,,0,,B. Carrington REBOUND (Off:0 Def:2),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,
