actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-08T00:13:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-08T00:13:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-08T00:13:32.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2025-02-08T00:13:32Z,40000,False,,,0,,Jump Ball J. Allen vs. R. Holmes: Tip to D. Garland,"[1629636, 1628386, 1626158]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-02-08T00:13:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,94.1688567674113,62.745098039215684,1610612739,0,0,2025-02-08T00:13:54Z,70000,False,64.0,2.0,1,right,MISS E. Mobley 6' Hook,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-02-08T00:13:53.0Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2025-02-08T00:13:53Z,80000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M16.00S,2025-02-08T00:14:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,32.40801576872536,76.9607843137255,1610612764,0,0,2025-02-08T00:14:17Z,90000,False,-135.0,252.0,1,left,MISS J. Poole 28' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,28.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2025-02-08T00:14:15.4Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,0,2025-02-08T00:16:24Z,100000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M08.00S,2025-02-08T00:14:23.2Z,1,REGULAR,turnover,traveling,[],1628378,,,1610612739,0,0,2025-02-08T00:14:34Z,110000,False,,,0,,D. Mitchell traveling TURNOVER (1 TO),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,202058.0,1.0,,,,,,,,,,,,
12,PT10M55.00S,2025-02-08T00:14:46.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641731,18.873193166885677,40.19607843137255,1610612764,2,0,2025-02-08T00:14:50Z,120000,False,49.0,125.0,1,left,B. Coulibaly 13' turnaround Jump Shot (2 PTS),[1641731],1610612764.0,WAS,turnaround,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),8-16 Center,13.42,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M41.00S,2025-02-08T00:15:01.3Z,1,REGULAR,2pt,Jump Shot,[],1629636,90.09526938239159,29.65686274509804,1610612739,2,0,2025-02-08T00:15:05Z,130000,False,-102.0,41.0,1,right,MISS D. Garland 10' driving floating bank Shot,[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,10.95,Missed,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2025-02-08T00:15:03.3Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,2,0,2025-02-08T00:15:05Z,140000,False,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
