actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-29T23:11:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-29T23:11:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-29T23:11:55.8Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-03-29T23:11:55Z,40000,False,,,0,,Jump Ball A. Sarr vs. N. Clowney: Tip to B. Carrington,"[1642267, 1642259, 1641730]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Clowney,1641730.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-29T23:12:10.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,75.24638633377135,10.294117647058822,1610612764,0,0,2025-03-29T23:12:14Z,70000,False,-199.0,180.0,1,right,MISS J. Poole 26' step back 3PT,[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,26.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-03-29T23:12:13.3Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,0,0,2025-03-29T23:12:14Z,80000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-03-29T23:12:26.0Z,1,REGULAR,3pt,Jump Shot,[],1629661,33.327858081471746,51.71568627450981,1610612751,0,0,2025-03-29T23:12:31Z,90000,False,-9.0,261.0,1,left,MISS C. Johnson 26' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,26.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-03-29T23:12:31.0Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2025-03-29T23:12:31Z,100000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-03-29T23:12:38.8Z,1,REGULAR,2pt,Jump Shot,[],1642267,81.02825229960578,24.754901960784316,1610612764,2,0,2025-03-29T23:13:16Z,110000,False,-126.0,126.0,1,right,B. Carrington 17' step back Jump Shot (2 PTS),[1642267],1610612764.0,WAS,step back,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Left Center,17.82,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M54.00S,2025-03-29T23:12:59.7Z,1,REGULAR,2pt,Jump Shot,[],1629661,26.888961892247043,54.65686274509803,1610612751,2,0,2025-03-29T23:13:22Z,120000,False,-23.0,200.0,1,left,MISS C. Johnson 20' step back Shot,[1629661],1610612751.0,BKN,step back,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Center,20.17,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2025-03-29T23:13:02.7Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,2,0,2025-03-29T23:13:04Z,130000,False,,,0,,B. Carrington REBOUND (Off:0 Def:2),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M43.00S,2025-03-29T23:13:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1642358,,,1610612764,2,0,2025-03-29T23:13:19Z,140000,False,,,0,,A. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1642358],1610612764.0,WAS,bad pass,,,Johnson,A. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,1627541.0,1.0,,,,,,,,,,,
15,PT10M27.00S,2025-03-29T23:13:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641730,4.812746386333772,59.31372549019608,1610612751,2,0,2025-03-29T23:14:16Z,150000,False,-47.0,-7.0,1,left,MISS N. Clowney Layup - blocked,"[1641730, 1630551]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,Champagnie,1630551.0,,,,,,,,,
16,PT10M27.00S,2025-03-29T23:13:46.3Z,1,REGULAR,block,,[],1630551,,,1610612751,2,0,2025-03-29T23:13:48Z,160000,False,,,0,,J. Champagnie BLOCK (1 BLK),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2025-03-29T23:13:49.3Z,1,REGULAR,rebound,offensive,[],1631213,,,1610612751,2,0,2025-03-29T23:13:52Z,170000,False,,,0,,T. Martin REBOUND (Off:1 Def:0),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M22.00S,2025-03-29T23:13:51.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629661,4.5499342969776615,96.07843137254902,1610612751,2,0,2025-03-29T23:13:55Z,180000,False,-230.0,-10.0,1,left,MISS C. Johnson 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.06,Missed,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2025-03-29T23:13:54.3Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,2,0,2025-03-29T23:13:55Z,190000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Left Corner 3,24+ Left,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M12.00S,2025-03-29T23:14:02.6Z,1,REGULAR,foul,personal,['2freethrow'],1631213,,,1610612764,2,0,2025-03-29T23:14:09Z,200000,False,,,0,,T. Martin shooting personal FOUL (1 PF) (Poole 2 FT),"[1631213, 1629673]",1610612751.0,BKN,shooting,,,Martin,T. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,1627541.0,,,,1.0,0.0,Poole,1629673.0,,,,,
22,PT10M12.00S,2025-03-29T23:14:33.3Z,1,REGULAR,freethrow,1 of 2,[],1629673,,,1610612764,3,0,2025-03-29T23:14:33Z,220000,False,,,0,,J. Poole Free Throw 1 of 2 (1 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
23,PT10M12.00S,2025-03-29T23:14:47.7Z,1,REGULAR,freethrow,2 of 2,[],1629673,,,1610612764,4,0,2025-03-29T23:14:47Z,230000,False,,,0,,J. Poole Free Throw 2 of 2 (2 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
24,PT09M53.00S,2025-03-29T23:15:08.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641730,5.469776609724048,44.85294117647059,1610612751,4,0,2025-03-29T23:15:13Z,240000,False,26.0,-1.0,1,left,MISS N. Clowney DUNK - blocked,"[1641730, 1642259]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,2.57,Missed,,,,,,,,Sarr,1642259.0,,,,,,,,,
25,PT09M53.00S,2025-03-29T23:15:08.6Z,1,REGULAR,block,,[],1642259,,,1610612751,4,0,2025-03-29T23:15:10Z,250000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M50.00S,2025-03-29T23:15:11.6Z,1,REGULAR,rebound,defensive,[],1630551,,,1610612764,4,0,2025-03-29T23:15:13Z,260000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
