actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-31T00:11:32.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-31T00:11:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-31T00:11:35.1Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2025-01-31T00:11:35Z,40000,False,,,0,,Jump Ball J. Hayes vs. J. Valančiūnas: Tip to M. Christie,"[1631108, 1629637, 202685]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Hayes,1629637.0,Valančiūnas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-31T00:11:49.3Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612747,0,0,2025-01-31T00:12:00Z,70000,False,,,0,,J. Valančiūnas shooting personal FOUL (1 PF) (Hayes 2 FT),"[202685, 1629637]",1610612764.0,WAS,shooting,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,1627963.0,1.0,0.0,Hayes,1629637.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-01-31T00:12:16.8Z,1,REGULAR,freethrow,1 of 2,[],1629637,,,1610612747,0,1,2025-01-31T00:12:16Z,90000,False,,,0,,J. Hayes Free Throw 1 of 2 (1 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2025-01-31T00:12:33.9Z,1,REGULAR,freethrow,2 of 2,[],1629637,,,1610612747,0,2,2025-01-31T00:12:33Z,100000,False,,,0,,J. Hayes Free Throw 2 of 2 (2 PTS),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M21.00S,2025-01-31T00:12:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,52.38173455978975,24.019607843137255,1610612764,0,2,2025-01-31T00:13:05Z,110000,False,-130.0,395.0,1,right,MISS K. Kuzma 41' pullup 3PT,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,41.59,,,,,,,,,,,,
12,PT11M19.00S,2025-01-31T00:13:00.5Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,2,2025-01-31T00:13:05Z,120000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M13.00S,2025-01-31T00:13:08.9Z,1,REGULAR,foul,personal,[],1629673,,,1610612747,0,2,2025-01-31T00:13:17Z,130000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1629637]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,201638.0,1.0,0.0,Hayes,1629637.0,,,,,,,,,,,,,,,
15,PT11M05.00S,2025-01-31T00:13:30.7Z,1,REGULAR,3pt,Jump Shot,[],1631108,3.3672798948751645,94.6078431372549,1610612747,0,2,2025-01-31T00:13:37Z,150000,False,-223.0,-21.0,1,left,MISS M. Christie 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.4,,,,,,,,,,,,
16,PT11M01.00S,2025-01-31T00:13:34.7Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,0,2,2025-01-31T00:13:37Z,160000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M54.00S,2025-01-31T00:13:42.1Z,1,REGULAR,3pt,Jump Shot,[],202685,67.23061760840999,45.83333333333333,1610612764,0,2,2025-01-31T00:13:46Z,170000,False,-21.0,256.0,1,right,MISS J. Valančiūnas 25' 3PT,[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.63,,,,,,,,,,,,
18,PT10M51.00S,2025-01-31T00:13:45.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,2,2025-01-31T00:13:46Z,180000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M51.00S,2025-01-31T00:13:49.1Z,1,REGULAR,turnover,out-of-bounds,[],1629060,,,1610612747,0,2,2025-01-31T00:13:58Z,190000,False,,,0,,R. Hachimura lost ball out-of-bounds TURNOVER (1 TO),[1629060],1610612747.0,LAL,lost ball,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,201638.0,,,,,,,,,,,,1.0,,,,,,,
20,PT10M47.00S,2025-01-31T00:14:08.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629673,84.97043363994744,52.94117647058824,1610612764,2,2,2025-01-31T00:14:42Z,200000,False,15.0,89.0,1,right,J. Poole 9' driving floating Jump Shot (2 PTS) (J. Valančiūnas 1 AST),"[1629673, 202685]",1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,9.0,,,,,,J. Valančiūnas,202685.0,1.0,,,,
21,PT10M34.00S,2025-01-31T00:14:21.6Z,1,REGULAR,2pt,Jump Shot,[],2544,24.26084099868594,57.107843137254896,1610612747,2,4,2025-01-31T00:14:25Z,210000,False,-36.0,176.0,1,left,L. James 17' pullup Jump Shot (2 PTS) (J. Hayes 1 AST),"[2544, 1629637]",1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,,,Made,2.0,17.92,,,,,,J. Hayes,1629637.0,1.0,,,,
22,PT10M20.00S,2025-01-31T00:14:36.2Z,1,REGULAR,foul,personal,['2freethrow'],1629637,,,1610612764,2,4,2025-01-31T00:14:40Z,220000,False,,,0,,J. Hayes shooting personal FOUL (1 PF) (Valančiūnas 2 FT),"[1629637, 202685]",1610612747.0,LAL,shooting,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,1830.0,1.0,0.0,Valančiūnas,202685.0,,,,,,,,,,,,,,,
26,PT10M20.00S,2025-01-31T00:15:06.4Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612764,3,4,2025-01-31T00:15:06Z,240000,False,,,0,,J. Valančiūnas Free Throw 1 of 2 (1 PTS),[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
27,PT10M20.00S,2025-01-31T00:15:30.7Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612764,4,4,2025-01-31T00:15:30Z,250000,False,,,0,,J. Valančiūnas Free Throw 2 of 2 (2 PTS),[202685],1610612764.0,WAS,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
28,PT10M06.00S,2025-01-31T00:15:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,5.206964520367937,44.6078431372549,1610612747,4,6,2025-01-31T00:15:51Z,260000,False,27.0,-4.0,1,left,R. Hachimura Layup (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.72,,,,,,L. James,2544.0,1.0,,,,
30,PT09M56.00S,2025-01-31T00:15:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,68.54467805519053,27.205882352941174,1610612764,4,6,2025-01-31T00:16:00Z,280000,False,-114.0,243.0,1,right,MISS J. Poole 26' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.86,,,,,,,,,,,,
