actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-06T00:11:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-06T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-06T00:11:08.2Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2024-12-06T00:11:08Z,40000,False,,,0,,Jump Ball D. Lively II vs. A. Sarr: Tip to P. Washington,"[1629023, 1641726, 1642259]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-12-06T00:11:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,11.777266754270697,35.294117647058826,1610612742,0,0,2024-12-06T00:12:02Z,70000,False,74.0,58.0,1,left,MISS P. Washington 9' turnaround Shot,[1629023],1610612742.0,DAL,turnaround,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Right,9.38,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-12-06T00:11:26.5Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,0,0,2024-12-06T00:12:02Z,80000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-12-06T00:11:47.7Z,1,REGULAR,3pt,Jump Shot,[],1642259,93.24901445466492,3.431372549019608,1610612764,0,0,2024-12-06T00:11:51Z,90000,False,-233.0,11.0,1,right,MISS A. Sarr 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Left Corner 3,24+ Left,23.31,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2024-12-06T00:11:49.7Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,0,0,2024-12-06T00:11:51Z,100000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-12-06T00:11:59.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.459264126149804,26.225490196078432,1610612742,0,3,2024-12-06T00:12:38Z,110000,False,119.0,262.0,1,left,L. Dončić 28' 3PT step back (3 PTS),[1629029],1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,28.77,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M57.00S,2024-12-06T00:12:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,94.95729303547962,55.14705882352941,1610612764,2,3,2024-12-06T00:12:11Z,120000,False,26.0,-5.0,1,right,J. Poole driving Layup (2 PTS),[1629673],1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.62,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M53.00S,2024-12-06T00:12:14.3Z,1,REGULAR,turnover,out-of-bounds,[],202691,,,1610612742,2,3,2024-12-06T00:12:20Z,130000,False,,,0,,K. Thompson step out-of-bounds TURNOVER (1 TO),[202691],1610612742.0,DAL,step,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,,,,,,,,1627961.0,1.0,,,,,,,,,,,
14,PT10M42.00S,2024-12-06T00:12:40.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641731,69.20170827858082,82.35294117647058,1610612764,2,3,2024-12-06T00:12:46Z,140000,False,162.0,237.0,1,right,MISS B. Coulibaly 28' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,28.7,Missed,,,,,,,,,,,,,,,,,,
