actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-30T23:10:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-30T23:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-30T23:10:30.5Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2024-10-30T23:10:30Z,40000,False,,,0,,Jump Ball C. Capela vs. A. Sarr: Tip to J. Johnson,"[1630552, 203991, 1642259]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-10-30T23:11:06.9Z,1,REGULAR,3pt,Jump Shot,[],1630552,27.283180026281208,17.401960784313726,1610612737,0,0,2024-10-30T23:11:15Z,80000,False,163.0,204.0,1,left,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-10-30T23:11:09.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,0,2024-10-30T23:11:09Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,8.0,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2024-10-30T23:11:10.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,0,0,2024-10-30T23:11:29Z,100000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,2882.0,,,,,,,,,,,,,,,,
11,PT11M17.00S,2024-10-30T23:11:40.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642259,94.95729303547962,98.52941176470588,1610612764,3,0,2024-10-30T23:11:50Z,110000,False,243.0,-5.0,1,right,A. Sarr 24' 3PT  (3 PTS) (J. Poole 1 AST),"[1642259, 1629673]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Right Corner 3,24+ Right,24.27,Made,,,3.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,
13,PT11M03.00S,2024-10-30T23:11:53.8Z,1,REGULAR,3pt,Jump Shot,[],1631223,7.835085413929041,1.715686274509804,1610612737,3,0,2024-10-30T23:12:00Z,130000,False,241.0,21.0,1,left,MISS D. Roddy 24' 3PT,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Right Corner 3,24+ Right,24.23,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2024-10-30T23:11:55.8Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,3,0,2024-10-30T23:12:00Z,140000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Right Corner 3,24+ Right,,,13.0,,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT10M55.00S,2024-10-30T23:12:03.2Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612764,3,0,2024-10-30T23:12:09Z,150000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Sarr 2 FT),"[203991, 1642259]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,1628481.0,,,,,,,,1.0,0.0,Sarr,1642259.0,,,,,
17,PT10M55.00S,2024-10-30T23:12:29.0Z,1,REGULAR,freethrow,1 of 2,[],1642259,,,1610612764,4,0,2024-10-30T23:12:50Z,170000,False,,,0,,A. Sarr Free Throw 1 of 2 (4 PTS),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,Made,,,4.0,,,,,,,,,,,,,,,
