actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-10-24T23:14:54.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-24T23:14:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-24T23:14:57.1Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-10-24T23:14:57Z,40000,False,,,0,,Jump Ball A. Horford vs. A. Sarr: Tip to D. White,"[1628401, 201143, 1642259]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2024-10-24T23:15:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.507884362680684,47.05882352941176,1610612738,0,0,2024-10-24T23:15:05Z,70000,False,15.0,103.0,1,left,MISS J. Brown 10' floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,10.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-10-24T23:15:04.4Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2024-10-24T23:15:05Z,80000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2024-10-24T23:15:15.2Z,1,REGULAR,turnover,traveling,[],1641731,,,1610612764,0,0,2024-10-24T23:15:20Z,90000,False,,,0,,B. Coulibaly traveling TURNOVER (1 TO),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,,,,201245.0,1.0,,,,,,,,,,,,
10,PT11M23.00S,2024-10-24T23:15:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,30.56833114323259,73.2843137254902,1610612738,0,3,2024-10-24T23:15:48Z,100000,False,-116.0,235.0,1,left,D. White 26' 3PT pullup (3 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.21,Made,,,,,,,3.0,,,,,,,,,,,
11,PT11M09.00S,2024-10-24T23:15:57.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,75.50919842312747,90.44117647058823,1610612764,3,3,2024-10-24T23:16:02Z,110000,False,202.0,178.0,1,right,J. Poole 26' 3PT step back (3 PTS),[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,26.92,Made,,,,,,,3.0,,,,,,,,,,,
12,PT10M59.00S,2024-10-24T23:16:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,4.812746386333772,56.86274509803921,1610612738,3,5,2024-10-24T23:20:58Z,120000,False,-34.0,-7.0,1,left,J. Tatum driving Layup (2 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.51,Made,,,,,,,2.0,D. White,1628401.0,1.0,,,,,,,,
14,PT10M59.00S,2024-10-24T23:16:10.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612764,3,5,2024-10-24T23:16:18Z,140000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,201245.0,,,,,,,,,,,,,
15,PT10M52.00S,2024-10-24T23:16:22.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,69.33311432325887,28.921568627450984,1610612764,3,5,2024-10-24T23:16:29Z,150000,False,-105.0,236.0,1,right,MISS J. Poole 25' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
