actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-12T23:10:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-12T23:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-01-12T23:10:35.0Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2025-01-12T23:10:35Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. A. Sarr: Tip to C. Wallace,"[1641717, 1628392, 1642259]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Hartenstein,1628392.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-12T23:10:43.0Z,1,REGULAR,3pt,Jump Shot,[],1631114,68.15045992115637,65.19607843137256,1610612760,0,0,2025-01-12T23:11:00Z,70000,False,76.0,247.0,1,right,MISS J. Williams 25' step back 3PT,[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-12T23:10:46.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2025-01-12T23:11:00Z,80000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-01-12T23:10:58.5Z,1,REGULAR,turnover,lost ball,[],1629673,,,1610612764,0,0,2025-01-12T23:11:03Z,90000,False,,,0,,J. Poole lost ball TURNOVER (1 TO),"[1629673, 1641717]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Wallace,1641717.0,,,,,,,,,,,
10,PT11M31.00S,2025-01-12T23:10:58.5Z,1,REGULAR,steal,,[],1641717,,,1610612760,0,0,2025-01-12T23:11:01Z,100000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-01-12T23:11:10.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,68.9388961892247,24.754901960784316,1610612760,0,0,2025-01-12T23:11:14Z,110000,False,-126.0,239.0,1,right,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,27.07,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2025-01-12T23:11:12.2Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2025-01-12T23:11:14Z,120000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M04.00S,2025-01-12T23:11:25.2Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,0,0,2025-01-12T23:11:31Z,130000,False,,,0,,J. Poole bad pass TURNOVER (2 TO),"[1629673, 1629652]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,,,2.0,Dort,1629652.0,,,,,,,,,,,
14,PT11M04.00S,2025-01-12T23:11:25.2Z,1,REGULAR,steal,,[],1629652,,,1610612760,0,0,2025-01-12T23:11:27Z,140000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2025-01-12T23:11:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612760,0,0,2025-01-12T23:11:39Z,150000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629673, 1628983]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627963.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
17,PT11M01.00S,2025-01-12T23:11:56.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628983,,,1610612760,0,1,2025-01-12T23:11:56Z,170000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
18,PT11M01.00S,2025-01-12T23:12:11.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628983,,,1610612760,0,2,2025-01-12T23:12:11Z,180000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
19,PT10M49.00S,2025-01-12T23:12:28.7Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612764,0,2,2025-01-12T23:12:33Z,190000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1628392, 1641731]",1610612760.0,OKC,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627963.0,1.0,0.0,Coulibaly,1641731.0,,,,,,
21,PT10M49.00S,2025-01-12T23:12:53.3Z,1,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,1,2,2025-01-12T23:12:53Z,210000,False,,,0,,B. Coulibaly Free Throw 1 of 2 (1 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
22,PT10M49.00S,2025-01-12T23:12:53.3Z,1,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,1,2,2025-01-12T23:13:14Z,220000,False,,,0,,MISS B. Coulibaly Free Throw 2 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M47.00S,2025-01-12T23:12:55.3Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,1,2,2025-01-12T23:13:14Z,230000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M41.00S,2025-01-12T23:13:17.4Z,1,REGULAR,3pt,Jump Shot,[],1641717,73.40670170827858,83.57843137254902,1610612760,1,5,2025-01-12T23:13:23Z,240000,False,168.0,197.0,1,right,C. Wallace 25' 3PT  (3 PTS) (J. Williams 1 AST),"[1641717, 1631114]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,25.92,Made,,,,,,,,,,,,,3.0,J. Williams,1631114.0,1.0,,
26,PT10M26.00S,2025-01-12T23:13:30.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,22.946780551905388,6.127450980392156,1610612764,1,5,2025-01-12T23:13:36Z,260000,False,219.0,163.0,1,left,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,27.34,Missed,,,,,,,,,,,,,,,,,,
27,PT10M24.00S,2025-01-12T23:13:32.9Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,1,5,2025-01-12T23:13:36Z,270000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M18.00S,2025-01-12T23:13:40.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,69.99014454664915,74.01960784313727,1610612760,1,5,2025-01-12T23:13:44Z,280000,False,120.0,230.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
29,PT10M14.00S,2025-01-12T23:13:43.4Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,1,5,2025-01-12T23:13:43Z,290000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT10M06.00S,2025-01-12T23:13:52.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641717,93.24901445466492,2.696078431372549,1610612760,1,5,2025-01-12T23:13:57Z,300000,False,-237.0,11.0,1,right,MISS C. Wallace 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Left Corner 3,24+ Left,23.68,Missed,,,,,,,,,,,,,,,,,,
31,PT10M03.00S,2025-01-12T23:13:55.5Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,1,5,2025-01-12T23:19:49Z,310000,False,,,0,,C. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Left Corner 3,24+ Left,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M56.00S,2025-01-12T23:14:01.3Z,1,REGULAR,3pt,Jump Shot,[],1642259,27.677398160315374,85.7843137254902,1610612764,1,5,2025-01-12T23:14:05Z,320000,False,-179.0,208.0,1,left,MISS A. Sarr 27' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,27.41,Missed,,,,,,,,,,,,,,,,,,
