actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-22T00:10:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-22T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-22T00:11:00.7Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2025-02-22T00:11:00Z,40000,False,,,0,,Jump Ball A. Sarr vs. B. Lopez: Tip to K. George,"[1642273, 1642259, 201572]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Sarr,1642259.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-02-22T00:11:08.3Z,1,REGULAR,turnover,backcourt,[],203114,,,1610612764,0,0,2025-02-22T00:11:25Z,70000,False,,,0,,K. Middleton backcourt TURNOVER (1 TO),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-02-22T00:11:34.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628398,3.892904073587385,38.48039215686275,1610612749,0,0,2025-02-22T00:11:38Z,80000,False,58.0,-16.0,1,left,MISS K. Kuzma driving Layup - blocked,"[1628398, 1642273]",1610612749.0,MIL,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,5.98,Missed,George,1642273.0,,,,,,,,,,,,,,,
22,PT11M38.00S,2025-02-22T00:11:34.7Z,1,REGULAR,block,,[],1642273,,,1610612749,0,0,2025-02-22T00:13:07Z,85000,False,,,0,,K. George BLOCK (1 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-02-22T00:11:36.7Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2025-02-22T00:11:38Z,90000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
10,PT11M35.00S,2025-02-22T00:11:37.7Z,1,REGULAR,turnover,lost ball,[],1642259,,,1610612764,0,0,2025-02-22T00:11:42Z,100000,False,,,0,,A. Sarr lost ball TURNOVER (1 TO),"[1642259, 203507]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,Antetokounmpo,203507.0,,,,,,,,,
11,PT11M35.00S,2025-02-22T00:11:37.7Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2025-02-22T00:11:39Z,110000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M33.00S,2025-02-22T00:11:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628398,8.623521681997373,52.20588235294118,1610612749,0,0,2025-02-22T00:13:20Z,120000,False,-11.0,29.0,1,left,MISS K. Kuzma reverse Layup,[1628398],1610612749.0,MIL,reverse,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,3.06,Missed,,,,,,,,,,,,,,,,,
13,PT11M31.00S,2025-02-22T00:11:42.2Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2025-02-22T00:11:42Z,130000,False,,,0,,A. Sarr REBOUND (Off:0 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,
