actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-05T00:15:12.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T00:15:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-05T00:15:15.7Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2024-11-05T00:15:15Z,40000,False,,,0,,Jump Ball A. Sarr vs. T. Jackson-Davis: Tip to C. Carrington,"[1642267, 1642259, 1631218]",1610612764.0,WAS,startperiod,C. Carrington,1642267.0,Carrington,C. Carrington,Sarr,1642259.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-11-05T00:15:36.7Z,1,REGULAR,3pt,Jump Shot,[],1641731,16.507884362680684,95.34313725490196,1610612764,0,0,2024-11-05T00:15:42Z,70000,False,-227.0,103.0,1,left,MISS B. Coulibaly 24' 3PT - blocked,"[1641731, 203952]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,24.89,Missed,Wiggins,203952.0,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-11-05T00:15:36.7Z,1,REGULAR,block,,[],203952,,,1610612764,0,0,2024-11-05T00:15:39Z,80000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-11-05T00:15:36.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,0,2024-11-05T00:15:42Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2024-11-05T00:15:51.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642273,24.392247043363994,83.82352941176471,1610612764,0,0,2024-11-05T00:16:27Z,110000,False,-169.0,177.0,1,left,MISS K. George 24' 3PT - blocked,"[1642273, 203110]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,24.46,Missed,Green,203110.0,,,,,,,,,,,,,,,,
12,PT11M33.00S,2024-11-05T00:15:51.6Z,1,REGULAR,block,,[],203110,,,1610612764,0,0,2024-11-05T00:15:54Z,120000,False,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M33.00S,2024-11-05T00:15:51.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,0,2024-11-05T00:16:27Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,11.0,,,,,,,,,,,,,,,
14,PT11M33.00S,2024-11-05T00:15:56.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612764,0,0,2024-11-05T00:16:33Z,140000,False,,,0,,WAS shot clock Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,202027.0,,,,,,,,,,,,,,
15,PT11M21.00S,2024-11-05T00:16:12.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,76.42904073587385,7.352941176470589,1610612744,0,3,2024-11-05T00:16:16Z,150000,False,-213.0,169.0,1,right,S. Curry 27' 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.21,Made,,,,,3.0,D. Green,203110.0,1.0,,,,,,,,,,
17,PT11M02.00S,2024-11-05T00:16:30.6Z,1,REGULAR,3pt,Jump Shot,[],1642273,19.398817345597898,93.87254901960785,1610612764,0,3,2024-11-05T00:16:35Z,170000,False,-219.0,130.0,1,left,MISS K. George 25' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
18,PT10M59.00S,2024-11-05T00:16:33.6Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,0,3,2024-11-05T00:16:35Z,180000,False,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Above the Break 3,24+ Left Center,,,,,17.0,,,,,,1.0,1.0,0.0,,,,,,,
19,PT10M45.00S,2024-11-05T00:16:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,92.19776609724047,64.70588235294117,1610612744,0,3,2024-11-05T00:16:53Z,190000,False,74.0,21.0,1,right,MISS T. Jackson-Davis 7' cutting Layup - blocked,"[1631218, 1629673]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,7.64,Missed,Poole,1629673.0,,,,,,,,,,,,,,,,
20,PT10M45.00S,2024-11-05T00:16:48.3Z,1,REGULAR,block,,[],1629673,,,1610612744,0,3,2024-11-05T00:16:50Z,200000,False,,,0,,J. Poole BLOCK (1 BLK),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M42.00S,2024-11-05T00:16:51.3Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,3,2024-11-05T00:16:53Z,210000,False,,,0,,C. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,,,19.0,,,,,,1.0,1.0,0.0,,,,,,,
22,PT10M39.00S,2024-11-05T00:16:54.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642267,13.748357424441524,48.03921568627451,1610612764,0,3,2024-11-05T00:17:48Z,220000,False,10.0,77.0,1,left,MISS C. Carrington 7' driving floating Shot,[1642267],1610612764.0,WAS,driving floating,,,Carrington,C. Carrington,,,,,In The Paint (Non-RA),0-8 Center,7.73,Missed,,,,,,,,,,,,,,,,,,
23,PT10M36.00S,2024-11-05T00:16:57.9Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,3,2024-11-05T00:17:48Z,230000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,22.0,,,,,,1.0,1.0,0.0,,,,,,,
